ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
DS9223,"","",marc-xml,dacs,Q374,University of Pennsylvania,9971317533503681,Ms. Coll. 390 Item 2156,https://find.library.upenn.edu/catalog/9971317533503681,https://colenda.library.upenn.edu/items/ark:/81431/p38c9r42j/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Sāmānyakroḍapattra,सामान्यक्रोडपत्त्र,"","","","Commentaries|Treatises|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q298|Q160|Q26663|Q26663|Q331|Q331,"Gaṅgeśa, active 13th century. Tattvacintāmaṇi|Logic|India|Nyaya|Nyaya|Hindu logic|Hindu logic|Logic--India|Hindu philosophy|Hindu philosophy|Philosophy, Indic|Philosophy, Indic",Q76136|Q308|Q26595|Q26649|Q26649|Q27313|Q27313|Q308;Q26595|Q27269|Q27269|Q26693|Q26693,"Gaṅgeśa, active 13th century","",Q28119,"","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 11 x 31 cm,"Title from title abbreviations in margins.|Written in 16-17 lines per leaf.|2 leaves foliated 1-2, upper left and lower right verso.|Mistakes blacked out; some corrections and additions in margins; some significant words and phrases highlighted in red.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS8353,"","",marc-xml,dacs,Q374,University of Pennsylvania,9963597783503681,Ms. Coll. 390 Item 1219,https://find.library.upenn.edu/catalog/9963597783503681,https://colenda.library.upenn.edu/items/ark:/81431/p3t727g0s/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Kaṭhopaniṣad,कठोपनिषद्,Upanishads,"",Q27718,"Treatises|Dialogues|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q160|Q330|Q26663|Q26663|Q331|Q331,"Self (Philosophy)|Self (Philosophy)|Ātman|Ātman|Hindu philosophy|Hindu philosophy|Philosophy, Indic|Philosophy, Indic",Q27025|Q27025|Q26831|Q26831|Q27269|Q27269|Q26693|Q26693,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 10 x 20 cm,"Title from end title page (f. 12v).|Written in 7-9 lines per leaf.|12 leaves foliated 1-12, upper left and lower right verso.|Colophon: iti ātharvaṇīyeṣupaniṣasukaṭhavakṣī upaniṣasamāpta // (f. 12r).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; significant syllables, words, or phrases highlighted in red throughout; vertical margins marked with double black line.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS8124,"","",marc-xml,dacs,Q374,University of Pennsylvania,9962761793503681,Ms. Coll. 390 Item 968,https://find.library.upenn.edu/catalog/9962761793503681,https://colenda.library.upenn.edu/items/ark:/81431/p3db7vt2w/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Chāndogyopaniṣad,छान्दोग्योपनिषद्,Upanishads,"",Q27718,"Treatises|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q160|Q26663|Q26663|Q331|Q331,"Self (Philosophy)|Self (Philosophy)|Vedanta|Vedanta|Rites and ceremonies--India|Rites and ceremonies|India|Hindu philosophy|Hindu philosophy|Philosophy, Indic|Philosophy, Indic",Q27025|Q27025|Q27086|Q27086|Q7459;Q26595|Q7459|Q26595|Q27269|Q27269|Q26693|Q26693,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 13 x 21 cm,"Title from marginal abbreviations.|Written in 10-12 lines per leaf.|7 leaves foliated 4-10, upper left and lower right verso.|Colophon: ity chāṃdogyaṣaṣṭho 'dhyāyaḥ / śrīgopālakṛṣṇārpaṇam astu oṃ āpy āyaṃ tv iti śāṃtiḥ śrīrāmajayarāmajayajayarāma hariḥ oṃ śrīkṛṣṇapraāāṃ // (f. 10v).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; significant phrases, words, symbols, highlighted with red.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS9096,"","",marc-xml,dacs,Q374,University of Pennsylvania,9970676953503681,Ms. Coll. 390 Item 2025,https://find.library.upenn.edu/catalog/9970676953503681,https://colenda.library.upenn.edu/items/ark:/81431/p3z394/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Prātaḥsaṃdhyā,प्रातःसंध्या,"","","","Prayers|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q3062|Q26663|Q26663|Q331|Q331,"Sūrya (Hindu deity)|Sūrya (Hindu deity)|Devotional literature, Sanskrit|Devotional literature, Sanskrit",Q26821|Q26821|Q26699|Q26699,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 8 x 15 cm,"Title from colophon (f. 12v).|Written in 9-10 lines per leaf.|12 leaves foliated 1-12, upper left and lower right verso.|Colophon: it[i] prātaḥ sa[ṃ]dhyāsamāptaḥ // (f. 12v).|Mistakes blacked out; some corrections and additions in margins.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS9306,"","",marc-xml,dacs,Q374,University of Pennsylvania,9972507593503681,Ms. Coll. 390 Item 2435,https://find.library.upenn.edu/catalog/9972507593503681,https://colenda.library.upenn.edu/items/ark:/81431/p3b82m/manifest,"","",1786.,1786,18,http://vocab.getty.edu/aat/300404512,true,Rudra,रुद्र,Vedas,"",Q27715,"Prayers (documents)|Hymns (documents)|Manuscripts, Sanskrit|Manuscripts|Prayers|Prayers|Devotional literature|Devotional literature",Q3062|Q3548|Q26663|Q331|Q38528|Q38528|Q38696|Q38696,"Vedas|Vedas--Recitation--Early works to 1800|Rudra (Hindu deity)--Early works to 1800|Rudra (Hindu deity)|Early works to 1800|Devotional literature, Sanskrit|Hinduism--Prayers and devotions|Hinduism--Prayers and devotions--Early works to 1800|Devotional literature, Sanskrit--Early works to 1800",Q27198|Q27198;Q11514;Q300|Q27463;Q300|Q27463|Q300|Q26699|Q26958|Q27213;Q3052;Q300|Q26699;Q300,"","","","","","",Mukāma Ābhaun,"","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 9 x 14 cm,"Title from abbreviation, upper left and lower right margin (f. 22v); alternate title Śatarudrīya supplied by cataloger.|Written in 6-8 lines per leaf.|20 leaves foliated 3-22, upper left and lower right verso.|Dated saṃvat 1843 (1786) (f. 22r).|Scribe is Mukāma Ābhaun (f. 22r).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; accents for aid in Vedic recitation in red throughout; vertical margins marked with double red line.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS7691,"","",marc-xml,dacs,Q374,University of Pennsylvania,9959555633503681,Ms. Coll. 390 Item 478,https://find.library.upenn.edu/catalog/9959555633503681,https://colenda.library.upenn.edu/items/ark:/81431/p3b09h/manifest,"","",1807.,1807,19,http://vocab.getty.edu/aat/300404513,true,Mahimnaḥstava,महिम्नःस्तव,"","",Q27599,"Poems|Prayers|Hymns|Manuscripts, Sanskrit|Manuscripts|Prayers|Prayers|Devotional literature|Devotional literature",Q273|Q3062|Q3548|Q26663|Q331|Q38528|Q38528|Q38696|Q38696,"Śiva (Hindu deity)|Siva (Hindu deity)|Śaivism|Śaivism|Devotional literature, Sanskrit|Devotional literature, Sanskrit|Hinduism--Prayers and devotions|Hinduism--Prayers and devotions",Q26681|Q26681|Q26571|Q26571|Q26699|Q26699|Q27213;Q3052|Q26958,"Puṣpadanta, active 10th century","",Q28103,"","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 10 x 11 cm,"Title from colophon (f. 10r); alternative title Mahimnaḥstotra provided by cataloger.|Written in 5-6 lines per leaf.|10 leaves foliated 1-10, upper left and lower right verso.|Colophon: iti śrīpuṣpadantagaṃdharvarājaviracitaṃ mahimnastavaḥ samāptaḥ // śrīrastu śubhaṃ bhavatu samvat 1864 āṣāḍasudi 13 śukre likhitam idam pustakaṃ viśveśvareṇa nepāladeśe kāṃtipurarājasthāne // (f. 10r).|Dated saṃvat 1864 āṣāḍasudi 13 śukra (Saturday, July 18, 1807) (f. 10r).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; significant syllables, words, or phrases highlighted in red throughout; vertical margins marked with triple black lines. Some folios treated with yellow turmeric powder.|Formerly part of the royal library in Kathmandu (Kantipur), Nepal, possibly commissioned by king Bhimsen Thapa (reigned 1806-1837).","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS7625,"","",marc-xml,dacs,Q374,University of Pennsylvania,9959103323503681,Ms. Coll. 390 Item 289,https://find.library.upenn.edu/catalog/9959103323503681,https://colenda.library.upenn.edu/items/ark:/81431/p3dc0h/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Kālanirṇaya,कालनिर्णय,"","","","Commentaries|Treatises|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q298|Q160|Q26663|Q26663|Q331|Q331,Indian philosophy|Indian philosophy|Hindu philosophy|Hindu philosophy|Hindu law|Hindu law|Dharma|Dharma|Rites and ceremonies--India|Rites and ceremonies|India,Q27123|Q27123|Q27269|Q27269|Q26833|Q26833|Q26837|Q26837|Q7459;Q26595|Q7459|Q26595,"Mādhava, -1386","",Q28156,"","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 11 x 25 cm,"Title from colophon (f. 16v); alternate title Kālamādhavīya supplied by cataloger; title of commentary Kālanirṇayaślokavivaraṇa from colophon (f. 16v); alternate title of commentary Kālanirṇayasaṃgrahaślokavivaraṇa supplied by cataloger. A commentary by Nārāyaṇabhaṭṭa runs above and below, parallel to the main text through most of the manuscript.|Written in 8-11 lines per leaf.|16 leaves foliated 1-16, upper left and lower right verso; final two folios are numbered 15/16 and 16/17 on left and right verso respectively.|Colophon: iti mādhavīyakālanirṇaślokavivaraṇaṃ samāptaṃ // (f. 16v).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; significant syllables, words, or phrases highlighted in red throughout. Treated with yellow turmeric powder on outer border on first two (f. 1-2) and final (f. 16) folios.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS7126,"","",marc-xml,dacs,Q374,University of Pennsylvania,9954116033503681,Ms. Coll. 390 Item 1424,https://find.library.upenn.edu/catalog/9954116033503681,https://colenda.library.upenn.edu/items/ark:/81431/p3v97zv5q/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Ṛṣipañcamī,ऋषिपञ्चमी,"","",Q27588,"Hymns|Prayers|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q3548|Q3062|Q26663|Q26663|Q331|Q331,"Rites and ceremonies--India|Rites and ceremonies|India|Hindu hymns, Sanskrit|Hindu hymns, Sanskrit",Q7459;Q26595|Q7459|Q26595|Q27237|Q27237,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 11 x 22 cm,"Title from title page (f. 1r); alternate title Ṛṣipañcamīpūjā and Ṛṣipañcamīvrata supplied by cataloger.|Written in 10 lines per leaf.|2 leaves foliated 1-2, upper left or lower right verso.|Mistakes blacked out; some corrections and additions in margins.|Non-Latin script record.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS8345,"","",marc-xml,dacs,Q374,University of Pennsylvania,9963595053503681,Ms. Coll. 390 Item 1199,https://find.library.upenn.edu/catalog/9963595053503681,"","","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Taittirīyopaniṣad,तैत्तिरीयोपनिषद्,Upanishads,"",Q27718,"Treatises|Prayers|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q160|Q3062|Q26663|Q26663|Q331|Q331,"Vedas--Recitation|Vedas|Self (Philosophy)|Self (Philosophy)|Hindu mantras|Hindu mantras|Gods, Vedic|Gods, Vedic|Rites and ceremonies--India|Rites and ceremonies|India|Devotional literature, Sanskrit|Devotional literature, Sanskrit|Brahman|Brahman|Hindu philosophy|Hindu philosophy|Philosophy, Indic|Philosophy, Indic",Q27198;Q11514|Q27198|Q27025|Q27025|Q27154|Q27154|Q26883|Q26883|Q7459;Q26595|Q7459|Q26595|Q26699|Q26699|Q26899|Q26899|Q27269|Q27269|Q26693|Q26693,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 11 x 23 cm,"Title from title page (f. 1r).|Written in 9 lines per leaf.|13 leaves foliated 1, 3-14, upper left and lower right verso.|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; metrical accents in red throughout.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
DS7503,"","",marc-xml,dacs,Q374,University of Pennsylvania,9958617213503681,Ms. Coll. 390 Item 167,https://find.library.upenn.edu/catalog/9958617213503681,https://colenda.library.upenn.edu/items/ark:/81431/p3xs9q/manifest,"","",circa 1700-1850.,1700^1850,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Paṅcakatripādaśānti,पङ्चकत्रिपादशान्ति,"","","","Prayers|Hymns|Manuscripts, Sanskrit|Manuscripts, Sanskrit|Manuscripts|Manuscripts",Q3062|Q3548|Q26663|Q26663|Q331|Q331,"Gaṇeśa (Hindu deity)|Gaṇeśa (Hindu deity)|Vishnu (Hindu deity)|Vishnu (Hindu deity)|Śiva (Hindu deity)|Siva (Hindu deity)|Death|Idols and images|India|Idols and images--India|Devotional literature, Sanskrit|Devotional literature, Sanskrit|Hindu hymns, Sanskrit|Hindu hymns, Sanskrit|Omens--Religious aspects--Hinduism|Omens--Religious aspects--Hinduism|Puja (Hinduism)|Puja (Hinduism)|Death--India--Religious aspects",Q27053|Q27053|Q27014|Q27014|Q26681|Q26681|Q5920|Q27170|Q26595|Q27170;Q26595|Q26699|Q26699|Q27237|Q27237|Q26829|Q26829|Q26746|Q26746|Q5920;Q26595,"","","","","","","","","","","","","","","",In Sanskrit,Q27494,paper,Q31,Extent: 1 paper ; 11 x 21 cm,"Title from incipit (f. 1r); alternate title Paṅcakaśānti from internal colophon (f. 3r); second alternate title Tripādaśānti from colophon (f. 3v).|Written in 9 lines per leaf.|3 leaves foliated 1-3, upper left and lower right verso.|Colophon: iti tripādaśāṃti samāptaḥ // (f. 3v).|Mistakes covered over in yellow or blacked out; some corrections and additions in margins; significant syllables, words, or phrases highlighted in red throughout.|Non-Latin script record.","",2025-04-15 09:53:58 -0400,20241216,20250313-penn-marcxml-indic.xml
