subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
Alchemy--Islamic Empire--15th century.,a--z--y,0,"","",""
American literature--19th century.,a--y,0,http://id.loc.gov/authorities/subjects/sh85004340,"",""
Angels--Christianity--History of doctrines--Early works to 1800.,a--x--x--v,0,"","",""
Animals--Juvenile literature.,a--v,0,http://id.loc.gov/authorities/subjects/sh2007101022,"",""
Antiphonaries--Early works to 1800.,a--v,0,"","",""
Antiphonaries--Texts--Early works to 1800.,a--v--v,0,"","",""
Arabe (Langue)--Flexion--Ouvrages avant 1800.,a--x--v,6,"","",""
Arabe (Langue)--Grammaire--Ouvrages avant 1800.,a--x--v,6,"","",""
Arabic language--Dictionaries--14th century.,a--v--y,0,"","",""
Arabic language--Grammar--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh86000284,"",""
Arabic language--Grammar--Early works to 1800.,a--x--v,0,"","",""
Arabic language--Grammar.,a--x,fast,(OCoLC)fst00812341,Arabic language--Grammar,http://id.worldcat.org/fast/812341
Arabic language--Inflection--Early works to 1800.,a--x--v,0,"","",""
Arabic language--Inflection--Early works to 1800.,a--x--v,0,http://id.loc.gov/authorities/subjects/sh2009115217,"",""
Arabic language--Inflection.,a--x,fast,(OCoLC)fst00812360,"",""
Arabic literature--Early works to 1800.,a--v,0,"","",""
Arabic literature.,a,fast,(OCoLC)fst00812478,"",""
Arabic poetry.,a,fast,(OCoLC)fst00812533,Arabic poetry,http://id.worldcat.org/fast/812533
Arabic poetry.,a,0,"",Arabic poetry,http://id.worldcat.org/fast/812533
"Arts, Classical.",a,0,http://id.loc.gov/authorities/subjects/sh85008362,"",""
Austria.,a,fast,(OCoLC)fst01204901,Austria,http://id.worldcat.org/fast/1204901
"Authors, Danish--19th century--Correspondence.",a--y--x,0,"","",""
"Authors, English--19th century--Correspondence.",a--y--v,0,http://id.loc.gov/authorities/subjects/sh2007101583,"",""
"Authors, English--20th century--Manuscripts.",a--y--v,0,"","",""
Authors--20th century--Correspondence.,a--y--x,0,"","",""
Batak language--Texts.,a--v,0,"","",""
Blacksmithing--Equipment and supplies--New Jersey--Mount Ida--19th century.,a--x--z--z--y,0,"","",""
Blacksmiths--New Jersey--Mount Ida--19th century.,a--z--z--y,0,"","",""
Books of hours--France--Rouen.,a--z--z,0,"","",""
Books of hours--France--Troyes.,a--z--z,0,"","",""
Books of hours--France.,a--z,0,"","",""
Books of hours--Netherlands--Early works to 1800.,a--z--v,0,"","",""
Brazil--Description and travel--19th century.,a--x--y,0,"","",""
Brazil--Religion--19th century.,a--x--y,0,"","",""
Brazil--Social life and conditions--19th century.,a--x--y,0,"","",""
Breviaries--Italy.,a--z,0,"","",""
Byzantine chants--19th century.,a--y,0,"","",""
Byzantine chants.,a,0,http://id.loc.gov/authorities/subjects/sh85022548,"",""
California--Description and travel--19th century.,a--x--y,0,"","",""
Canon law--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008100063,Canon law;Early works,http://id.worldcat.org/fast/845910;http://id.worldcat.org/fast/1411636
Canticles--Early works to 1800.,a--v,0,"","",""
Caribbean Area--Economic conditions--20th century--Sources.,a--x--y--v,0,"","",""
Children--Death--Religious aspects--Islam--Early works to 1800.,a--x--x--x--v,0,"","",""
Christian ethics--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2008100649,Christian ethics;Early works,http://id.worldcat.org/fast/859107;http://id.worldcat.org/fast/1411636
Christian life--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh93009678--(uri) http://id.loc.gov/authorities/subjects/sh93009678,Christian life;Early works,http://id.worldcat.org/fast/859185;http://id.worldcat.org/fast/1411636
Christian life--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh93009678,Christian life;Early works,http://id.worldcat.org/fast/859185;http://id.worldcat.org/fast/1411636
Christian life.,a,fast,(OCoLC)fst00859185,Christian life,http://id.worldcat.org/fast/859185
"Christian literature, Latin (Medieval and modern)",a,0,http://id.loc.gov/authorities/subjects/sh86003012,"",""
Christianity--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh94000286--(uri) http://id.loc.gov/authorities/subjects/sh94000286,"",""
Christianity.,a,fast,(OCoLC)fst00859599,Christianity,http://id.worldcat.org/fast/859599
"Chronology, Historical.",a,0,http://id.loc.gov/authorities/subjects/sh85025412,"",""
Church music--Orthodox Eastern Church.,a--x,0,http://id.loc.gov/authorities/subjects/sh85025659,"",""
Clergy--Office--Sermons--Early works to 1800.,a--x--v--v,0,"","",""
Command of troops.,a,fast,(OCoLC)fst00869220,"",""
Commercial law--Italy--19th century.,a--z--y,0,"","",""
Composers--Greece--19th century--Manuscripts.,a--z--y--v,0,"","",""
"Consolation (Islam)--Early, works to 1800.",a--v,0,"","",""
Coptic manuscripts (Papyri)--New Jersey--Princeton.,a--z--z,0,"","",""
