title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""Miss Dorothy Lablab going to Fair"" manuscript book illustrated with fabric collages","","","",""
A good prince,"","","",""
Ab urbe condita /,"",Ab urbe condita.,"",""
Account book,"","","",Account book
Account book for a blacksmith's work,"","","",""
Album of prose and verse,"","","",""
Alexandreis /,"",Alexandreis,"",""
Alexandreis /,"",Alexandreis.,"",""
Anaphora of the Virgin Mary,"","","",""
Anne Squire Correspondence,"","","",""
Anthologie de poésie persane,"","","",""
Anthologie du frisson,"","","",""
Anthologion cherouvikōn kai koinonikōn hymnōn,"","","",""
"Autograph letter by Beatrix Potter on the subject of the cat in ""Benjamin Bunny""","","","",""
Autograph letter by Beatrix Potter to Margaret Hough,"","","",""
Autograph letter signed,"","","",""
"Autograph letter starting ""I was pleased to find your letter & pretty card ...""","","","",""
Bamboo tube of two internodes,"","","",""
Bandlet of Righteousness (Lefāfa Sʻedq),"","","",""
Bible,"",Bible.,"",Bible
Book of hours,"",Book of hours.,"",Book of hours
Book of hours,"","","",Book of hours
Book of the Dead,"","","",""
Breviary,"","Breviary (Princeton University Library. Manuscript. Garrett MS.
				42)","",Breviary
Canticles and Apocalypse with Glossa ordinaria,"","","",""
Capitulare consiliariae Venetiarum sexterij Canaregij,"","","",""
Carta de foral /,"","","",""
Chestnut Street,"","","",""
Chto ni stranit︠s︡a,"","","",""
"Commentary on the Gospel of Matthew, Fragment (Princeton University Library. Manuscripts. Garrett MS. 16A)","","","",""
Commonplace book,"","","",""
Comoediae /,"",Works,"",""
Council of Trent,"",Canones et decreta,"",""
Cyropaedia /,"",Cyropaedia.,"",""
Daftar,دفتر.,"","",""
Decretum,"","","",Decretals
"Deed for a gift made by Iohannis, commander of Ravenna and his wife Stefania to Iohannia, abbess of the monastary of San Giovanni Battista (called ad Navicula)","","","",""
Deed for surety,"","","",""
Diary,"","","",""
Diary of an overland journey to California,"","","",""
"Diploma delivered by the University of Rome to Francisco Pieratti, Doctor of surgery","","","",""
"Dīvān-i Bīdil, va, Dīvān-i Shams",دىوان بىدل، و، دىوان شمس.,"","",""
Dīwān /,ديوان /,"","",""
Doctrina Arcanorum,"","","",""
Document of the National Covenant of Scotland,"","","",""
Doxastarion kai idiomela tou holou eniautou,"","","",""
English devotional miscellany,"","","",""
English devotional miscellany,"","English devotional miscellany (Princeton University Library. Manuscript.
				Garrett MS. 144)","",""
Entail of Redgrave Hall property,"","","",""
Expositio Haimonis svper ysaiam Prophetam,"",Annotatio libri Isaiae prophetae,"",""
Fatḥ al-bāqī bi-sharḥ Alfīyat al-ʻIrāqī,فتح الباقي بشرح الفىة العراقي.,"","",""
Feng xi shi ci gao /,鳳溪詩詞稿 /,"","",""
Franciscan antiphonary,"","Antiphonary (Princeton University. Library. Manuscript. Princeton MS.
				125)","",""
French and Italian songs,"","French and Italian songs (Princeton University. Library. Manuscript.
				Princeton MS. 141)","",""
Garrett Ethiopic Magic Scroll No. 105,"","","",""
Garrett Ethiopic Magic Scroll No. 86,"","","",""
Garrett Ethiopic Magic Scroll No. 94,"","","",""
Geʻez Grammar Book (Sawāsew),"","","",""
Gospel lectionary,"",Gospel lectionary (Princeton University Library. Garrett MS. 33),"",Lectionary
Gospels,"","","",""
Gospels,"","Gospels (Princeton University Library. Manuscripts. Garrett MS.
				4)","",""
Great Book of Maya Medicine,"","","",""
