ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00001,Princeton Ethiopic Manuscript No. 1,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,1800s,1800^1809,19,http://vocab.getty.edu/aat/300404513,false,"Princeton Ethiopic Manuscript No. 1: Psalter. Dawit|Psalms|Canticles of the Prophets of the Old and New Testaments|Song of Songs|Excerpts of Praise of Mary, Wəddase Maryam",||||,||||,||||,Q660|Q5972|Q48572|Q38389|Q100775,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 19 x 18 cm,"Layout: 1 col. [3r-135r], 21 lines; 2 col. [1r-2v, 135v], 21 lines.|Wooden boards; the upper stamped leather board is original to the manuscript, the lower wooden board (without leather) is broken and sewn; stitched and open spine. Loose binding and some folios damaged, probably by water. Written in black and red ink. Leather case with detached strap.|An incomplete Psalter. The usual books Gate of Light and Praise of Mary are missing, except for the first page from Praise of Mary, of the Monday section (135v), and a few pages from the Thursday section (1r-2v).|Fols. 2v, 3r, 4r, 69v, 70r, passim: Upper and lower margin scrawls in crude hand on many folios.|Fols. 70r-74r: Psalm 86, 87, 88, 89 numbered as 76, 77, 78, 79.","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00006,Princeton Ethiopic Manuscript No. 2,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,1800s,1800^1809,19,http://vocab.getty.edu/aat/300404513,false,"Princeton Ethiopic Manuscript No. 2: Psalter. Dawit|Nicene Creed|Concluding Prayer|Psalms|Excerpts of Unidentified Texts, Probably Image of Egzi'abəher Ab, Image of the Holy Savior, and Image of the Icon of Mary|Canticles of the Prophets of the Old and New Testaments|Song of Songs|Praise of Mary (Wəddase Maryam)|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday|Gate of Light|Image of Edom|Excerpts of Unidentified Texts, Probably Image of Egzi'abəher Ab, Image of the Holy Savior, and Image of the Icon of Mary",|||||||||||||||||,|||||||||||||||||,|||||||||||||||||,Q660|Q20418|Q20014|Q5972|Q5037|Q48572|Q38389|Q100775||||||||Q100776|Q100777|Q5037,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 17 x 12 cm,"Layout: 1 col. [4r-113r], 27 lines; 2 col. [113r-130r], 26 lines.|Decoration: One miniature.|Wooden boards in stamped red leather, stitched and open spine. Written in black and red ink. Two-part leather case with leather strap.|Illustration: Fol. 2v: Drawing of angel with drawn sword, in red and black ink, in a later hand.|Fol. 1v: Pen scrawl and note of later ownership, without name, in a later hand.|Fols. 1v-2r: Original text erased.|Fol. 3r: Pen trial.|Fol. 3v: Pen scrawls.|Fol. 94v: The later buyer and seller of the manuscript, as well as the witness and guarantor, are mentioned. The buyer","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00024,Princeton Ethiopic Manuscript No. 3,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,1900s,1900^1909,20,http://vocab.getty.edu/aat/300404514,false,Princeton Ethiopic Manuscript No. 3: Psalter. Dawit|Canticle|Magical Prayer Against Snake Bite|Psalms|Canticles of the Prophets of the Old and New Testaments|Song of Songs|Praise of Mary (Wəddase Maryam)|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday|Gate of Light,||||||||||||||,||||||||||||||,||||||||||||||,Q660|Q48572|Q20014;Q38350|Q5972|Q48572|Q38389|Q100775||||||||Q100776,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 17 x 13 cm,"Layout: 1 col. [3r-142r], 22 lines; 2 col. [142v-157r], 22 lines.|Written in black and red ink. Two-part leather case with leather strap. Wooden boards in stamped red leather with covered spine.|No owner listed.|Fols. 3r, 157v: Later owner's name appears in pencil and pen, Haläqa Kiros Zägäyä.|Fol. 1v: Pen trial.|Fol. 2v: In crude hand, practice writing of Psalm 1.|Fol. 157r: Pen trial and the salutation of a letter.|fol. 157v: Pen scrawl.|Manuscript has pen trials on about two dozen folios.|The Psalter daily readings are marked on the relevant pages in a la","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00039,Princeton Ethiopic Manuscript No. 4,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,circa 1770-1830,1770^1830,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Princeton Ethiopic Manuscript No. 4: Psalter. Dawit|Text of the Image of the Archangel Saint Gabriel|Psalms|Canticles of the Prophets of the Old and New Testaments|Song of Songs|Praise of Mary (Wəddase Maryam)|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday|Gate of Light|Text of the Image of the Archangel Saint Gabriel,||||||||||||||,||||||||||||||,||||||||||||||,Q660|Q100778|Q5972|Q48572|Q38389|Q100775||||||||Q100776|Q100778,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 20 x 17 cm,"Layout: 1 col. [2r-145r], 19 lines; 2 col. [145v-158v], 19 lines.|Written in black and red ink. Plain wooden boards, fragment of upper board missing, lower board broken and sewn. Stitched and open spine. Loose binding.|Illustrations: fols. 2r, 24v, 43v, 65v, 124r: Häräg (headpieces).|Fol. 1v: In crude hand, Ge'ez alphabet.|Manuscript has pen trials on about a dozen folios.|No owner listed.|No scribe listed.|No miniatures.|No musical notation.","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00054,Princeton Ethiopic Manuscript No. 5,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,1800s,1800^1809,19,http://vocab.getty.edu/aat/300404513,false,Princeton Ethiopic Manuscript No. 5: Psalter. Dawit|Psalm 38-40|Psalm 47-49,||,||,||,Q660|Q5972|Q5972,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 17 x 19 cm,"Layout: 1 col., 19 lines.|Written in black and red ink. No case. No binding|An incomplete Psalter. Manuscript is a fragment of two folios from the same piece of parchment.|No owner listed.|No scribe listed.|No miniatures.|No musical notation.","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00057,Princeton Ethiopic Manuscript No. 6,http://arks.princeton.edu/ark:/88435/xd07gs74n,"",Ethiopia,Q3655,1800s,1800^1809,19,http://vocab.getty.edu/aat/300404513,false,Princeton Ethiopic Manuscript No. 6: Psalter. Dawit|Psalms|Canticles of the Prophets of the Old and New Testaments|Song of Songs|Praise of Mary (Wəddase Maryam)|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday|Gate of Light|Excerpt from Psalter,|||||||||||||,|||||||||||||,|||||||||||||,Q660|Q5972|Q48572|Q38389|Q100775||||||||Q100776|Q660,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 13 x 18 cm,"Layout: 1 col. [3r-137v], 21 lines; 2 col. [138r-150v], 23 lines.|Written in black and red ink. Fols. 1r, 2v: Blank. Two miniatures. No case. Glossy wooden boards, stitched and open spine.|Illustration: Fol. 1v: Miniature of King David playing the harp.|Illustration: Fol. 2r: Miniature of the Virgin Mary with the Christ Child and two angels with drawn swords.|Unnumbered folded quarter folio at front of the manuscript, part of binding, has a pen trial and a list of the moveable feasts days.|Fols. 70r-74r: Psalm 86, 87, 88, 89 numbered as 76, 77, 78, 79.|Fo","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00071,Princeton Ethiopic Manuscript No. 7,http://arks.princeton.edu/ark:/88435/xd07gs74n,https://figgy.princeton.edu/concern/scanned_resources/919b6dfa-db00-437c-a49d-0b76eb4358d1/manifest,Ethiopia,Q3655,circa 1870-1945,1870^1945,19;20,http://vocab.getty.edu/aat/300404513;http://vocab.getty.edu/aat/300404514,false,"Princeton Ethiopic Manuscript No. 7: Image of Saint George (Mälkə'a Giyorgis), Image of the Christian Sabbath (Mälkə'a Sänbätä Kərəstiyan)|Image of Saint George, Zä-Säleda Mogäs|Image of the Christian Sabbath, Mälkə'a Sänbätä Kərəstiyan|Hymn to the Church, Sälam Läki Betä Kərəstiyan|Excerpts from the Book of Hours, Lä-Adam Fasikahu",||||,||||,||||,Q100779;Q100780|Q100779|Q100780|Q100781|Q795,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 10.5 x 13.5 cm,"Layout: 1 col, 10 lines.|Written in black and red ink. Two-part leather case with strap. Wooden boards covered with khaki fabric.|Illustration: Fol. 1r: Häräg.|Fols. 8v, 11rv, 12r, 31r, passim: Pencil scrawls.|Fol. 31v: Ge'ez alphabet in another hand.|No owner listed.|No scribe listed.|No miniatures.|Late 19th century, with 20th-century additions.","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00076,Princeton Ethiopic Manuscript No. 8,http://arks.princeton.edu/ark:/88435/xd07gs74n,https://figgy.princeton.edu/concern/scanned_resources/1af96344-4489-48e5-9b42-b54fbcdd10d7/manifest,Ethiopia,Q3655,late 19th century,1870^1899,19,http://vocab.getty.edu/aat/300404513,false,Princeton Ethiopic Manuscript No. 8: Miracles of Mary (Tä'amrä Maryam)|First Miracle of Mary|Second Miracle of Mary|Third Miracle of Mary|Fourth Miracle of Mary|Fifth Miracle of Mary|Sixth Miracle of Mary|Seventh Miracle of Mary|Eighth Miracle of Mary|Ninth Miracle of Mary|Tenth Miracle of Mary|Eleventh Miracle of Mary|Twelfth Miracle of Mary|Thirteenth Miracle of Mary|Fourteenth Miracle of Mary|Fifteenth Miracle of Mary|Sixteenth Miracle of Mary|Seventeenth Miracle of Mary|Eighteenth Miracle of Mary|Nineteenth Miracle of Mary|Twentieth Miracle of Mary|Twenty-First Miracle of Mary|Twenty-Second Miracle of Mary|Twenty-Third Miracle of Mary|Twenty-Fourth Miracle of Mary|Twenty-Fifth Miracle of Mary|Twenty-Sixth Miracle of Mary|Twenty-Seventh Miracle of Mary,|||||||||||||||||||||||||||,|||||||||||||||||||||||||||,|||||||||||||||||||||||||||,Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782|Q100782,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 12 x 14.5 cm,"Layout: 2 cols, 14 lines.|Written in black and red ink. No case. Wooden boards missing, stitched and open spine. Folios missing at the beginning of the ms. Fol. 22r: Second column blank. Fols. 22v, 38v: Blank. fols. 46rv: One quarter of folio is torn and missing at the top.|Fols. 10v, 12v, 25r, 27r: Owner's named erased at the beginning of every miracle, but appears faintly on these folios as ""Zä'ra Krəstos.""|Fol. 47: Previous cataloger says this folio loose, but no folio 47 is in the box.|Manuscript is in different hands, one hand for 1r-22v (miracles 1-12), another for fols. 22r-46v (miracles 13-27). The two parts were commissioned at the sa","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00104,Princeton Ethiopic Manuscript No. 9,http://arks.princeton.edu/ark:/88435/xd07gs74n,https://figgy.princeton.edu/concern/scanned_resources/ba03fb38-1dc1-4e0d-95a8-3019aebc26f6/manifest,Ethiopia,Q3655,1900s,1900^1909,20,http://vocab.getty.edu/aat/300404514,false,"Princeton Ethiopic Manuscript No. 9: Introductory Rite for Miracles of Mary (Mäqdəmä Tä'amər), from Mu'älläqa|Introductory Rite from Mu'älläqa",|,|,|,Q100783;Q100782|Q100783,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: Parchment Codex.; 14 x 12.5 cm,"Layout: 2 cols., 18 lines.|Written in black and red ink. No case. No wooden boards. The first and the last folios are used as a cover. Fols. 1rv, 13v, 14rv: Blank|Fol. 13r: States the scribe's name is Gäbrä Śəllase.|Perhaps the manuscript includes only the introductory rite because they intended to add the Miracles of Mary later.|No owner listed.|No miniatures.","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
,"","",ds-csv,dacs,Q12264,Princeton University,aspace_C0776_c00106,Princeton Ethiopic Manuscript No. 10,http://arks.princeton.edu/ark:/88435/xd07gs74n,https://figgy.princeton.edu/concern/scanned_resources/96ad791f-419e-4293-9e0d-74bfd6d66387/manifest,Ethiopia,Q3655,1800s,1800^1809,19,http://vocab.getty.edu/aat/300404513,false,Princeton Ethiopic Manuscript No. 10: Gospel of John (Wängel Zä-Yohannəs),"","","",Q665,"","","Manuscripts, Ethiopic.|Psalters - -Ethiopia.",Q3511|Q4323;Q11151,"","","","","","","","","","","","","","","",Geez|gez,Q3664|Q3664,Parchment Codex.,Q33,Extent: 1 item; Parchment Codex.; 15.5 x 11.3 cm,"Layout: 2 cols, 13 lines.|Written in black and red ink. Wooden boards in stamped red leather and flowered cloth visible inside, covered spine. Fols. 1v-2rv, 3v, 127v-129v: Blank. Green yarns through upper folios mark the daily readings: Monday? (fol. 4r), Saturday (fol. 29v), Tuesday (fol. 36r), Saturday (fol. 59v), Wednesday (fol. 71r), Thursday (fol. 85v), Friday (fo...[text truncated]|Illustration: Fol. 4r: Häräg.|On the inside of upper wooden board is a beige sticker seal with the words ""Ex libris Grenville Kane.""|Fol. 1r: Inscription in Latin script: ""To my brother-in-law / Grenville Kane / Souvenir affections (?) / Namil Mourichon"" The last two words, the name in the signature, are extremely unclear; could be Harriet or? David Inourichman.|Fol. 3r: I","This cataloging project was made possible through generous support from the David A. Gardner '69 Magic Project, Princeton University.",2025-06-13 11:24:03 -0400,20250519,20250519-princeton-csv-ethiopic.csv
