ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q12264,Princeton University,99116505853506421,Islamic Manuscripts Garrett no. 1015Y,https://catalog.princeton.edu/catalog/99116505853506421,"","","",17th century,1600^1699,17,http://vocab.getty.edu/aat/300404511,false,Ḥayāt al-arwāḥ wa-najāt al-ashbāḥ ... [etc,حياة الارواح ونجات الاشباح ... الخ,Works,"",Q5989,"","","Future life--Islam--Early works to 1800|Islamic ethics--Early works to 1800|Islamic law--Early works to 1800|Prayer--Islam--Early works to 1800|Sufism--Early works to 1800|Sufism--Doctrines--Early works to 1800|Sufi chants--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton",Q11604;Q300|Q11320;Q300|Q3605;Q300|Q11135;Q300|Q11239;Q300|Q11235;Q300|Q48878;Q300|Q256;Q11460,"Mahmut Hüdayî, 1543 or 1544-1628",محمود هدائي، 1543 or 1544-1628,Q54828,"","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 147 leaves : paper ; 210 x 110 (133-137 x 52) mm.,"Ms. composite codex.|Layout: 17 lines per page.|Acquired from Abraham Shalom Yahuda, 1942.","",2025-07-28 15:05:53 -0400,20230106,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,99116505883506421,Islamic Manuscripts Garrett no. 1021Y,https://catalog.princeton.edu/catalog/99116505883506421,https://figgy.princeton.edu/concern/scanned_resources/0678a06e-bc83-4d28-b4fc-fca037f678c5/manifest,"","",1700-1899,1700^1899,18;19,http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Fatḥ al-baṣāʼir ... [etc,فتح البصائر ... الخ,"","",Q12197,Gold tooled bindings (Binding)|Stamps (Provenance)|illuminated manuscripts|headpieces (layout features),Q5859|Q3075|Q4268|Q11536,"Bakrī, Abū al-Ḥasan ibn Jalāl al-Dīn, -approximately 1543. Ḥizb|Muḥammad, Prophet, -632--Friends and associates--Early works to 1800|Shādhilī, Abū al-Ḥasan ʻAlī ibn ʻAbd Allāh, approximately 1196-1258. Ḥizb al-barr|Nawawī, 1233-1277. Ḥizb|Islam--Prayers and devotions--Early works to 1800|Islamic law|Prayer--Islam--Early works to 1800|Shādhilīyah--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton",|Q3639;Q11488;Q300|||Q3549;Q3052;Q300|Q3605|Q11135;Q300|Q11473;Q300|Q256;Q11460,"","","","","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 252 leaves : paper ; 204 x 138 (140 x 70) mm.,"Ms. composite codex.|Title from title page (fol. 2a).|Table of contents on folio [i]b-1a. Alphabet square on folio 138a.|Collation: Paper ; fol. 252 + ii ; foliation in red ink using Hindu-Arabic numerals ; modern foliation in pencil using Western numerals.|Layout: 17 lines per page ; frame-ruled in red.|Decoration: Fatḥ al-baṣāʼir has illuminated headpiece, with gold and black frame-ruled edging on opening pages (folios 2b-3a).|Origin: [Sharḥ al-ḥizb al-kabīr] Copied Dhū al-Ḥijjah 1210|Seal impression of al-Sayyid Ibrāhīm Nūr al-Dīn with date [1]251 (fol. 1a, 2a, and prelim folio). Acquired from Brill, Leyden, 1900.","",2025-07-28 15:05:53 -0400,20230327,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9950284223506421,Islamic Manuscripts Garrett no. 102Y,https://catalog.princeton.edu/catalog/9950284223506421,https://figgy.princeton.edu/concern/scanned_resources/be3ed944-2780-41e8-97ba-079e428a06e0/manifest,"","",15--?,1500^1599,16,http://vocab.getty.edu/aat/300404510,false,Kitāb al-Ashbāh wa-al-naẓāʼir fī al-fiqh al-Shāfiʻī /,كتاب الاشباه والنظائر في الفقه الشافعي /,Ashbāh wa-al-naẓāʼir fī al-fiqh al-Shāfiʻī,اشباه والنظائر في الفقه الشافعي,Q64062,"","","Islamic law--Early works to 1800|Shafiites|Manuscripts, Arabic--New Jersey--Princeton",Q3605;Q300|Q11573|Q256;Q11460,"Suyūṭī, 1445-1505",سيوطي,Q10868,"","","","","","","","","","","","",ara,Q118,paper,Q31,"Extent: i, ii, 170, i, i leaves: paper ; 260 x 180 (200 x 125) mm.","Ms. codex.|Title from modern title page (fol. (ii)a).|26 lines per page. Written in medium small clear naskh in black ink for headings and re-inking. Thick light cream paper. The upper half of the first fol. is damaged with important loss of text. Some leaves are mended, with the text recopied on the repair (see fol. 1, 2). Inscription on fol. 169b. Modern foliation in pencil using Western numerals (omits the first fol.).|Acquired from Abraham Shalom Yahuda, 1942.","",2025-07-28 15:05:53 -0400,20240307,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,"",Q12264,Princeton University,9962664703506421,Islamic Manuscripts Garrett no. 1055Y,https://catalog.princeton.edu/catalog/9962664703506421,https://figgy.princeton.edu/concern/scanned_resources/ef03bf08-4c47-4275-b825-438b5a122b28/manifest,"","",1700-1799,1700^1799,18,http://vocab.getty.edu/aat/300404512,false,Sharḥ ʻalá baḥth sujūd al-saḥw fī Kitāb al-Multaqá,"","","",Q12197,"Manuscripts, Arabic--18th century",Q256;Q3024,"Ḥalabī, Ibrāhīm ibn Muḥammad, -1549 or 1550. Multaqá al-abḥur|Islamic law--Early works to 1800|Prayer--Islam--Early works to 1800|Droit islamique--Ouvrages avant 1800|Prière--Islam--Ouvrages avant 1800|Islamic law|Prayer--Islam",|Q3605;Q300|Q11135;Q300|Q3605;Q300|Q11135;Q300|Q3605|Q11135,"Qirīmī, ʻAbd Allāh ibn Amīn, d. 1796 or 7","","","","","","","","","","","","","","",ara,Q118,"","","","ff. 10. 228 x 142; 145 x 63 mm. 21 lin. autograph, Rajab 1204.|On a passage in Multaqá al-abḥur.|Incip.: ... الحمد لله ... وبعد فىقول ... لما استشکل ما وقع فى عبارة الملتقى","",2025-07-28 15:05:53 -0400,20221216,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9963584133506421,Islamic Manuscripts Garrett no. 1085H,https://catalog.princeton.edu/catalog/9963584133506421,https://figgy.princeton.edu/concern/scanned_resources/912e035c-d5b9-4499-8737-28abbce171da/manifest,"","",17th century,1600^1699,17,http://vocab.getty.edu/aat/300404511,false,al-Targhīb fī al-ikhlāṣ wa-al-ṣidq wa-al-nīyah al-ṣāliḥah ... [etc,الترغيب في الاخلاص والصدق والنية الصالحة ... الخ,"","",Q12197,magic squares|Gold tooled bindings (Binding)|Autographs (Provenance)|Watermarks (Paper)|Headbands (Binding),Q11568|Q5859|Q38431|Q5815|Q11385,"Muḥammad, Prophet, -632|Maghribī, Aḥmad ibn ʻAbd al-Razzāq, -1684 or 1685. Manẓūmat al-shuhadāʼ|Muḥammad, Prophet, -632|Bathhouses--Early works to 1800|Caliphs--Early works to 1800|Hair--Religious aspects--Islam--Early works to 1800|Hair--Removal--Legal aspects--Islamic law--Early works to 1800|Herbs--Early works to 1800|Islam--Customs and practices--Early works to 1800|Islamic ethics--Early works to 1800|Islamic sermons, Arabic--Early works to 1800|Muslim martyrs--Early works to 1800|Muslims--Conduct of life--Early works to 1800|Religious life--Islam--Early works to 1800|Smoking (Islamic law)--Early works to 1800|Sufism--Early works to 1800|Arabian Peninsula--Geography--Early works to 1800|Egypt--Early works to 1800|Nile River--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton|Bains-douches--Ouvrages avant 1800|Califes--Ouvrages avant 1800|Herbes--Ouvrages avant 1800|Islam--Coutumes et pratiques--Ouvrages avant 1800|Morale islamique--Ouvrages avant 1800|Martyrs musulmans--Ouvrages avant 1800|Musulmans--Morale pratique--Ouvrages avant 1800|Soufisme--Ouvrages avant 1800|Arabie (Péninsule)--Géographie--Ouvrages avant 1800|Bathhouses|Caliphs|Geography|Hair--Religious aspects--Islam|Herbs|Islam--Customs and practices|Islamic ethics|Islamic sermons, Arabic|Muslim martyrs|Muslims--Conduct of life|Religious life--Islam|Smoking (Islamic law)|Sufism|Arabian Peninsula",Q3639||Q3639|Q11400;Q300|Q11342;Q300|Q27229;Q300|Q4931;Q3605;Q300|Q103525;Q300|Q11380;Q300|Q11320;Q300|Q11140;Q300|Q48779;Q300|Q11347;Q300|Q3634;Q300|Q11298;Q300|Q11239;Q300|Q20347;Q191;Q300|Q11259;Q300|Q11123;Q300|Q256;Q11460|Q11400;Q300|Q11342;Q300|Q103525;Q300|Q11380;Q300|Q11320;Q300|Q48779;Q300|Q11347;Q300|Q11239;Q300|Q20347;Q191;Q300|Q11400|Q11342|Q191|Q27229|Q103525|Q11380|Q11320|Q11140|Q48779|Q11347|Q3634|Q11298|Q11239|Q20347,"","","","","","","Miʻmār, Yūsuf ibn ʻUmar, active 17th century",معمار، يوسف بن عمر، active 17th century,"","","","","","","",ara,Q118,paper,Q31,Extent: 113 leaves : paper ; 210 x 146 (155-161 x 80-85) mm bound to 207 x 151 mm.,"Ms. composite codex.|Title from caption of first work (fol. 1b).|Inscriptions and ownership signature (fol. 1a).|Collation: Paper ; fol. 113 ; catchwords ; modern foliation in pencil using Western numerals.|Layout: 31 lines per page in one or two columns ; ruled ; first work written on a slant (fol. 1-13) ; fol. 17b-26b frame-ruled in red.|Description: Rubricated ; watermarks (crown-star-crescent, countermark roman-alphabet initals and trefoil) ; MS in good condition.|Origin: [On the virtues] Copy completed at the end of Jumādá al-Thānī 1099 by Yūsuf ibn ʻUmar ibn al-Miʻmār (fol. 41a) -- [Manāhij al-tawassul] Copied Thursday 21 Jumādá al-Thānī 1099 by Yūsuf ibn ʻUmar ibn al-Miʻmār (fol. 78a).|Acquired from Brill, Leyden, A.D. 1900.","",2025-07-28 15:05:53 -0400,20240216,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,"",Q12264,Princeton University,9962667783506421,Islamic Manuscripts Garrett no. 1085Y,https://catalog.princeton.edu/catalog/9962667783506421,"","","",1500-1599,1500^1599,16,http://vocab.getty.edu/aat/300404510,false,al-Muqaddimah fī al-ṣalāh,"","","",Q12197,"Manuscripts, Arabic--16th century",Q256;Q335,Islamic law--Early works to 1800|Prayer--Islam--Early works to 1800|Droit islamique--Ouvrages avant 1800|Prière--Islam--Ouvrages avant 1800|Islamic law|Prayer--Islam,Q3605;Q300|Q11135;Q300|Q3605;Q300|Q11135;Q300|Q3605|Q11135,"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?","",Q12470,"","","","","","","","","","","","",ara,Q118,"","","","fol. 1b-23a. 210 x 155; 148 x 98 mm. 9 lin. 987 H.|Brockelmann, GAL, I, 210 (no. 5); S I, 348.|Incip.: ... الحمد لله ... قال ... اعلم بان الصلاة فرىضة","",2025-07-28 15:05:53 -0400,20221216,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9963583153506421,Islamic Manuscripts Garrett no. 1090H,https://catalog.princeton.edu/catalog/9963583153506421,https://figgy.princeton.edu/concern/scanned_resources/b4c096bb-3296-487b-bcf8-0ef14d63dba9/manifest,"","","23 Rabīʻ al-Awwal 1196 [March 8, 1782?",1782,18,http://vocab.getty.edu/aat/300404512,true,al-Juzʼ al-thānī min Kitāb Asná al-maṭālib fī ṣilat al-aqārib /,الجزء الثاني من كتاب اسنى المطالب في صلة الاقارب /,Asná al-maṭālib fī ṣilat al-aqārib,اسنى المطالب في صلة الاقارب,Q12197,Watermarks (Paper)|Autographs (Provenance),Q5815|Q38431,"Domestic relations (Islamic law)--Early works to 1800|Kinship (Islamic law)--Early works to 1800|Families--Religious aspects--Islam--Early works to 1800|Interpersonal relations--Religious aspects--Islam--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton|Domestic relations (Islamic law)|Families--Religious aspects--Islam|Interpersonal relations--Religious aspects--Islam|Kinship (Islamic law)",Q103521;Q300|Q48782;Q300|Q7401;Q300|Q103509;Q300|Q256;Q11460|Q103521|Q7401|Q103509|Q48782,"Ibn Ḥajar al-Haythamī, Aḥmad ibn Muḥammad, approximately 1503-approximately 1566",ابن حجر الهيثمي، احمد بن محمد، approximately 1503-approximately 1566,Q12334,"","","","Bāqīs, Aḥmad ibn Muḥsin, active 18th century",باقيس، احمد بن محسن، active 18th century,"","","","","","","",ara,Q118,paper,Q31,Extent: 188 leaves : paper ; 231 x 166 (162 x 95) mm.,"Ownership signature: ʻAbd al-Salām al-Shaṭṭī dated 1285 (fol.1a). Acquired from Brill, Leyden, 1900.|Ms. codex.|Title from caption (fol. 1a).|A few marginal notes and glosses. MS is incomplete at the beginning but on the first folio the above title is given and the work is attributed to Ibn Ḥajar. Immediately after the colophon is a note stating that the copy was made for the library of Sultan Faḍl ibn ʻAbd al-Karīm Faḍl.|Collation: Paper ; fol. 188 ; 20 quires ; catchwords ; modern foliation in pencil using Western numerals.|Layout: 18 lines per page.|Description: Overwriting and overlining in red ; watermarks (three crescents; three stars and roman-alphabet initials ""FV"") ; MS in good condition.|Origin: According to colophon copy completed Monday 23 Rabīʻ al-Awwal 1196 by Aḥmad ibn Muḥsin ibn ʻAbd Allāh ibn Muḥsin ibn Muḥammad ibn ʻAbd al-Kabīr Bāqīs (fol. 187a-b).","",2025-07-28 15:05:53 -0400,20231016,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9963583373506421,Islamic Manuscripts Garrett no. 1092H,https://catalog.princeton.edu/catalog/9963583373506421,https://figgy.princeton.edu/concern/scanned_resources/fb74c2ff-6fa4-4f6b-a4e4-f93d747bf748/manifest,"","",18th century?,1700^1799,18,http://vocab.getty.edu/aat/300404512,false,Risālah fī ādāb al-sharīʻah wa-ādāb al-siyāsah,رسالة في آداب الشريعة وآداب السياسة,"","",Q12197,Watermarks (Paper),Q5815,"Religious life--Islam--Early works to 1800|Islamic law--Early works to 1800|Islam and politics--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton",Q3634;Q300|Q3605;Q300|Q11254;Q300|Q256;Q11460,"","","","","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 23 leaves : paper ; 210 x 153 (152 x 111) mm bound to 210 x 156 mm.,"Ms. codex.|Title from caption (fol. 1a).|A few marginal notes. Inscriptions on upper pastedown.|Collation: Paper ; fol. 23 ; catchwords ; modern foliation in pencil using Western numerals.|Layout: 20 lines per page.|Description: Overwriting and overlining in red ; watermarks (three crescents) ; MS in fair condition.|Origin: Probably from the XVIIIth century|Acquired from Brill, Leyden, A.D. 1900.","",2025-07-28 15:05:53 -0400,20231011,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9963583403506421,Islamic Manuscripts Garrett no. 1099H,https://catalog.princeton.edu/catalog/9963583403506421,https://figgy.princeton.edu/concern/scanned_resources/7258e635-78b8-418e-8367-f4ba90eb3277/manifest,"","",16th century?,1500^1599,16,http://vocab.getty.edu/aat/300404510,false,Sharḥ al-Muqaddimah /,شرح المقدمة /,Sharḥ al-Muqaddimah fī al-ṣalāh,شرح المقدمة في الصلاة,Q64080,Autographs (Provenance),Q38431,"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983? Muqaddimah fī al-ṣalāh|Islamic law--Early works to 1800|Prayer--Islam--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton|Islamic law|Prayer--Islam",|Q3605;Q300|Q11135;Q300|Q256;Q11460|Q3605|Q11135,"Qaramānī, Muṣṭafá ibn Zakarīyā ibn Aydughmush, -1406",قرماني، مصطفى بن زكريا بن ايدغمش، -1406,Q41545,"","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 92 leaves : paper ; 168 x 127 (130-135 x 95) mm bound to 164 x 127 mm.,"Ms. codex.|Title from title page (fol. 1a).|Marginal notes and glosses. Inscriptions immediately after colophon and on its verso (fol. 92a-92b)|Collation: Paper ; fol. 92 (lower pastedown labeled ""93"") ; catchwords ; modern foliation in pencil using Western numerals.|Layout: 17 lines per page.|Description: Rubricated ; some vowel signs ; MS in good condition, mended.|Origin: Probably from the XVIth century.|Obscured ownership signatures on title page (fol. 1a). Acquired from Brill, Leyden, AD. 1900.","",2025-07-28 15:05:53 -0400,20231011,20250630-princeton-marcxml-islamiclaw.xml
,"","",marc-xml,amremmrda,Q12264,Princeton University,9963581753506421,Islamic Manuscripts Garrett no. 10G,https://catalog.princeton.edu/catalog/9963581753506421,https://figgy.princeton.edu/concern/scanned_resources/66935cbf-0a26-4883-83a1-990fca436276/manifest,"","",1246,1246,13,http://vocab.getty.edu/aat/300404505,true,al-Juzʼ al-awwal min Kitāb al-Nihāyah fī al-fiqh /,الجزء الاول من كتاب النهاية في الفقه /,Nihāyah fī mujarrad al-fiqh wa-al-fatāwá,نهاية في مجرد الفقه والفتاوى,Q64062,"Manuscripts, Arabic--13th century",Q256;Q245,"Islamic law--Early works to 1800|Shīʻah--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton",Q3605;Q300|Q11431;Q300|Q256;Q11460,"Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?",طوسي، محمد بن الحسن، 995-1067?,Q67796,"","","","","","","","","","","","",Arabic,Q118,paper,Q31,Extent: 229 leaves : paper ; 238 x 173 (190 x 130) mm bound to 238 x 173 mm,"Ms. codex.|Title from leaf 1a by a later hand.|Physical description: 21 lines per page; written in naskh in brown and black on heavy, tan, glazed, laid Arabic paper. Vocalized. Numerous paper repairs, occasionally resulting in some loss of text; extensive damp staining and some mildewing, but text still legible.|Origin: 26 Rabīʻ I 644 H [11 August 1246], by Ḥusayn ibn Muḥammad ibn Jaʻfar al-Baghdādī (leaf 229a).|Several owner's notes on leaf 1a, one of which is dated 30 Rabīʻ I 1099 H [3 February 1688]. Owner's note on inner back cover dated 1272 H [1855 or 1856]. Acquired by Robert Garrett from Messayeh, New York, 1928.","",2025-07-28 15:05:53 -0400,20240307,20250630-princeton-marcxml-islamiclaw.xml
