ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,"",Q12264,Princeton University,9961233373506421,Islamic Manuscripts  New Series no. 605,https://catalog.princeton.edu/catalog/9961233373506421,"","","",1700-1799,1700^1799,18,http://vocab.getty.edu/aat/300404512,false,Mujlī mirʼāt al-munjī,"","","",Q55095,"Manuscripts, Arabic--18th century",Q256;Q3024,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473. Masālik al-afhām|Islam--Doctrines--Early works to 1800|Motazilites--Early works to 1800|Asharites--Early works to 1800|Shīʻah--Doctrines--Early works to 1800|Islamic philosophy--Early works to 1800",|Q11301;Q300|Q11548;Q300|Q16399;Q300|Q39091;Q300|Q3016;Q300,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473","",Q106641,"","","","","","","","","","","","",ara,Q118,"","","","ff. 439 [last fol. missing]. 18th cen.|Brockelmann, GAL, SII, 272 (4: no. 4); Kant. 488, no. 2741? Mushār, Fihrist-i kitābhā-yi chāp-i ʻArabī 787; Fihrīst-i kitābkhānah-ʼi Majlis-i Shūrā-yi Millī, IV, 140; Malik 635 (with further references); Qum 5, 1737; Āghā Buzurg, al-Dharīʻah (1936-), XXI (s.v. Maslak). The author's commentary on Maslak al-afhām fī ʻilm al-kalām.|Incip. [matn]: الحمد لله واجب الوجود ... و بعد فان امرى ما توجهت","",2025-08-29 14:56:44 -0400,20240819,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,"",Q12264,Princeton University,9961233383506421,Islamic Manuscripts  New Series no. 1029,https://catalog.princeton.edu/catalog/9961233383506421,"","","",1600-1699,1600^1699,17,http://vocab.getty.edu/aat/300404511,false,Mujlī mirʼāt al-munjī,"","","",Q55095,"Manuscripts, Arabic--17th century",Q256;Q2771,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473. Masālik al-afhām|Islam--Doctrines--Early works to 1800|Motazilites--Early works to 1800|Asharites--Early works to 1800|Shīʻah--Doctrines--Early works to 1800|Islamic philosophy--Early works to 1800",|Q11301;Q300|Q11548;Q300|Q16399;Q300|Q39091;Q300|Q3016;Q300,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473","",Q106641,"","","","","","","","","","","","",ara,Q118,"","","","ff. 102 [mutil., fol. 87-102 bound in wrong sequence]. 17th cen.|Brockelmann, GAL, SII, 272 (4: no. 4); Kant. 488, no. 2741? Mushār, Fihrist-i kitābhā-yi chāp-i ʻArabī 787; Fihrīst-i kitābkhānah-ʼi Majlis-i Shūrā-yi Millī, IV, 140; Malik 635 (with further references); Qum 5, 1737; Āghā Buzurg, al-Dharīʻah (1936-), XXI (s.v. Maslak). The author's commentary on Maslak al-afhām fī ʻilm al-kalām.|Incip. [matn]: الحمد لله واجب الوجود ... و بعد فان امرى ما توجهت","",2025-08-29 14:56:44 -0400,20240819,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,"",Q12264,Princeton University,9961233393506421,Oversize Islamic Manuscripts  New Series no. 1827q,https://catalog.princeton.edu/catalog/9961233393506421,"","","","","",,,false,Mujlī mirʼāt al-munjī,"","","",Q55095,"Manuscripts, Arabic",Q256,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473. Masālik al-afhām|Islam--Doctrines--Early works to 1800|Motazilites--Early works to 1800|Asharites--Early works to 1800|Shīʻah--Doctrines--Early works to 1800|Islamic philosophy--Early works to 1800",|Q11301;Q300|Q11548;Q300|Q16399;Q300|Q39091;Q300|Q3016;Q300,"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473","",Q106641,"","","","","","","","","","","","",ara,Q118,"","","","incompl. at end.|Brockelmann, GAL, SII, 272 (4: no. 4); Kant. 488, no. 2741? Mushār, Fihrist-i kitābhā-yi chāp-i ʻArabī 787; Fihrīst-i kitābkhānah-ʼi Majlis-i Shūrā-yi Millī, IV, 140; Malik 635 (with further references); Qum 5, 1737; Āghā Buzurg, al-Dharīʻah (1936-), XXI (s.v. Maslak). The author's commentary on Maslak al-afhām fī ʻilm al-kalām.|Incip. [matn]: الحمد لله واجب الوجود ... و بعد فان امرى ما توجهت","",2025-08-29 14:56:44 -0400,20240819,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,"",Q12264,Princeton University,9961234043506421,Islamic Manuscripts  New Series no. 380,https://catalog.princeton.edu/catalog/9961234043506421,https://figgy.princeton.edu/concern/scanned_resources/eee7fd6e-8cb2-4b23-b459-a31e02208876/manifest,"","",1600-1699,1600^1699,17,http://vocab.getty.edu/aat/300404511,false,al-Muṭāraḥāt,"","","",Q5996,"Manuscripts, Arabic--17th century",Q256;Q2771,Islamic philosophy--Early works to 1800,Q3016;Q300,"Suhrawardī, Yaḥyá ibn Ḥabash, 1152 or 1153-1191","",Q106642,"","","","","","","","","","","","",ara,Q118,"","","","ff. 399 [completed copy]. 253 x 125mm. 23 lin. 24 Jumādá II, 1060H.|Brockelmann, GAL, I, 565 (no. 3); SI, 782; cf. Fihrīst-i kitābkhānah-ʼi Majlis-i Shūrā-yi Millī, V, 470 (al-Mashāriʻ wa-al-muṭāraḥāt).|Incip.: هذا کتاب مشتمل على العلوم الثلثة حررته بحکم اقتراحکم","",2025-08-29 14:56:44 -0400,20240819,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,"",Q12264,Princeton University,9961234673506421,Islamic Manuscripts  New Series no. 2018,https://catalog.princeton.edu/catalog/9961234673506421,https://figgy.princeton.edu/concern/scanned_resources/bfc5d409-f5e6-414e-b2d0-12e3bdda4ea5/manifest,"","",1600-1699,1600^1699,17,http://vocab.getty.edu/aat/300404511,false,al-Qabasāt,"","","",Q5996,"Manuscripts, Arabic--17th century",Q256;Q2771,Islamic philosophy--Early works to 1800|Philosophie islamique--Ouvrages avant 1800|Islamic philosophy,Q3016;Q300|Q3016;Q300|Q3016,"Dāmād, Muḥammad Bāqir ibn Muḥammad, -1631?","",Q18708,"","","","","","","","","","","","",ara,Q118,"","","","Isfahan, Shawwāl 1059H., Muḥammad Şāliḥ ibn ʻAbd al-ʻAlī al-Astarābādī.|Brockelmann, GAL, SII, 580 (no. 12); Mushār, Fihrist-i kitābhā-yi chāp-i ʻArabi,̄ 698.|Incip.: احمد الله ربّى حمداً فوق حمد الحامدىن","",2025-08-29 14:56:44 -0400,20240307,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,amremm,Q12264,Princeton University,99116511143506421,Islamic Manuscripts  Garrett no. 4238Y,https://catalog.princeton.edu/catalog/99116511143506421,https://figgy.princeton.edu/concern/scanned_resources/298c8e38-a75c-4bde-831b-db396cedcca3/manifest,"","",1400-1599,1400^1599,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Ḥāshiyah ʻalá Maṭāliʻ al-anẓār ... [etc,حاشية على مطالع الانظار ... الخ,"","",Q5996,"","","Iṣfahānī, Maḥmūd ibn ʻAbd al-Raḥmān, 1275 or 1276-1348 or 1349. Maṭāliʻ al-anẓār|Bayḍāwī, ʻAbd Allāh ibn ʻUmar, -1286? Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār|Athīr al-Dīn al-Abharī, al-Mufaḍḍal ibn ʻUmar, -1265. Hidāyat al-ḥikmah|Islam--Doctrines--Early works to 1800|Islamic philosophy--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton",|Q18337||Q11301;Q300|Q3016;Q300|Q256;Q11460,"","","","","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 147 leaves : paper ; 180 x 124 (127 x 90) mm.,"Ms. composite codex.|Layout: 19 lines per page.|Acquired from Abraham Shalom Yahuda, 1942.","",2025-08-29 14:56:44 -0400,20250618,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,amremm,Q12264,Princeton University,99116511383506421,Islamic Manuscripts  Garrett no. 4350Y,https://catalog.princeton.edu/catalog/99116511383506421,"","","",1400-1900,1400^1900,15;16;17;18;19,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512;http://vocab.getty.edu/aat/300404513,false,Unidentified Turkish text] ... [etc,"","","",Q12185,"","","Almucantar--Early works to 1800|Geometry--Early works to 1800|Mathematics, Arab--Early works to 1800|Philosophy--Early works to 1800|Quadrants (Astronomical instruments)--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton|Manuscripts, Turkish--New Jersey--Princeton|Manuscripts, Persian--New Jersey--Princeton",Q11223;Q300|Q221;Q300|Q2780;Q300|Q5883;Q300|Q3570;Q300|Q256;Q11460|Q3068;Q11460|Q255;Q11460,"","","","","","","","","","","","","","","","Ottoman Turkish, Persian and Arabic",Q3104;Q120;Q118,paper,Q31,Extent: leaves : paper ; 203 x 116 (152 x 69) mm.,"Ms. composite codex.|Layout: 27 lines per page.|Acquired from Abraham Shalom Yahuda, 1942.","",2025-08-29 14:56:44 -0400,20230503,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9954168623506421,Islamic Manuscripts  New Series no. 1888,https://catalog.princeton.edu/catalog/9954168623506421,https://figgy.princeton.edu/concern/scanned_resources/9ff7e7d2-5e88-4ceb-ad16-d6e310cf845f/manifest,Iṣfahān,Q18350,1791?,1791,18,http://vocab.getty.edu/aat/300404512,true,Arbaʻīnīyāt /,اربعينيات /,Arbaʻīnīyāt,اربعينيات,Q55095,"Manuscripts, Arabic--18th century|Manuscripts, Arabic--Iran--Iṣfahān--18th century|History|Sources",Q256;Q3024|Q256;Q48723;Q3024|Q279|Q2769,"Shīʿah--Doctrines--History--17th century--Sources|Islamic philosophy--17th century|Islamic philosophy--Iran--17th century|Movement (Philosophy)--Islamic philosophy--17th century|Creation (Islam)--History of doctrines--17th century--Sources|Prayer--Islam--History of doctrines--17th century--Sources|Manuscripts, Arabic--New Jersey--Princeton|Chiisme--Doctrines--Histoire--17e siècle--Sources|Philosophie islamique--17e siècle|Philosophie islamique--Iran--17e siècle|Création (Islam)--Histoire des doctrines--17e siècle--Sources|Manuscrits arabes--New Jersey--Princeton|Islamic philosophy|Manuscripts, Arabic|Shīʻah--Doctrines|Iran|New Jersey--Princeton|1600-1699",Q39091;Q6879;Q2771;Q2769|Q3016;Q2771|Q3016;Q16384;Q2771|Q106616;Q3016;Q2771|Q11434;Q2771;Q2769|Q11135;Q2771;Q2769|Q256;Q11460|Q39091;Q6879;Q2771;Q2769|Q3016;Q2771|Q3016;Q16384;Q2771|Q11434;Q2771;Q2769|Q256;Q11460|Q3016|Q256|Q39091|Q16384|Q11460|Q2771,"Qummī, Muḥammad ibn Mufīd",قمي، محمد بن مفيد,Q67802,"","","","","","","","","","","","",ara,Q118,paper,Q31,"Extent: ii, 154, ii leaves : paper ; 213 x 157 (135 x 92) mm. bound to 215 x 170 mm.","Ms. codex.|Title from rubric on fol. 1b.|Physical description: 15 lines per page. Written in medium small naskh in black ink with use of red for headings and entries. Wove paper. At the beginning and the end of the copy are two fly-leaves of another type of wove paper. Table of contents on fol. (ii)b. Note on fol. (i)a mentioning that the Sharḥ Ḥadīth al-Ghamāmah by the author was seen as Risālah 11 in 1391 H. Note on fol. (ii)a, mentioning that the copy of the mentioned Risālah 11 moved to a private library. First folio torn in half.|Origin: According to colophon, copied by al-Tabrīzī(?) Muḥammad, known as Muḥsin, in the middle of Ṣafar 1206 [1791] in Dār al-Ṣalṭanah Iṣfahān, on his way back from Khurasān (fol. 152b). A later date might however be considered.","",2025-08-29 14:56:44 -0400,20240819,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9954332173506421,Islamic Manuscripts  Garrett no. 3559Y,https://catalog.princeton.edu/catalog/9954332173506421,https://figgy.princeton.edu/concern/scanned_resources/ee47bfac-21d3-42a9-aee1-f90aaffd9e9b/manifest,Erzincan,Q106563,1281,1281,13,http://vocab.getty.edu/aat/300404505,true,Fuṣūl Abuqrāṭ. Faṣl fī qaḍāyā Buqrāṭ fī al-ʻalāmāt al-dāllah ʻalá al-mawt ... [etc.,فصول ابقراط. فصل في قضايا بقراط في العلامات الدالة على الموت ... الخ,"","",Q5996;Q20372;Q38381,diagrams|scientific illustrations (images)|Early works|History|Sources|Blind tooled bindings,Q276|Q11377|Q300|Q279|Q2769|Q5877,"Ḥunayn ibn Isḥāq al-ʻIbādī, 809?-873. Masāʼil fī al-ṭibb lil-mutaʻallimīn|Islamic philosophy--Early works to 1800|Medicine, Arab|Physics--Islamic Empire--History--Sources|Astronomy, Arab--Early works to 1800|Manuscripts, Arabic--New Jersey--Princeton|Manuscripts, Persian--New Jersey--Princeton|Cosmography--Early works to 1800|Meteorology--Early works to 1800|Greek language--Translating into Arabic--History--Sources|Calendars--Islamic Empire--Early works to 1800|Philosophy--Dictionaries--Arabic--Early works to 1800|Medicine, Arabic|Philosophie islamique--Ouvrages avant 1800|Médecine arabe|Physique--Empire islamique--Histoire--Sources|Astronomie arabe--Ouvrages avant 1800|Manuscrits arabes--New Jersey--Princeton|Manuscrits persans--New Jersey--Princeton|Astronomy, Arab|Islamic philosophy|Manuscripts, Arabic|Manuscripts, Persian|Medicine, Arab|Physics|Islamic Empire|New Jersey--Princeton",|Q3016;Q300|Q2778|Q195;Q11211;Q6879;Q2769|Q3035;Q300|Q256;Q11460|Q255;Q11460|Q321;Q300|Q3044;Q300|Q106617;Q6879;Q2769|Q5901;Q11211;Q300|Q5883;Q3041;Q2953;Q300|Q2778|Q3016;Q300|Q2778|Q195;Q11211;Q6879;Q2769|Q3035;Q300|Q256;Q11460|Q255;Q11460|Q3035|Q3016|Q256|Q255|Q2778|Q195|Q11211|Q11460,"","","","","","","","","","","","","","","",ara,Q118,"paper, illustrations",Q31,"Extent: iv, 183, iii leaves : paper, illustrations ; 112 x 158 (80 x 130) mm.","Ms. codex.|Title supplied by cataloger, from title of two first texts.|Marginal annotations by later hands (partly cut off due to the trimming of the pages). Some leaves are misplaced (see beginning of the fourth maqālah of Fuṣūl Abuqrāṭ on fol. 15a). Fol. 63 consists of two leaves pasted on one other, with inscriptions visible on the pasted side of the leaves. Pagination using Arabic numerals (starts with ""3"" on fol. 1). Inscriptions on the recto and verso of the first flyleaf. Inscription mentioning Aḥmad al-Ḥusaynī on fol. 116a. Spine label (horizontal, partly wanting) with title, the extant part reading: ""ṭibb wa-al-nujūm.""|Collation: Paper ; fol. 283 + ii (i.e. 183 folios: foliation jumps from 152 to 253) ; catchwords ; pagination using Hindu-Arabic numerals ; modern foliation in pencil using Western numerals.|Layout: 19 lines per page ; writing is parallel to spine.|Description: Written in medium small naskh in black ink ; rubricated.|Paper: Dark cream paper, soft, with laid and chain lines and pulp visible. European paper fly-leaves.|Origin: [Qānūnchah fī al-ṭibb] Copied in the middle of Ṣafar 680 (colophon, fol. 57a) -- [Treatise on astronomy] Copied by Ayyūb (or Abū?) ...? in Arzinjān [Erzincan] in the Madrasat al-...? in ...? (fol. 141b)|Impression of a small square stamp (10 mm.) throughout (see fol. 9b, 63b, 283b, etc.) Acquired from Abraham Shalom Yahuda, 1942.","",2025-08-29 14:56:44 -0400,20240910,20250801-princeton-marcxml-islamic-philosophy.xml
,"","",marc-xml,amremm,Q12264,Princeton University,9954641303506421,Oversize Islamic Manuscripts  New Series no. 680q,https://catalog.princeton.edu/catalog/9954641303506421,https://figgy.princeton.edu/concern/scanned_resources/93c98729-03f3-430a-b7a7-4e03fd73ae1e/manifest,Iran,Q2822,1807,1807,19,http://vocab.getty.edu/aat/300404513,true,Kitāb al-Asfār,كتاب الاسفار,Asfār al-arbaʻah,اسفار الاربعة,Q5996,"Manuscripts, Arabic--19th century|Manuscripts, Arabic--Iran--19th century|Headpieces (layout features)--Iran--19th century|Borders, Ornamental (Decorative arts)--Iran--19th century|Illuminated manuscripts--Iran--19th century",Q256;Q3538|Q256;Q16384;Q3538|Q11536;Q16384;Q3538|Q40054;Q16384;Q3538|Q4268;Q16384;Q3538,"Islamic philosophy--History--17th century--Sources|Manuscripts, Arabic--New Jersey--Princeton",Q3016;Q6879;Q2771;Q2769|Q256;Q11460,"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrāhīm, -1641",صدر الدين شيرازي، محمد بن ابراهيم,Q49200,"","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 216 leaves : paper ; 277 x 180 (200 x 118) mm. bound to 280 x 185 mm.,"Ms. codex.|Title from colophon (fol. 215a).|Physical description: 27 lines per page. Written in small naskh in black ink. The text is framed within a border in gold and black with an outer frame consisting of a single red line to define the margin. The titles of the sections of the text are repeated in black ink on the margin. Inscriptions on pastedown of upper cover and on fol. 1a-2a and 215b, including verses of poetry, and quotations attributed to Ibn ʻArabī (""ṣāḥib al-Futūḥāt"") and to ʻAlī (""Amīr al-Muʾminīn"").|Decorations: The first two pages of the text (fol. 2b-3a) have a margin filled with an arabesque with flowers, executed in gold, red, and black. The text is written in clouds in gold outlined in black. Elaborate headpiece (ʻunwān) on fol. 3b.|Origin: According to colophon, copied by Ismaʻīl ibn Muḥammad Taqī al-Shīrāzī, and completed on Sunday 2 Rajab 1222 [Sept. 1807] for Mīrzā Aḥmad(?) (fol. 215a).","",2025-08-29 14:56:44 -0400,20240328,20250801-princeton-marcxml-islamic-philosophy.xml
