ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_date_as_recorded,production_date,century,dated,uniform_title,uniform_title_as_recorded,uniform_title_agr,title_as_recorded_245,title_as_recorded_245_agr,genre_as_recorded,genre,subject_as_recorded,subject,author_as_recorded,author_as_recorded_agr,author,artist_as_recorded,artist_as_recorded_agr,artist,scribe_as_recorded,scribe_as_recorded_agr,scribe,language_as_recorded,language,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,material,material_placeholder,physical_description,acknowledgements,data_processed_at,data_source_modified
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4084Y|9962668453506421","",,"",,"",1800-1899,http://vocab.getty.edu/aat/300404513,,,"","",Ulfat al-anām bi-al-amn wa-al-āmān.,"","Manuscripts, Arabic--19th century.",,Islamic etiquette--Early works to 1800.,,"Erzurūmī, Ibrāhīm ibn ʻUthmān ḥaqqī, d. 1781.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4204Y|9962668463506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",al-Risālah al-salāmīyah.,"","Manuscripts, Arabic--17th century.",,Islamic etiquette--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4204Y|9962668473506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",al-Risālah al-salāmīyah.,"","Manuscripts, Arabic--17th century.",,Islamic etiquette--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 3586Yq|9962668483506421","",,"",,"",1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",Bāb fī al-luʻb bi-al-maysir.,"","Manuscripts, Arabic--18th century.",,Gambling--Religious aspects--Islam--Early works to 1800.|Games--Religious aspects--Islam--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 3289Y|9962668493506421","",,"",,"",1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",Murshid al-mutaʼahhil.,"","Manuscripts, Arabic--18th century.",,Marriage--Religious aspects--Islam--Early works to 1800.,,"Quṭb al-Dīn al-Iznīqī, Muḥammad ibn Muḥammad, d. 1418.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 5130Y|9962668503506421","",,"",,"",1800-1899,http://vocab.getty.edu/aat/300404513,,,"","",Murshid al-mutaʼahhil.,"","Manuscripts, Arabic--19th century.",,Marriage--Religious aspects--Islam--Early works to 1800.,,"Quṭb al-Dīn al-Iznīqī, Muḥammad ibn Muḥammad, d. 1418.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 335Y|9962668513506421","",,"",,"",1500-1599,http://vocab.getty.edu/aat/300404510,,,"","",Shaqāʼiq al-utrunj fī raqāʼiq al-ghunj.,"","Manuscripts, Arabic--16th century.",,"Islam--Customs and practices--Early works to 1800.|Women--Islamic Empire--Early works to 1800.|Women--Sexual behavior--Early works to 1800.|Erotic literature, Arabic--Early works to 1800.",,"Suyūṭī, 1445-1505.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 335Y|9962668523506421","",,"",,"",1500-1599,http://vocab.getty.edu/aat/300404510,,,"","",al-Wishāḥ fī fawāʼid al-nikāḥ.,"","Manuscripts, Arabic--16th century.",,Marriage--Religious aspects--Islam--Early works to 1800.,,"Suyūṭī, 1445-1505.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 2317Y|9962668533506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",Nuzʹhat al-mutaʼammil wa-murshid al-mutaʼahhil.,"","Manuscripts, Arabic--17th century.",,Marriage--Religious aspects--Islam--Early works to 1800.,,"Suyūṭī, 1445-1505.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 1370Y|9962668543506421","",,"",,"",1400-1499,http://vocab.getty.edu/aat/300404465,,,"","",Abḥāth al-nikāḥ li-dhī istīḍāḥ.,"","Manuscripts, Arabic--15th century.",,Marriage--Religious aspects--Islam--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 1370Y|9962668553506421","",,"",,"",1400-1499,http://vocab.getty.edu/aat/300404465,,,"","",Asās sirr al-akyās.,"","Manuscripts, Arabic--15th century.",,Islam--Customs and practices--Early works to 1800.|Sexual ethics--Religious aspects--Islam--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4145Y|9962668563506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",Tuḥfat al-ruʼasāʼ fī baʻḍ mā warada fī al-nisāʼ.,"","Manuscripts, Arabic--17th century.",,Marriage--Religious aspects--Islam--Early works to 1800.|Women--Islamic Empire--Early works to 1800.,,"","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 3064Y|9962668573506421","",,"",,"",1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",Tuḥfat al-sullāk fī faḍl al-siwāk.,"","Manuscripts, Arabic--18th century.",,Teeth--Care and hygiene--Religious aspects--Islam--Early works to 1800.|Toothpicks--Religious aspects--Islam--Early works to 1800.,,"Zāhid, Aḥmad ibn Muḥammad, -1416.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 3648Y|9962668583506421","",,"",,"",1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",al-Isfār ʻan qalm al-aẓfār.,"","Manuscripts, Arabic--18th century.",,Islamic hygiene--Early works to 1800.,,"Suyūṭī, 1445-1505.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4343Y|9962668593506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",al-Akhbār al-maʼthūrah fī al-iṭṭilāʼ bi-al-nūrah.,"","Manuscripts, Arabic--17th century.",,Hair--Removal--Early works to 1800.|Hair--Religious aspects--Islam--Early works to 1800.|Hair--Removal--Legal aspects--Islamic law--Early works to 1800.,,"Suyūṭī, 1445-1505.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4204Y|9962668603506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",Risālah fī faḍīlat al-ʻimāmah.,"","Manuscripts, Arabic--17th century.",,Clothing and dress--Religious aspects--Islam--Early works to 1800.|Turbans--Religious aspects--Islam--Early works to 1800.,,"Bukhārī, Muḥammad ibn Yaḥyá, fl. 1527.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 4204Y|9962668613506421","",,"",,"",1600-1699,http://vocab.getty.edu/aat/300404511,,,"","",Risālah fī faḍīlat al-ʻimāmah.,"","Manuscripts, Arabic--17th century.",,Clothing and dress--Religious aspects--Islam--Early works to 1800.|Turbans--Religious aspects--Islam--Early works to 1800.,,"Bukhārī, Muḥammad ibn Yaḥyá, fl. 1527.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 5930Y|9962668623506421","",,"",,"",1700-1799,http://vocab.getty.edu/aat/300404512,,,"","",Risālah fī faḍīlat al-ʻimāmah.,"","Manuscripts, Arabic--18th century.",,Clothing and dress--Religious aspects--Islam--Early works to 1800.|Turbans--Religious aspects--Islam--Early works to 1800.,,"Bukhārī, Muḥammad ibn Yaḥyá, fl. 1527.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
,,,marc-xml,Q21578,Princeton University,"Islamic Manuscripts, Garrett no. 846Y|9962668633506421","",,"",,"",1500-1599,http://vocab.getty.edu/aat/300404510,,,"","",Risālah fī al-khiḍāb.,"","Manuscripts, Arabic--16th century.",,Hair--Dyeing and bleaching--Religious aspects--Islam--Early works to 1800.,,"Kemalpaşazade, 1468 or 1469-1534.","",,"","",,"","",,"","","","",,,"",,,2022-02-08T17:47:41-05:00,2020-09-27
