ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils269,cod. a 1,,,England,Q133,late 14th-early 15th century,1475^1525,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Almanac,,Almanac,,Q39186,almanacs,Q3025,"Almanacs|History|Liturgics--Calendar|Solar eclipses|Lunar eclipses|Medicine, Medieval|Medicine, Medieval--Manuscripts",Q67135|Q6879|Q108129|Q39095|Q10823|Q223|Q75475,,,,,,,,,,,,,,,,Latin,Q113,,,Extent: folded: 135 x 45 mm bound to 134 x 40 mm; unfolded 241 x 120 mm (average),"Script: Mature gothic bookhand|Decoration: Kalends are illuminated in gold on pink and blue grounds, and astronomical cycles are iluminated in pink, blue, and gold. A large illumination depicts the placement of zodiac signs on an outstretched human body in a distinctive English illumination style.|Binding: Possibly original, brown leather stitched around the edges.|Provenance: Purchased from Sam Fogg Ltd, 2022|Portable, folded almanacs of this type survive in limited numbers, with twenty-nine survivals noted by Talbot, and are a phenomenon limited to England in the late 14th- and early 15th centuries. Even less common are examples that survive with their original bindings, such as this example.|These manuscripts were used by physicians for making calculations and were probably worn hanging from the physician's belt. See Talbot, C. H. “A Mediaeval Physician’s Vade Mecum.” Journal of the History of Medicine and Allied Sciences 16, no. 3 (1961): 213–33.|The manuscript includes a calendar and astromonical charts including Canons of the eclipses of the sun and moon.|Previous shelfmark: Almanac",,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils271,cod. b 1,,,Italy|Northern Italy,Q134|Q7507,c. 1440-1460,1440^1460,15,http://vocab.getty.edu/aat/300404465,false,Trattati Dei Veneni,,,,Q7563,medical treatises,Q42420,Poisons|Antidotes|Antidotes--History|Poisons--History|Toxins,Q11268|Q11463|Q11463;Q6879|Q11268;Q6879|Q108130,Pietro d’Abano (c. 1250-1316),,Q42276,,,,,,,,,,,,,Italian,Q116,parchment,Q33,Extent: fols. 59; parchment; 163 x 114 (111 x 75) mm bound to 167 x 119 mm,"Layout: 1 column, 25 lines|Script: Rounded Italian gothic bookhand influenced by humanistic script|Binding: Bound in modern parchment over pasteboard, reusing leaves from another manuscript (a sixteenth-century Prayerbook?), and reusing earlier flyleaves, smooth spine, in very good condition, old (19th-century?) fitted green card case.|Ink flaking on some leaves (text remains legible, if faint on a few leaves), occasional passages rewritten in darker ink, some old stains and discoloration to first and last leaves, overall very good condition.|Provenance: Purchased from Les Enluminures Ltd, 2021|Provenance: Written in Italy, most likely in Northern Italy, c. 1440-1460, based on the evidence of the script, ruling pattern, and decoration.|Provenance: Inside front cover, eighteenth-century(?) shelf mark in brown ink: “B 3 36.”|Pietro d’Abano, Trattati dei veneni; after the dedication to the Pope (whose identity is debated), the author goes on to introduce the six sections of his work, beginning with the division of the poisons; partial modern edition of the Latin text by Alberico Benedicenti (1949);|English translation, Brown, 1924; a new scholarly edition by Alba Aguilera as part of her doctoral thesis defended at the Autonomous University of Barcelona in 2018 is planned for publication.|First printed in 1472 in Mantua, it survives in at least nineteen incunable editions (Collard, 2015), and 72 Latin manuscripts, but in only 27 manuscripts in Italian, not including this manuscript (Collard, 2015, Annex no. 3; Aguilera, 2018, lists 56 manuscripts, all Latin).|Only four manuscript copies, two in Latin, are known in the United States, one at the Library of the New York Academy Medicine, the other at the Morgan Library and Museum (Collard, 2015; De Ricci, 1961, pp. 1311, 1464); an Italian translation was sold by Les Enluminures in 2019 (formerly TM 989).|Pietro d’Abano (c. 1250-1316) was a famous Paduan physician, philosopher, and astrologer. He obtained a degree in medicine and philosophy in Paris in the late thirteenth century, before returning to teach in Padua. After returning to Padua, Pietro was in trouble with the Church, being accused of heresy and magic.|He may have had to face the Inquisition, but these details of his life are disputed, some scholars rejecting them as fifteenth- and sixteenth-century fabrications. Thanks to the support of powerful patrons, Pietro was exonerated in 1306, and in 1314 he was offered the chair of medicine at the University of Treviso.|Previous shelfmark: Pietro d'Abano, Trattati Dei Veneni",Description from seller description by Les Enluminures.,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils272,cod. b 2,,,German (Rhineland) or Southeastern Netherlands,Q1305;Q651,c. 1425-1475,1425^1475,15,http://vocab.getty.edu/aat/300404465,false,Libellus Spiritualis Exercitii|Libellus de recognitione proprie fragilitatis|Imitatio Christi|Speculum beatae Mariae virginis|Epistole Ignacii Martiris et Beate Virginis Marie,||||,||||,||||,Q76787|Q108150|Q20438|Q108151|Q108152,miscellany,Q17508,Devotional literature|Devotio moderna|Patristic literature,Q2950|Q38878|Q7089,Thomas a Kempis|Conrad of Saxony|Robert Grosseteste,||,Q41760|Q40459|Q6143,,,,,,,,,,,,,Latin,Q113,parchment,Q33,Extent: 3 volumes. 1: fols. i + 77 + i; 2: fols. i + 38 + i; 3: i + 18 + i; parchment; 75 x 55 (52 x 35) mm bound to 84 x 77 mm,"Layout: varies|Script: Multiple Gothic bookhands with hybrida features|Decoration: Capitals highlighted in red, underlining in red, red rubrics, red and blue line fillers, one-line red paraphs, one- to two-line initials in red or blue, two-line purple initial with red pen decoration (f. 1), three- to seven-line initials in blue or red with contrasting pen decoration (ff. 2, 22v, 24v, 25v, 50), capitals touched in red.|Binding: Was rebound in 2021/22. The velvet bindings were removed. Previous parchment and Japanese paper repairs were kept. Additional tears and guards were done as needed with Japanese paper and starch paste. Each signature was resewn individually with linen thread onto a reverse Japanese paper guard to allow for better opening and for removal and reattachment if needed.|Binding: Reverse guards are sewn onto 3 split alum tawed thongs with new handmade endpapers. Each volume is sewn separately. Thongs are laced into new non-adhesive paper case bindings over rag mat board with a small yapp fore edge and tab and slot turn-ins. No endbands.|Traces of quire signatures, mostly cropped. Some damp-staining on upper and lower edges and in the gutter. Overall in good condition. Original one volume, rebound early 20th century and 2021/22. The original rebinding may have been when the text was disarranged; multiple quires are out of order and some folios are missing.|Provenance: Purchased from Les Enluminures in 2020|Provenance: Written in western Germany or the southeastern Netherlands in the mid-fifteenth century, c. 1425-1475, based on the evidence of the script and decoration.|Provenance: Twentieth-century binding includes a fitted, silk-lined, blue buckram box signed by ""J & S Brockman / Binders Wheatley / Oxford England.""|3 individually bound sections, each with the same average measurements. The three volumes were once bound together in a single volume; all three bear witness to textual rearrangement and some textual losses.|These manuscripts contain an array of texts chosen as guides to the religious life, many of which are associated with the Devotio moderna movement. The original manuscript may have been owned by a lay devotee or the movement or within a religious house associated with it. Many of the texts are excerpts.|Alongside longer excerpts from the Libellus spiritualis exercitii, the Speculum beatae Mariae virginis, the Epistole Ignacii Martiris et Beate Virginis Marie, the Imitatio Christi, the manuscripst include a collection of spiritual sayings from Thomas a Kempis, Gregory the Great, Augustine, Cassian, Isidore of Seville, Isaac of Nineveh, and others.|It also includes a number of short, previously unknown texts (all but one of them complete) that may well be unique to these manuscripts.|Previous shelfmark: Devotional Miscellany 1-2-3",Description from seller description by Les Enluminures.,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils273,cod. b 3,,,"Low Countries, near Brussels?",Q1115;Q19905,c. 1478-1500,1475^1500,15,http://vocab.getty.edu/aat/300404465,false,Disputatio de anima|De sacramentis christianae fidei|Tractatus de mysterio cymbalorum ecclesiae,||,||,||,Q108153|Q7820|Q108154,apocalypse,,Patristic literature|Theology--Christianity|Apocalyptic literature--Christianity,Q7089|Q4290;Q5915|Q108137;Q5915,Hugh of Saint-Victor|Arnold of Villanova,|,Q1511|Q459,,,,,,,,,,"Cochran, John (c. 1837), bookseller|Leslie, John (c. 1840), bookseller",|,Q17781|,Latin,Q113,paper,Q31,Extent: ii + 33 + ii folios; paper; 200 x 133 (140 x 71) mm bound to 207 x 141 mm,"Layout: 1 column, 28 lines (first booklet), 27 lines (second booklet)|Script: Gothic hybrida script; cursive Gothic script|Decoration: red rubrics (ff. 1-9v), biblical references underlined in red, capitals highlighted in red, one-line red paraphs (ff. 10-31), one-line plain red initials, with guide letters visible (ff. 1-9v), blank spaces for one- to two-line initials, two with guide letters (ff. 30v. 26. 28v), two- to four-line red initials, ff. 1, 8, and 10|Binding: Bound in twentieth-century brown leather, blind-stamped with rectangular frame formed from two sets of double fillets with flowers stamped in corners of frame and along the edge closest to the spine and arabesques stamped inside of it, all over beveled wooden boards|Binding: Spine with five raised bands, red leather label on upper board with gilt inscription, “DISPUTATIO DE ANIMA EX SS. / AUGUSTINO ET HIERON. / ET ARNOLDI DE NOVA VILLA / DE / CONSUMATIONE ET / TEMPORE ANTICHRISTI.”, marbled pastedowns, edges tinted red|Some marginal annotations by the two scribes and at least one additional contemporary hand, identifying inscription in modern hand at the top of f. 10, slight soiling of final blank leaves, but otherwise in excellent condition.|This composite manuscript comprises two distinct booklets.|Evidence of script and watermarks suggest that both booklets were copied in the Low Countries in the final quarter of the fifteenth century, c. 1475-1500. The scribe of the first booklet has provided more conclusive dating for his stints, noting the year in which each was finished (1487 and 1488), and, in one case, the precise date of completion (9 February 1487).|It is possible that the second booklet predates the first, judging from watermark evidence, but there is no indication of when, precisely, it was copied or joined with the first booklet.|These booklets were once both part of a larger volume produced in the late fifteenth century for the use of the Augustinian canons at Roodklooster (Rouge-Cloître), in south-eastern Brussels, and likely copied there as well; the volume was still intact when it was described by John Cochran, 1837.|Provenance: Purchased from Les Enluminures, 2018|Provenance: Part of the stock of John Cochran, London bookseller; no. 132 in his Second Catalogue of Manuscripts in Different Languages ... of Various Dates from the Twelfth to the Eighteenth Century, Many of Them upon Vellum, and Adorned with Splendid Illuminations, London, 1837 (p. 38).|Provenance: At the time of this sale, the two booklets in the present manuscript were part of a much larger collection comprising at least fifteen texts.|Provenance: Passed into the hands of John Leslie, London bookseller specializing in theological works, after the death of John Cochran; no. 2774 in his Catalogue of English and Foreign Theology, ... also, a Few Valuable Manuscripts and Works of Rare Occurrence, Including the Entire Stock of the Late Mr. John Cochran, Bookseller ..., London, 1840 (pp. 177-178)|Provenance: The larger manuscript that once included these two booklets was probably broken up during the second half of the nineteenth century, given the fact that a copy of Petrus de Rosenheim’s Roseum memoriale, now Southern Methodist University, Bridwell Library, BRMS 94 (formerly Les Enluminures TM 77), is in now in a late nineteenth-century binding.|The two booklets in this composite manuscript each contain theological treatises organized around a clear theme. The texts of the first booklet offer three perspectives on the origins of the soul, while the apocalypse – and, more specifically, the possibility of calculating its date – dominates the second booklet.|These were both once part of a larger volume, which ranged in its contents from works of a clear theological character – including Augustine’s Soliloquies, Petrus de Rosenheim’s Roseum memoriale, and Lothario dei Segni’s De miseria humanae conditionis – to saints’ lives and a version of the popular medieval tale of Apollonius of Tyre.|Considered in both its earlier and its current context, the second booklet in the present manuscript is a particularly important survival, valuable for what it can tell us about how apocalyptic texts were circulating and being read in the late Middle Ages.|The Apocalypse loomed large in this period. People anticipated the imminent coming of the Antichrist and final judgment, and they interpreted political and ecclesiastical upheavals in this light.|Anthologies of prophecies were not uncommon during this time (see Lerner, 2008, pp. 89-103) – for example, Cambridge, Corpus Christi College Library, MS 404, the fourteenth-century prophetic anthology of Henry of Kirkestede, librarian at the Benedictine monastery of Bury Saint Edmunds, brings together a number of prophetic texts concerned with the coming of the Antichrist –|but it is more unusual to find a collection of prophetic texts bound alongside such a miscellaneous collection of works, many of which were far more theologically orthodox.|It is even possible that the placement of De mysterio in the middle of the book was a part of a deliberate effort to conceal it among more common and less controversial texts.|Previous shelfmark: Disputatio de anima",Description from seller description by Les Enluminures.,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils274,cod. b 4,,,Northwest Germany,Q131,1400-1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,Commentary on Augustinian Rule,,,,Q1376,,,Commentaries|Augustinians|Monasticism and religious orders--Augustinians--Rules|Monasticism and religious orders--Rules--Early works to 1800,Q2812|Q7391|Q4208;Q7391;Q4910|Q4208;Q4910;Q300,Pseudo-Hugh of St. Victor,,,,,,Johannes Brubach,,,,,,"Beguines of Kamp, near Boppard (diocese of Trier)|Johann Kraft Hiegell (1658-1736)|",||,|Q108140|,German,Q112,parchment,Q33,Extent: fols. 58; parchment; 181 x 130 (135 x 97) mm bound to 181 x 153 mm,"Layout: 0|Script: semihybrida libraria script in black ink|Decoration: Enlarged initials in red ink with blue penwork|Binding: Original limp brown-leather Kopert (wallet-style) binding, sewn on four cords, much degraded, leather is very stiff, book block is now completely detached from the cover, although parchment pastedowns and contiguous flyleaves survive attached to the cover, remnant of white leather tie (a later addition?)|Collation: i^9 [complete, but f. 1, a singleton] ii-iv^8 v^9 [complete, but f. 41, a singleton] vi^9
[complete, but f. 43, a singleton] vii^7 [complete, but f. 52, a singleton]|Provenance: Purchased from Les Enluminures 2019|Provenance: Written in North-western Germany in the first half of the fifteenth century in a Mosel-Franconian dialect of West Central Germany (see Online Resources), based on the evidence of script, decoration, and language; evidence of the script suggests it should be dated earlier, rather than later, in the first half of the fifteenth century.|Provenance: The scribe names himself in a colophon on f. 58 as broder iohannes van brubach.|Provenance: A Johannes Brubach is also known as the scribe of a fifteenth-century manuscript containing texts of the life of St. Francis in Dutch translation (The Hague, Koninklijke Bibliothek, KA 26),|Provenance: but the difference in language—that manuscript is in Dutch, this in German—makes it uncertain as to whether the Johannes Brubach of the manuscript in The Hague is also the scribe of this present manuscript.|Provenance: A Johannes Brubach (d. 1428) was a canon of the Augustinian convent of the Windesheim Congregation of Marienwolde in Frenswegen, received as a canon in 1406 (Kohl, 1971, p. 111). Whether he is identical with either of these scribes remains to be determined.|Provenance: Belonged to the Beguines of Kamp, near Boppard (diocese of Trier); their ownership mark on the verso of the front flyleaf, probably fifteenth-century, and thus likely dating not long after the manuscript was copied, “dyt boeck zolen haben de zuestere by Camp ghezlossen.”|Provenance: The convent is attested from 1378, originally as adherents of the Augustinian Rule (they later adopted the Franciscan Rule).|Provenance: Johann Kraft Hiegell (1658-1736): his acquisition mark on the inside front cover, Ex Musaeo Hiegelliano M. 1724. Hiegell, a resident of Koblenz and medical doctor in the service of the Prince Archbishops of Trier, assembled a substantial collection of historical and natural-scientific curiosities, along with a considerable library.|Provenance: Subsequent provenance is uncertain. An ex libris of 95 x 110 mm. has been removed from the inside front cover, potentially that of von Loën, which would be exactly the right size; on the inside rear pastedown is a much-faded word in pencil that may read Loën.|Ps.-Hugh of St Victor, Commentary on the Rule of St Augustine, in German translation. The twelfth-century Latin commentary on the Augustinian Rule, of uncertain authorship and frequently attributed to Hugh of St Victor, was variously translated into Dutch and German in the course of the later medieval and early modern periods.|Of the eight main versions identified by Kramp, this is a hitherto unknown textual witness to the fifth type, known as the “Rooklooster” translation since the two earliest manuscripts belonged to the Augustinian canons of the Windesheim Congregation at the Rooklooster in the Forêt de Soignes, south of Brussels, which is known in twenty-seven manuscripts (Kramp, 2009, pp. 111-19, 124-27, & 134-36)|In this manuscript the text is, as its rubric indicates, consistently rewritten for a female audience, a phenomenon known from four other manuscripts, though all later (Kramp, 2009, pp. 135 and 214-15).|The text is edited in the “Rooklooster” version from one of those manuscripts rewritten for a female audience (Darmstadt, Universitäts- und Landesbibliothek, Hs. 983, in the ripuarian dialect of German) in Kramp, 2008, pp. 254-367.|This manuscript, which to judge by the script should be dated earlier, rather than later, in the first half of the fifteenth century, is amongst the earliest textual witnesses to the “Rooklooster” translation of Ps.-Hugh’s Commentary, and the earliest evidence for its systematic adaptation for a female readership.|Previous shelfmark: Pseudo Hugh of St. Victor, Commentary",Description from seller description by Les Enluminures.,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils275,cod. b 5,,,Spain,Q129,not before 1511,1511,16,http://vocab.getty.edu/aat/300404510,false,Conceptionist Rule|Liber epigrammatum,|,|,|,Q108155|Q108156,rules,Q108120,Rules|Nuns|Monasticism and religious orders|Monastic and religious life|Monasticism and religious orders for women|Monastic and religious life of women|Conceptionists,Q4910|Q39029|Q4208|Q2981|Q4171|Q4761|Q108123,Conceptionists|Prosper Tiro Aquitanus,|,Q103629|Q1585,,,,,,,,,,,,,Spanish|Latin,Q114|Q113,parchment,Q33,Extent: parchment; 200 x 137 (140 x 100) mm bound to 211 x 146 mm,"Layout: 1 column, 17 lines|Script: Spanish rotunda gothic bookhand|Decoration: Paragraph markings in red|Binding: Brown leather over wooden boards., embossed and with a clasp. Two ca. 15th-c. folios from Prosper of Aquitaine's Liber epigrammatum has been appended, upside-down and as binding waste, into the back of this codex.|[2] leaves (from an unfoliated medieval manuscript, used as a pastedown and a flyleaf), 24 leaves (with later pagination, p. 2-50, on the rectos only),[1] (integral) blank leaf, [2] manuscript leaves from the same codex as those at the beginning|Provenance: Purchased from Liber Antiquus, 2022; 1. Near-contemporary name on vellum fly-leaf “Doña MaríaAntónia Miranda”, 2. late 17th c. (1696) manuscript inscription on rear manuscript flyleaf “Tiene esta reglaciento y ochenta y cinco años de confirmacion, oy diez y nueve…”; 3. engraved 19th c. bookplate of L.Cervera Vera on front pastedown.|The Conceptionist nuns developed their own rule in 1511, after following various other Rules subsequent to their founding in 1489.|The final folio of the rule notes the date ""en el año dela encarnation de nostro salvador Jesu christo de mil y quinientos y onze años a quinze kalendas de octubre en el año octavo de nostro pontificado."" This is likely the date in which the rule was written, rather a colophon dating this specific manuscript.|Previous shelfmark: Rule of the Conceptionist Nuns",,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils276,cod. b 6,,,Germany,Q131,15th century,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,Ordo extremae unctionis|Last rites,|,|,|,Q108157|Q108158,extreme unction|sacraments,Q108121|Q108122,Extreme unction|Sacraments|Sacraments--Catholic Church|Sacraments (liturgy),Q38905|Q3588|Q4825|Q108131,,,,,,,,,,,,,,,,German,Q112,,,Extent: 167 x 122 (106 x 90) mm bound to 185 x 130 mm,"Layout: 1 column, 18 lines|Script: Highly angular mature Gothic bookhand|Decoration: Capital letters are enlarged in red and blue ink|Binding: Red leather over pasteboard|Marginalia (distinctiones?) added in ca. 15th-c. German hand, in German, on multiple folios.|Provenance: Vendor description included in on front endpapers. Ownership inscription on 1r, ""Jor[] Coroline""|Provenance: additional information in D.460 box 6 1481-001 6|Previous shelfmark: Ordo extremae unctionis",,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,cod. b 7,cod. b 7,,,"Flanders, probably Bruges",Q100357;Q16418,15th century,1450-1460,-1;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15,http://vocab.getty.edu/aat/300404518;http://vocab.getty.edu/aat/300404493;http://vocab.getty.edu/aat/300404494;http://vocab.getty.edu/aat/300404495;http://vocab.getty.edu/aat/300404496;http://vocab.getty.edu/aat/300404497;http://vocab.getty.edu/aat/300404498;http://vocab.getty.edu/aat/300404499;http://vocab.getty.edu/aat/300404500;http://vocab.getty.edu/aat/300404501;http://vocab.getty.edu/aat/300404502;http://vocab.getty.edu/aat/300404503;http://vocab.getty.edu/aat/300404504;http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506;http://vocab.getty.edu/aat/300404465,false,Graded Kalender|Hours of the Cross|Hours of the Holy Spirit|Mass of the Virgin|Gospel Lessons|Hours of the Virgin|Seasonal instructions for the Office of the Virgin|Seven Penitential Psalms|Litany,||||||||,||||||||,||||||||,Q1122|Q100817|Q100806|Q108159|Q108160|Q8278|Q108161|Q39139|Q1378,book of hours,Q3618,Liturgy|Divine office|Books of hours,Q207|Q5881|Q5889,,,,,,,,,,,,,"Swann Galleries, New York (1990)|Rev. Milton S. Carothers (d. 2004)|Strozier Library at Florida State University",||,Q108141|Q108142|Q108143,Latin,Q113,parchment (vellum),Q33,Extent: 148 folios; parchment (vellum); 103 x 72 (62 x 40) mm bound to 112 x 85 mm,"Layout: 1 column, 16 lines|Script: late Gothic bookhand of rotund Mediterranean style associated with Flemish production|Decoration: Thirteen folios (13r, 21r, 27r, 41r, 64r, 78r, 83r, 88r, 93r, 98r, 107r, 114r, 125r) with five-line initials in blue and brick enclosing foliage on burnished gold grounds, with full floral borders of gold bezants, acanthus leaves, and other colored !onds, flowers, and !uit; 2.Many dentelle initials in liquid gold on blue and burgundy grounds with white penwork;|Decoration: 3. Many one-line initials alternating blue and with contrasting penwork; 3.Capitals and significant letters touched with hairline penstrokes and yellow wash; 4.Ornamental hairline cadels in lower margin; 5. Rubricated|Binding: This manuscript was rebound in 2019 in alum tawed goatskin with simple blind tooling on spine and boards. When the manuscript was rebound, the conservator resewed the pages with linen thread through the larger holes of the last sewing onto a reverse accordian style Japanese paper concertina guard. The valleys of the guard are sewed onto three split alum tawed thongs.|Binding: New double folio endpapers of hand made paper. Primary style endbands are hand sewn onto the concertina guard. The lace split thongs and enband cords are sewn into boards fabricated from layers of 100% rag board. The older parchment guards have been preserved and are in the box with the manuscript, along with the earlier binding.|Slight water damage and occasional thumbing to lower outer corners of some leaves,small split to edge of fol. 83, trimmed at edges with small losses to border decoration inplaces, else entirely presentable condition|Provenance: Purchased from King Alfred's Notebook, 2018; Swann Galleries, New York, 8 November 1990 lot 115.|Provenance: Rev. Milton S. Carothers of Tallahassee, FL (d. 2004), who donated a large part of his bible and rare book collection to the Strozier Library at Florida State University. The manuscript bears his bookplate noting that this volume was “No. 2266” in his collection. The manuscript was bound this way when sold in 1990.|Previous shelfmark: Book of Hours",,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,cod. b 9,cod. b 9,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Previous shelfmark: Hebrew grammar,,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
,,,ds-csv,ds-schema,Q108119,University of Rochester,RCL002_ils278,cod. c 1,,,Ethiopia,Q3655,c. 1850,1800^1899,19,http://vocab.getty.edu/aat/300404513,true,Office prayers|Litany of St. Basil for Monday|Gospel Prayer of Abba Giyorgis|Ordinary of the Mass (Ser 'atii Qeddase) together with various hymns and litanies|Anaphora of the Apostles|Prayer of the Covenant|Anaphora of Our Lord Jesus Christ|Anaphora of Our Lady Mary|untitled and unidentified liturgical hymns|Anaphora of St. John Boanerges|Anaphora of the 318 Orthodox Fathers|Anaphora of Dioscurus|Anaphora of St. Basil the brother of Gregory|Anaphora of St. Gregory the brother of Basil|Anaphora of Athanasius of Alexandria|Anaphora of St. Jacob of Serug|Anaphora of St. Cyril|Anaphora of St. Gregory of Armenia|Anaphora of St. Epiphanius,||||||||||||||||||,||||||||||||||||||,||||||||||||||||||,Q798|Q1378|Q20014|Q100798|Q39195|Q20014|Q39195|Q39195|Q3715|Q39195|Q39195|Q39195|Q39195|Q39195|Q39195|Q39195|Q39195|Q39195|Q39195,missal,Q4244,Divine office|Liturgy--Christianity|Anaphora|Mass,Q5881|Q207;Q5915||Q3583,,,,,,,Gabra Madhen,,,,,,Mahdara Maryam (church)|Yohannes Walda Nagwadgwad|Gabra Sellase,||,Q108144||,Ge'ez|Amharic,Q3664|Q42444,"parchment, illustrations",Q33,"Extent: fols. 116; parchment, illustrations; 235 x 172 - 251 x 184 (180 x 145) mm bound to 254 x 190 mm","Layout: 2 columns, 22 - 24 lines|Script: A number of nineteenth-century riiqiq hands|Decoration: Rubrics including the opening lines of sections, instructions for the performance of the Mass, and cantillations; many of the texts include interlinear cantillations or musical notation, with a small number of single-column head-ornaments or hariigs and one large, full-page hariig (f. 1), in red, green, and yellow.|Decoration: Diagram of the positions of the priests, deacons, and celebrants of the Mass (f. 108v), diagram of the Thirteen Passions of the Cross (f. 113).|Binding: Coptic binding with plain wooden boards.|Dark and rough parchment with holes and repairs throughout. Some folios are irregularly shaped or torn. Slight staining and traces of roden damage to some leaves, one leaf is loose.|Provenance: Purchased from Les Enluminures, 2020. There is no colophon giving a precise data of completion; a note on f. 108v indicates that the principal text was finished on Tahsas 2nnd (December 31st or January 1st), but the year is not mentioned.|Provenance: The scribe's name is given as Gabra Madhen as an insertion over an erasure, belonging to a church called Mahdara Maryam, after which the name of John Boanerges/Son of Thunder [Yohannes Walda Nagwadgwad] has been added. The name of the original owner, Gabra Sellase, appears in a few invocations for blessing (e.g. f. 63v). There is an illegible ink stamp-seal on f. 2.|This manuscript includes texts for the Mass, divided into the usual two parts, the introductory (the Ordo communis or the Ordinary of the Mass), corresponding to the Alexandrian liturgy, and the Eucharistic prayers, or Anaphora, which are variable according to the feast days of the liturgical year. The Ethiopian rite has a particularly large number of Anaphoras.|This manuscript is notable for the use of cantillation marks or musical notation, called melekket in Ge'ez, which are inserted between the lines of the text. These signs do not depict the melodies in any visual way, but are more a mnemonic device for recalling the chants.|To read the notation properly, the singer must therefore already be acquainted with the corresponding melodies. The melekket comprise characters from the Ethiopian script, occurding singly or in groups; a small number of conventional, non-alphabetic signs; numbers indicating the repetitions of the halleluyas; and marginal signs indicating related groupings of melodies.|F. 113v contains an Amharic text describing the correct belief and religious practices of a Christian. This text is added in a different scribal hand.|Previous shelfmark: Ethiopian Missal",Description from seller description by Les Enluminures.,2025-09-18 11:41:36 -0400,20250905,20250905-rochester-csv.csv
