ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q42440,Saint Louis University,56815252,VFL MS 001,https://libcat.slu.edu/record=b1977068,https://iiif.archive.org/iiif/3/images_VFLMS001_44/manifest.json,France,Q122,ca. 1270,1270,13,http://vocab.getty.edu/aat/300404505,false,"Bible, single leaves","",Bible,"",Q661,Detached leaves--France--13th century|Manuscripts--France--13th century|Gothic scripts--France--13th century,Q2954;Q152;Q245|Q10789;Q152;Q245|Q16360;Q152;Q245,"Bible--Manuscripts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q4267;Q331;Q300|Q10783;Q38990,"","","","","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,parchment,Q33,Extent: 25 single leaves : parchment ; 125 x 82 mm,"Ms. leaves.|Layout: Written in two columns of 47 lines; ruled in lead with inner and outer vertical bounding lines; parallel rulings for running head in top margin.|Script: Gothic textualis.|Decoration: Illuminated initials alternating in blue and red with pen flourishes in the opposite color; running heads and chapter divisions in red and blue; chapter numbers written within the column.|Origin: Written and decorated in France, ca. 1270.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 001.","",2024-07-11 16:01:45 -0400,20140702,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56821922,VFL MS 003,https://libcat.slu.edu/record=b1977090,https://iiif.archive.org/iiif/3/images_VFLMS003_44/manifest.json,Ferrara,Q1299,ca. 1460-1470,1460^1470,15,http://vocab.getty.edu/aat/300404465,false,"Book of hours, use of Rome","",Book of hours (Pius XII Memorial Library. Manuscript. VFL MS 003),"",Q795,Manuscripts--Italy--Ferrara--15th century|Illuminated manuscripts--Italy--Ferrara--15th century|Gothic scripts--Italy--Ferrara--15th century|Blind tooled bindings (Binding)|Calf bindings (Binding)|Gilt edges (Binding)|Armorial bookplates (Provenance),Q10789;Q7179;Q154|Q4268;Q7179;Q154|Q16360;Q7179;Q154|Q5877|Q12556|Q5855|Q12580,"Catholic Church--Prayers and devotions|Books of hours--Italy--Ferrara--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q310;Q3052|Q5889;Q7179;Q300|Q10783;Q38990,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d.1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,parchment,Q33,Extent: 238 leaves : parchment ; 80 x 60 mm.,"Ms. codex.|Layout: Calendar written in 16 lines, ruled with double inner and outer vertical bounding lines. Text written in 12 long lines, ruled in lead with single inner and outer vertical bounding lines.|Script: Gothic textualis.|Decoration: Eight 5-line illuminated initials decorated with acanthus and floral patterns on square burnished gold grounds outlined in brown ink and bar extensions of burnished gold, terminating in sprays of flowers with sprinkles of gold dots. 2-line penwork initials and 1-line capitals throughout, in alternating burnished gold and blue, with penwork bar extensions in red, gold, and purple.|Binding: Medium brown calf, blind stamped with shell and floral border motifs; gilt rosettes and inscriptions on spine; gilt edges.|Origin: Written and illuminated in Ferrara, ca. 1460-1470.|Unidentified armorial bookplate on inside front cover; acquisition inscription on Folio i, verso: Würzburg, July 24, 1902. Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, VFL MS 003.","",2024-07-11 16:01:45 -0400,20150327,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822433,VFL MS 005,https://libcat.slu.edu/record=b1977095,https://iiif.archive.org/iiif/3/images_VFLMS005_44/manifest.json,France,Q122,ca. 1470,1470,15,http://vocab.getty.edu/aat/300404465,false,"Book of hours, single leaf","",Book of hours,"",Q795,Manuscripts--France--15th century|Detached leaves--France--15th century|Illuminated manuscripts--France--15th century|Initials (Layout features)--France--15th century|Gothic scripts,Q10789;Q152;Q154|Q2954;Q152;Q154|Q4268;Q152;Q154|Q12539;Q152;Q154|Q16360,"Catholic Church--Prayers and devotions--Early works to 1800|Books of hours--Manuscripts--Early works to 1800|Books of hours--France--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q310;Q3052;Q300|Q5889;Q331;Q300|Q5889;Q152;Q300|Q10783;Q38990,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, illustrations",Q33,"Extent: 1 single leaf : parchment, illustrations ; 164 x 112 mm","Ms. leaf.|Layout: Written in 15 long lines, ruled in pinkish-red ink.|Script: Gothic textura.|Decoration: One 4-line illuminated initial O in blue with white tracery, infilled with red and blue leaves set into spaces between criss-crossing diagonal lines, on a squared burnished gold ground outlined in black; narrow burnished gold and blue bar along lefthand side of text; 3-sided vegetal border framed in red ink and filled with penwork scrolls sprouting burnished gold ivy and distinctively pastel green leaves.|Origin: Written and illuminated in France, in about 1470.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 005.","",2024-07-11 16:01:45 -0400,20140210,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822639,VFL MS 006,https://libcat.slu.edu/record=b1977096,https://iiif.archive.org/iiif/3/images_VFLMS006_44/manifest.json,France,Q122,ca. 1260,1260,13,http://vocab.getty.edu/aat/300404505,false,"Psalter, single leaves","",Bible,"",Q661,Manuscripts--France--13th century|Illuminated manuscripts--France--13th century|Detached leaves--France--13th century|Gothic scripts--France--13th century,Q10789;Q152;Q245|Q4268;Q152;Q245|Q2954;Q152;Q245|Q16360;Q152;Q245,"Bible. Psalms--Manuscripts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q4257;Q331;Q300|Q10783;Q38990,"","","","","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, illustrations",Q33,"Extent: 5 single leaves : parchment, illustrations ; 150 x 110 mm","Ms. leaves.|Layout: Written in 18 long lines; ruled in lead with single inner and outer vertical bounding lines top to bottom.|Script: Gothic textualis.|Decoration: Illuminated initials with bar extensions in burnished gold or blue, with red or blue pen flourishes, one decorated with a human face (fol. b, recto); 1-line illuminated initials in burnished gold flourished with blue or blue flourished with red.|Origin: Written and illuminated in France, ca. 1260.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 006.","",2024-07-11 16:01:45 -0400,20140513,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822339,VFL MS 004,https://libcat.slu.edu/record=b1977097,https://iiif.archive.org/iiif/3/images_VFLMS004_44/manifest.json,France,Q122,ca. 1470,1470,15,http://vocab.getty.edu/aat/300404465,false,"Book of hours, single leaves","",Book of hours,"",Q795,Detached leaves--France--15th century|Detached leaves--Belgium--15th century|Manuscripts--France--15th century|Manuscripts--Belgium--15th century|Illuminated manuscripts--France--15th century|Illuminated manuscripts--Belgium--15th century|Gothic scripts--France--15th century|Gothic scripts--Belgium--15th century,Q2954;Q152;Q154|Q2954;Q16301;Q154|Q10789;Q152;Q154|Q10789;Q16301;Q154|Q4268;Q152;Q154|Q4268;Q16301;Q154|Q16360;Q152;Q154|Q16360;Q16301;Q154,"Catholic Church--Prayers and devotions--Early works to 1800|Books of hours--France--Manuscripts--Early works to 1800|Books of hours--Belgium--Manuscripts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q310;Q3052;Q300|Q5889;Q152;Q331;Q300|Q5889;Q16301;Q331;Q300|Q10783;Q38990,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, illustrations",Q33,"Extent: 10 single leaves : parchment, illustrations ; 178 x 122 mm","Ms. leaves.|Layout: Written in 23 long lines; ruled mostly in light red ink.|Script: Bastarda.|Decoration: On fol. d, verso, one full-page miniature of the Betrayal and Arrest of Christ (above) and Christ in Gethsemane (below); on fol. f, verso, one half-page miniature of the Stoning of St. Stephen; twelve 10-line miniatures. Illuminated initials in brushed gold on rectangular red or blue fields; border panels on three sides with fruit, flowers, and acanthus sprays in brushed gold, green, blue, red, often inhabited by grotesques. An ink sketch on folio d, recto appears to be a preliminary drawing for the miniature on folio c, verso that preceded it in the original manuscript.|Origin: Written and illuminated in northern France or Flanders (Belgium), ca. 1470.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 004.","",2024-07-11 16:01:45 -0400,20140513,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822746,VFL MS 007,https://libcat.slu.edu/record=b1977098,https://iiif.archive.org/iiif/3/images_VFLMS007_44/manifest.json,Bologna,Q3087,ca. 1280-1290,1280^1290,13,http://vocab.getty.edu/aat/300404505,false,"Corpus juris civilis, single leaf","",Authenticum,"",Q39272,Detached leaves--Italy--13th century|Manuscripts--Italy--13th century|Illuminated manuscripts--Italy--13th century|Illuminated initials (Layout features)--Italy--13th century|Gothic scripts--Italy--13th century|Peciae--Italy--13th century,Q2954;Q249;Q245|Q10789;Q249;Q245|Q4268;Q249;Q245|Q10807;Q249;Q245|Q16360;Q249;Q245|Q38520;Q249;Q245,"Justinian I, Emperor of the East, 483?-565--Manuscripts|Accursius, glossator, approximately 1182-approximately 1260--Manuscripts|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis",Q38706;Q331|Q38563;Q331|Q10783;Q38990,"","","","","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,In Latin,Q113,"parchment, illustrations",Q33,"Extent: 1 single leaf : parchment, illustrations ; 310 x 230 mm","Ms. leaf.|Rubric: On fol. a, verso, ""De s[an]ctissimus et revere[n]tissimus et deo amabilibus epi[scopi]s et cl[er[ici[s] et mo[n]achi[s] co[n]st[ituti]o [cx]xiii.""|Layout: Written in two columns of 50 lines, with surrounding Glossa ordinaria; ruled in lead with single inner and outer bounding lines for text and gloss. Text keyed to gloss by letters of the alphabet.|Annotations: On fol. a, verso, pecia mark (""fi[nit] xiii p[ecia] t[extum]"") in lower left margin alongside lefhand text column.|Script: Gothic textualis rotunda (littera bononiensis).|Decoration: On fol. a, verso, 1 figured 4-line initial ""D"" in pink and white on squared blue ground with white tracery, with the bust of a tonsured monk in a red robe at center; paragraph marks in red and blue, rubrics in red.|Origin: Written and illuminated in Bologna, ca. 1280-1290.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 007.|Gift of Milton and Gail Fischmann, 1962.","",2024-07-11 16:01:45 -0400,20140224,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822837,VFL MS 008,https://libcat.slu.edu/record=b1977099,https://iiif.archive.org/iiif/3/images_VFLMS008_44/manifest.json,France,Q122,ca. 1335,1335,14,http://vocab.getty.edu/aat/300404506,false,"Gradual, single leaves","",Gradual,"",Q1121,Detached leaves--France--14th century|Manuscripts--France--14th century|Gregorian chant--France--14th century|Gothic scripts--France--14th century,Q2954;Q152;Q295|Q10789;Q152;Q295|Q2967;Q152;Q295|Q16360;Q152;Q295,"Catholic Church--Liturgy--Texts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis|Gregorian chants--France--Manuscripts--Early works to 1800|Graduals (Liturgical books)--France--Manuscripts--Early works to 1800",Q310;Q207;Q3066;Q300|Q10783;Q38990|Q3070;Q152;Q331;Q300|Q5831;Q152;Q331;Q300,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, music",Q33,"Extent: 3 single leaves : parchment, music ; 330 x 240 mm","Ms. leaves.|Layout: Written in 10 long lines, alternating with ten 4-line red staves with C clefs and square notation; sewing stations visible in inner margins.|Script: Gothic textualis.|Decoration: Alternating red and blue penwork initials, height of staff plus 1-line, infilled and flourished in the opposite color; 1-line capitals alternate red and blue. Assorted descenders at bottom line of text terminate in penwork faces.|Origin: Written in France in ca. 1335.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 008.","",2024-07-11 16:01:45 -0400,20140513,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822922,VFL MS 009,https://libcat.slu.edu/record=b1977100,https://iiif.archive.org/iiif/3/images_VFLMS009_44/manifest.json,Italy,Q134,ca.1480,1480,15,http://vocab.getty.edu/aat/300404465,false,"Antiphonary, single leaf","",Antiphonary,"",Q654,Detached leaves--Italy--15th century|Manuscripts--Italy--15th century|Illuminated manuscripts--15th century|Gothic scripts--Italy--15th century,Q2954;Q249;Q154|Q10789;Q249;Q154|Q4268;Q154|Q16360;Q249;Q154,"Catholic Church--Liturgy--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis|Gregorian chants--Manuscripts--Early works to 1800|Antiphonaries--Italy--Manuscripts--Early works to 1800",Q310;Q207;Q300|Q10783;Q38990|Q3029;Q331;Q300|Q4306;Q249;Q331;Q300,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, illustrations",Q33,"Extent: 1 single leaf : parchment, illustrations ; 520 x 376 mm","Ms. leaf.|Layout: On fol. a, recto, written in 10 long lines, with four 4-line red staves and mensuration lines in red, C clefs and square notation in black; on verso, 16 long lines; ruled lightly in ink with single inner and outer vertical bounding lines.|Script: Gothic textualis.|Decoration: On fol. a, recto: Staff-height illuminated initial E in blue, with original penwork decoration lightly visible in faded pink. Marginal decoration on recto by later hand (overlaps roman numeral, XL VIII, in upper right-hand corner); full framing border of neo-classical grotteschi motifs with acanthus vinescroll, sea horses, and dolphins in blue, red, and green; historiated roundels depicting King David ringing bells at lower center margin, and Francis of Assisi at center right margin. On fol. a, verso, original one-line initials alternating in red and blue with harp-string penwork in opposite colors.|Origin: Text written and rubricated in Italy ca. 1480; painted marginal decoration added later, possibly in the eighteenth or nineteenth century; attribution made in consultation with Consuelo Dutschke.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 009.","",2024-07-11 16:01:45 -0400,20140227,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56822966,VFL MS 010,https://libcat.slu.edu/record=b1977101,https://iiif.archive.org/iiif/3/images_VFLMS010_44/manifest.json,France,Q122,15--,1500,16,http://vocab.getty.edu/aat/300404510,false,"Gradual, single leaves","",Gradual,"",Q1121,Detached leaves--France--16th century|Manuscripts--France--16th century|Illuminated manuscripts--France--16th century|Historiated initials (Layout features)--France--16th century|Gothic scripts--France--16th century,Q2954;Q152;Q335|Q10789;Q152;Q335|Q4268;Q152;Q335|Q10800;Q152;Q335|Q16360;Q152;Q335,"Catholic Church--Liturgy--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Missouri--Saint Louis|Gregorian chants--France--Manuscripts--Early works to 1800|Graduals (Liturgical books)--France--Manuscripts--Early works to 1800",Q310;Q207;Q300|Q10783;Q38990|Q3070;Q152;Q331;Q300|Q5831;Q152;Q331;Q300,Catholic Church,"",Q425,"","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,Latin,Q113,"parchment, ill.",Q33,"Extent: 2 single leaves : parchment, ill. ; 575 x 401 mm","Ms. leaves.|Rubric: On fol. a, verso, an indulgence decreed by Pope Sixtus IV (r. 1471-1484).|Layout: Written in 6 long lines, alternating with six 5-line red staves with F and C clefs and square notation; ruled in lead with single outer and double inner parallel bounding lines.|Script: Gothic textualis.|Decoration: Two historiated initials: on fol. a, verso, the Visitation, left unfinished; on fol. b verso, Saints Processus and Martinian holding books and palms of martyrdom.|Origin: Written and illuminated in southern France in the 16th century.|Gift of Milton and Gail Fischmann, 1962.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 010.","",2024-07-11 16:01:45 -0400,20140513,20240213-slu-marcxml.xml
,"","",marc-xml,amremm,Q42440,Saint Louis University,56823506,VFL MS 024,https://libcat.slu.edu/record=b1977167,https://iiif.archive.org/iiif/3/images_VFLMS024_44/manifest.json,India,Q138,17th-18th century,1600^1799,17;18,http://vocab.getty.edu/aat/300404511;http://vocab.getty.edu/aat/300404512,false,"Qur'an, single leaves","",Qurʼan,"",Q3697,Manuscripts--India--17th century|Manuscripts--India--18th century|Detached leaves--India--17th century|Detached leaves--India--18th century|Illuminated manuscripts--India--17th century|Illuminated manuscripts--India--18th century|Calligraphy--India--18th century|Korans--India--17th century|Korans--India--18th century|Calligraphy--India--17th century|Arabic scripts,Q10789;Q26595;Q2771|Q10789;Q26595;Q3024|Q2954;Q26595;Q2771|Q2954;Q26595;Q3024|Q4268;Q26595;Q2771|Q4268;Q26595;Q3024|Q26807;Q26595;Q3024|Q3532;Q26595;Q2771|Q3532;Q26595;Q3024|Q26807;Q26595;Q2771|Q38427,"Qurʼan--Manuscripts|Manuscripts, Arabic--Missouri--Saint Louis",Q11441;Q38609|Q256;Q38990,"","","","","","","","","","","","","Fischmann, Milton, d. 1974|Fischmann, Gail",|,Q40652|Q40651,In Arabic and Persian,Q118;Q120,paper,Q31,Extent: 3 single leaves : paper ; 485 x 320 mm.,"Ms. leaves.|Layout: Written in 8 long lines of Arabic in large Bahari script on a gold-washed ground; Arabic text separated by narrow bands in burnished gold with interlinear Persian commentary in red; ruled lines in black, red, green, and blue, form a border around the text block; outer rulings in black, filled in with burnished gold and red. Catchwords in lower left margins on verso.|Script: Bahari, written in black ink; interlinear commentary is Nasta'liq, written in red; marginal annotations written in Shikasteh in black. Scripts identified by Robert Hillenbrand.|Decoration: Sura divisions marked by cartouches in gold on blue grounds with gold foliage, headings in red; verses marked with burnished gold disks; marginal medallions in gold with blue, red, and black; commentary in Persian written in red; marginal commentary written on the diagonal in black, one prayer added in red on fol. a, recto.|Origin: Written and illuminated in India, 17th-18th century; attribution made in consultation with Robert and Carole Hillenbrand.|Shelfmark: St. Louis, Saint Louis University, Pius XII Memorial Library, Special Collections, VFL MS 024.|Gift of Milton and Gail Fischmann, 1962.","",2024-07-11 16:01:45 -0400,20131216,20240213-slu-marcxml.xml
