ds_id,date_added,date_last_updated,source_type,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre_vocabulary,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,Q49117,University of Pennsylvania,9950320043503681,LJS 191,https://franklin.library.upenn.edu/catalog/FRANKLIN_9950320043503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3g63j/manifest,"","","",1496,1496,15,http://vocab.getty.edu/aat/300404465,,"","",Commentary on the Ephemerides of Regiomontanus,"","","Codices (bound manuscripts)|Commentaries|Tables (documents)|Treatises|Manuscripts, Renaissance|Manuscripts, English (Middle)--15th century",aat|aat|aat|aat|lcsh|local,http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300026098|http://vocab.getty.edu/aat/300027364|http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008329;http://id.worldcat.org/fast/923962,"codices (bound manuscripts)|commentaries|tables (documents)|treatises|Manuscripts, Renaissance|Manuscripts, English (Middle);Fifteenth century",Astrology|Astrology--Early works to 1800|Astronomy--Early works to 1800|Astronomy|Ephemerides|Ephemerides--Early works to 1800,http://id.worldcat.org/fast/819398|http://id.worldcat.org/fast/819398;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/819673|http://id.worldcat.org/fast/913680|http://id.worldcat.org/fast/913680;http://id.worldcat.org/fast/1411636,Astrology|Astrology;Early works|Astronomy;Early works|Astronomy|Ephemerides|Ephemerides;Early works,"Mariensüss, Bartholomäus, -1504","","",Q114242413,human,Bartholomäus Mariensüss,"","","","","","","","","","","","",Middle English,Q36395,Middle English,"Alleyn, James|Stanitz, John D",|,"",Sir James Alleyn|John D. Stanitz,Q56063918|Q114242546,human|human,paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 18 leaves : paper ; 190 x 140 (170 x 112) mm bound to 197 x 150 mm.,"The first part of Bute MS 13 (f. 1r-46v), including a copy of Chaucer's Treatise on the astrolabe, was purchased after 1988 by Shozo Asahata (Nara, Japan), current location unknown (Kurtz and Voigts).|Ms. codex.|Title supplied by cataloger (Kurtz and Voigts).",,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9950320043503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9957607433503681,LJS 264,https://franklin.library.upenn.edu/catalog/FRANKLIN_9957607433503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p26q433/manifest,"","","",1400,1400,15,http://vocab.getty.edu/aat/300404465,,Image du monde.,"",Ymage du monde,"",Image du monde,"Codices|Diagrams|Illuminations|Poems|Manuscripts, French|Manuscripts, Renaissance|Manuscripts, Medieval|Manuscripts, French",aat|aat|aat|aat|lcsh|lcsh|lcsh|lcsh,http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300015387|http://vocab.getty.edu/aat/300264522|http://vocab.getty.edu/aat/300026451|http://id.worldcat.org/fast/1008338|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1008338,"codices (bound manuscripts)|diagrams|illuminations (paintings)|poems|Manuscripts, French|Manuscripts, Renaissance|Manuscripts, Medieval|Manuscripts, French","Astronomy|Geography, Medieval|Cosmology--Early works to 1800|Cosmology|Geography--Early works to 1800|Geography|Geography, Medieval|Astronomy--Early works to 1800",http://id.worldcat.org/fast/819673|http://id.worldcat.org/fast/940573|http://id.worldcat.org/fast/880600;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/880600|http://id.worldcat.org/fast/940469;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/940469|http://id.worldcat.org/fast/940573|http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636,"Astronomy|Geography, Medieval|Cosmology;Early works|Cosmology|Geography;Early works|Geography|Geography, Medieval|Astronomy;Early works","","","","","","","","","","","","","","","","","","",Middle French,Q1473289,Middle French,"Court, Benoît de|Court, Antoine de, 16th century|Gaignières, Jehan de, 16th century",||,"",Benoît Le Court|Antoine de Court|Jehan de Gaignières,Q106904178|Q115781159|Q113857013,human|human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 132 leaves : parchment ; 210 x 153 (144 x 80) mm bound to 220 x 160 mm.,Title from opening rubric (f. 2r); title Mapemonde in caption title (f. 2r) and closing rubric (f. 130r).|Ms. codex.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9957607433503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9949282643503681,Oversize LJS 16,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949282643503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p35x25d3h/manifest,"","","",1400,1400,15,http://vocab.getty.edu/aat/300404465,,Speculum historiale.,"","Speculum historiale, Books 25-28","",Speculum historiale,"Manuscripts, Medieval|Encyclopedias|Manuscripts, Latin|Manuscripts, Latin|Chronicles",lcsh|aat|lcsh|lcsh|aat,http://id.worldcat.org/fast/1008422|http://vocab.getty.edu/aat/300129439|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008395|http://vocab.getty.edu/aat/300026361,"Manuscripts, Medieval|encyclopedias|Manuscripts, Latin|Manuscripts, Latin|chronicles",Encyclopedias and dictionaries--Early works to 1600|World history--Early works to 1800|World history|Encyclopedias and dictionaries,http://id.worldcat.org/fast/909533;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1181345|http://id.worldcat.org/fast/909533,Encyclopedias and dictionaries;Early works|World history;Early works|World history|Encyclopedias and dictionaries,"Vincent, of Beauvais, -1264","","",Q455162,human,Vincent of Beauvais,"","","","","","","","","","","","",Latin,Q397,Latin,"Libri, Guillaume, 1803-1869|Schoenberg, Lawrence J|Creswick, H. R., 1902-1988|Phillipps, Thomas, Sir, 1792-1872",|||,"",Guglielmo Libri Carucci dalla Sommaja|Lawrence J. Schoenberg|Harry Creswick|Thomas Phillipps,Q1251586|Q107542788|Q5668143|Q2147709,human|human|human|human,"parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 176 leaves : parchment, illustrations ; 370 x 255 (254 x 155) mm bound to 381 x 275 mm.",A detached leaf from Book 29 (LJS 124) is laid in the back of the manuscript.|Title supplied by cataloger.|Ms. codex.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9949282643503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9959415183503681,LJS 229,https://franklin.library.upenn.edu/catalog/FRANKLIN_9959415183503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3zk55n01/manifest,"[Provence or Spain],",http://vocab.getty.edu/tgn/7012209;http://vocab.getty.edu/tgn/1000095,Provence;Spain,[between 1450 and 1499],1450^1499,15,http://vocab.getty.edu/aat/300404465,,"","",Commentaries on Aristotle and Porphyry,"","","Codices|Manuscripts, Renaissance|Diagrams|Manuscripts, Hebrew|Manuscripts, Medieval|Commentaries",aat|lcsh|aat|lcsh|lcsh|aat,http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1008472|http://vocab.getty.edu/aat/300015387|http://id.worldcat.org/fast/1008360|http://id.worldcat.org/fast/1008422|http://vocab.getty.edu/aat/300026098,"codices (bound manuscripts)|Manuscripts, Renaissance|diagrams|Manuscripts, Hebrew|Manuscripts, Medieval|commentaries","Averroës,--1126-1198.--Talkhīs kitāb al-ʻIbārah|Averroës,--1126-1198.--Talkhīṣ kitāb al-maqūlāt|Averroës,--1126-1198.--Talkhīṣ madkhal Furfūriyūs|Aristotle--Criticism and interpretation--Early works to 1800|Aristotle.--Categoriae|Aristotle.--De interpretatione|Aristotle|Porphyry,--approximately 234-approximately 305.--Isagoge|Logic--Early works to 1800|Logic|Criticism and interpretation",http://id.worldcat.org/fast/69334|http://id.worldcat.org/fast/69334|http://id.worldcat.org/fast/69334|http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1198648;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1357313|http://id.worldcat.org/fast/29885;http://id.worldcat.org/fast/1359296|http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1802571;http://id.worldcat.org/fast/1356577|http://id.worldcat.org/fast/1002014;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1002014|http://id.worldcat.org/fast/1198648,"Averroës, 1126-1198|Averroës, 1126-1198|Averroës, 1126-1198|Aristotle;Criticism and interpretation;Early works|Aristotle;Categoriae (Aristotle)|Aristotle;De interpretatione (Aristotle)|Aristotle|Porphyry, approximately 234-approximately 305;Isagoge (Porphyry)|Logic;Early works|Logic|Criticism and interpretation","","","","","","","","","","","","","","","","","","",Hebrew,Q9288,Hebrew,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 119 leaves : paper ; 205 x 145 (144 x 95) mm bound to 210 x 145 mm.,Ms. codex.|Title supplied by cataloger.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9959415183503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9949956063503681,Oversize LJS 211,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949956063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3w92x/manifest,"","","",ca. 1201-1205.,1201^1205,13,http://vocab.getty.edu/aat/300404505,,"","",Roger Bigod deed,"","","Legal documents|Deeds|Seals (artifacts)|Manuscripts, Latin|Manuscripts, Medieval",aat|aat|aat|lcsh|lcsh,http://vocab.getty.edu/aat/300027590|http://vocab.getty.edu/aat/300027249|http://vocab.getty.edu/aat/300028877|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008422,"legal documents|deeds|seals (artifacts)|Manuscripts, Latin|Manuscripts, Medieval",Windmills--England--History|Real property--England--Suffolk|Windmills|Real property|History|England|England--Suffolk,http://id.worldcat.org/fast/1175762;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1212535|http://id.worldcat.org/fast/1175762|http://id.worldcat.org/fast/1091096|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1219920|http://id.worldcat.org/fast/1212535,Windmills;England;History|Real property;England;England--Suffolk|Windmills|Real property|History|England|England--Suffolk,"Bigod, Roger, Earl of Norfolk, -1221","","",Q3438704,human,"Roger Bigod, 2nd Earl of Norfolk","","","","","","","","","","","","",In Latin,Q397,Latin,"Phillipps, Thomas, Sir, 1792-1872|Schoenberg, Lawrence J|Stanitz, John D|Grinke, Paul",|||,"",Thomas Phillipps|Lawrence J. Schoenberg|John D. Stanitz|Paul Grinke,Q2147709|Q107542788|Q114242546|Q113864039,human|human|human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment ; 111 x 167 mm.,"",,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9949956063503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9949349953503681,Oversize LJS 124,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949349953503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3qw74/manifest,"","","",ca. 1400.,1400,15,http://vocab.getty.edu/aat/300404465,,Speculum historiale.,"","Manuscript leaf from Speculum historiale, Book 29","",Speculum historiale,"Fragments (object portions)|Excerpts|Manuscripts, Medieval|Manuscripts, Latin|Manuscripts, Latin",aat|aat|lcsh|lcsh|lcsh,http://vocab.getty.edu/aat/300117130|http://vocab.getty.edu/aat/300026939|http://id.worldcat.org/fast/1008422|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008395,"fragments (object portions)|excerpts|Manuscripts, Medieval|Manuscripts, Latin|Manuscripts, Latin",Abbots--Early works to 1800|Bishops--Early works to 1800|Bishops|Abbots,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/833378;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/833378|http://id.worldcat.org/fast/794221,Abbots;Early works|Bishops;Early works|Bishops|Abbots,"Vincent, of Beauvais, -1264","","",Q455162,human,Vincent of Beauvais,"","","","","","","","","","","","",Latin,Q397,Latin,"Libri, Guillaume, 1803-1869|Schoenberg, Lawrence J|Creswick, H. R., 1902-1988|Masson, Irvine, 1887-1962|Phillipps, Thomas, Sir, 1792-1872",||||,"",Guglielmo Libri Carucci dalla Sommaja|Lawrence J. Schoenberg|Harry Creswick|Irvine Masson|Thomas Phillipps,Q1251586|Q107542788|Q5668143|Q15441871|Q2147709,human|human|human|human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 item (1 leaf) : parchment ; 368 x 262 mm.,"Manuscript leaf is laid in the back of LJS 16, from which it was separated in the 20th century.|Title supplied by cataloger.",,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9949349953503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9949222153503681,Oversize LJS 189,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949222153503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3m03xz3w/manifest,"[Persia?],",http://vocab.getty.edu/tgn/7024079,Persia,[between 1300 and 1399?],1300^1399,14,http://vocab.getty.edu/aat/300404506,,"","",Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى.,"","Encyclopedias|Illuminations (painting)|Manuscripts, Persian|Manuscripts, 14th century|Manuscripts, Medieval|Miniatures (paintings)|Illuminations|Codices (bound manuscripts)",aat|aat|lcsh|lcsh|lcsh|aat|aat|aat,http://vocab.getty.edu/aat/300129439|http://vocab.getty.edu/aat/300264522|http://id.worldcat.org/fast/1008462|http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/933420|http://id.worldcat.org/fast/1008422|http://vocab.getty.edu/aat/300033936|http://vocab.getty.edu/aat/300264522|http://vocab.getty.edu/aat/300224200,"encyclopedias|illuminations (paintings)|Manuscripts, Persian|Manuscripts;Fourteenth century|Manuscripts, Medieval|miniatures (paintings)|illuminations (paintings)|codices (bound manuscripts)","Medicine, Persian--Early works to 1800|Medicine, Persian",http://id.worldcat.org/fast/1015308;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1015308,"Medicine, Persian;Early works|Medicine, Persian","Jurjānī, Ismāʻīl ibn Ḥasan, 1042 or 1043-1136 or 1137",جرجاني، اسماعيل بن حسن، 1042 or 1043-1136 or 1137,"",Q2908840,human,Zayn al-Din Gorgani,"","","","","","","","","","","","",Persian,Q9168,Persian,"Schoenberg, Lawrence J|Stanitz, John D|Hagop Kevorkian Fund",||,"",Lawrence J. Schoenberg|John D. Stanitz|Hagop Kevorkian Fund,Q107542788|Q114242546|Q114242603,human|human|organization,"paper, illustrations, illuminations",http://vocab.getty.edu/aat/300014109,paper,"Extent: 352 leaves : paper, illustrations, illuminations ; 395 x 317 (278 x 230) mm bound to 400 x 322 mm.",Ms. codex.|Title from colophon (f. 352v) and beginning and end of each book.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9949222153503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9946463483503681,LJS 26,https://franklin.library.upenn.edu/catalog/FRANKLIN_9946463483503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3f92w/manifest,"[Italy],",http://vocab.getty.edu/tgn/1000080,Italy,[between 1225 and 1275],1225^1275,13,http://vocab.getty.edu/aat/300404505,,"","",Algorismus,"",Algorismus,"Codices|Manuscripts, Medieval|Treatises|Manuscripts, Latin|Diagrams",aat|lcsh|aat|lcsh|aat,http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1008422|http://vocab.getty.edu/aat/300026681|http://id.worldcat.org/fast/1008395|http://vocab.getty.edu/aat/300015387,"codices (bound manuscripts)|Manuscripts, Medieval|treatises|Manuscripts, Latin|diagrams","Arithmetic|Astronomy--Early works to 1800|Cosmography|Arithmetic--Early works to 1900|Astronomy, Medieval|Astronomy, Medieval|Cosmography--Early works to 1800|Astronomy",http://id.worldcat.org/fast/814484|http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/880594|http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/819781|http://id.worldcat.org/fast/819781|http://id.worldcat.org/fast/880594;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/819673,"Arithmetic|Astronomy;Early works|Cosmography|Arithmetic;Early works|Astronomy, Medieval|Astronomy, Medieval|Cosmography;Early works|Astronomy","Sacro Bosco, Joannes de, active 1230","","",Q433841,human,Johannes de Sacrobosco,"","","","","","","","","","","","",Latin,Q397,Latin,"","","","","","","parchment, illustrations",http://vocab.getty.edu/aat/300011851,parchment,"Extent: 30 leaves : parchment, illustrations ; 182 x 128-130 (128 x 85) mm bound to 188 x 138 mm.","Ms. codex.|Title for manuscript from caption title of first work and incipit of second work (f. 1r, 9v); second work is also known as Sphaera mundi.",,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9946463483503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9958854883503681,LJS 220,https://franklin.library.upenn.edu/catalog/FRANKLIN_9958854883503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p31c1tg53/manifest,"[France],",http://vocab.getty.edu/tgn/1000070,France,[between 1475 and 1490],1475^1490,15,http://vocab.getty.edu/aat/300404465,,"","",Recueil de diverses recettes médécinales,"","","Codices|Prescriptions|Manuscripts, Renaissance|Manuscripts, French|Manuscripts, Medieval|Recipes",aat|aat|lcsh|lcsh|lcsh|aat,http://vocab.getty.edu/aat/300224200|http://vocab.getty.edu/aat/300027231|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008338|http://id.worldcat.org/fast/1008422|http://vocab.getty.edu/aat/300027043,"codices (bound manuscripts)|prescriptions|Manuscripts, Renaissance|Manuscripts, French|Manuscripts, Medieval|recipes","Medicine--Early works to 1800|Medicine--Formulae, receipts, prescriptions|Medicine--Formulae, receipts, prescriptions--Early works to 1800|Medicine",http://id.worldcat.org/fast/1014893;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1014953|http://id.worldcat.org/fast/1014953;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1014893,"Medicine;Early works|Medicine--Formulae, receipts, prescriptions|Medicine--Formulae, receipts, prescriptions;Early works|Medicine","","","","","","","","","","","","","","","","","","","Middle French, with some sections in Latin (f. 77r-81v, 85v-87r, 93r-98r, 137v, 141r)",Q1473289;Q397,Middle French;Latin,"","","","","","",paper,http://vocab.getty.edu/aat/300014109,paper,Extent: 147 leaves : paper ; 200 x 144 (138 x 85) mm bound to 208 x 150 mm.,Title from later inscription (f. 2r).|Ms. codex.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9958854883503681_marc.xml
,,,marc-xml,Q49117,University of Pennsylvania,9949240153503681,Oversize LJS 20,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949240153503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3hd15/manifest,"","","",1578,1578,16,http://vocab.getty.edu/aat/300404510,,"","",Carta executoria de hidalguia a pedimiento,"","","Codices|Specimens|Illuminations|Letters patent|Manuscripts, Spanish|Manuscripts, Renaissance|Portraits|Art|Art|Portraits",aat|fast|aat|aat|lcsh|lcsh|lcgft|lcgft|fast|fast,http://vocab.getty.edu/aat/300224200|http://id.worldcat.org/fast/1423861|http://vocab.getty.edu/aat/300264522|http://vocab.getty.edu/aat/300027820|http://id.worldcat.org/fast/1008500|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1423831|http://id.worldcat.org/fast/815177|http://id.worldcat.org/fast/815177|http://id.worldcat.org/fast/1423831,"codices (bound manuscripts)|Specimens|illuminations (paintings)|letters patent|Manuscripts, Spanish|Manuscripts, Renaissance|Portraits|Art|Art|Portraits","Cuenca, Juan Gaytan de|Cuenca, Francisco Gaytan de|Cuenca, Alonso Gaytan de|Mary,--Blessed Virgin, Saint--Art|James,--the Greater, Saint|James,--the Greater, Saint--Art|Philip--II,--King of Spain,--1527-1598--Portraits|Philip--II,--King of Spain,--1527-1598|Mary,--Blessed Virgin, Saint|Illumination of books and manuscripts--Specimens|Illumination of books and manuscripts|Nobility|Nobility--Spain--Early works to 1800|History|Spain--History--Philip II, 1556-1598|Spain",|||http://id.worldcat.org/fast/68107;http://id.worldcat.org/fast/815177||http://id.worldcat.org/fast/48588;http://id.worldcat.org/fast/815177|http://id.worldcat.org/fast/26669;http://id.worldcat.org/fast/1423831|||http://id.worldcat.org/fast/967235;http://id.worldcat.org/fast/1423861|http://id.worldcat.org/fast/967235|http://id.worldcat.org/fast/1038255|http://id.worldcat.org/fast/1038255;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411636|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1355603|http://id.worldcat.org/fast/1204303,"|||Mary, Blessed Virgin, Saint;Art||James, the Greater, Saint;Art|Philip II, King of Spain, 1527-1598;Portraits|||Illumination of books and manuscripts;Specimens|Illumination of books and manuscripts|Nobility|Nobility;Spain;Early works|History|Spain;History;1556-1598|Spain",Spain. Sovereign (1556-1598 : Philip II),"","",Q29,organization,Spain,"","","","","","","","","","","","",Spanish,Q1321,Spanish,"McRoberts, David|Schoenberg, Lawrence J",|,"",David McRoberts|Lawrence J. Schoenberg,Q95002340|Q107542788,human|human,parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 67 leaves : parchment ; 310 x 207 (234 x 130) mm bound to 321 x 226 mm.,Title from colophon (f. 65v).|Ms. codex.,,2022-12-22T21:43:07-05:00,2022-08-03,tmp/ds-member-data/upenn/2022-12-19/9949240153503681_marc.xml
