ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q17745,Vassar College,991002019079707396,BX2000 .A2 1320,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991002019079707396,"",Genoa,Q7800,between 1320 and 1360,1320^1360,14,http://vocab.getty.edu/aat/300404506,false,Portable breviary; Franciscan use,"","","",Q657,Illuminated manuscripts|Gothic scripts|Early works|Breviaries|Bookplates,Q4268|Q16360|Q300|Q38440|Q5847,"Catholic Church--Liturgy--Early works to 1800|Franciscans--Liturgy--Early works to 1800|Catholic Church|Franciscans|Illumination of books and manuscripts, Gothic--Italy|Manuscripts, Latin (Medieval and modern)--Italy|Manuscripts, Medieval--Italy|Illumination of books and manuscripts, Gothic|Liturgics|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|Italy",Q310;Q207;Q300|Q5840;Q207;Q300|Q310|Q5840|Q8371;Q249|Q10783;Q249|Q325;Q249|Q8371|Q207|Q10783|Q325|Q249,Catholic Church,"",Q425,"","","","","","","","","","","","",Latin,Q113,"parchment, col. illuminations",Q33,"Extent: 398 leaves : parchment, col. illuminations ; 125 x 90 (85 x 70) mm bound to 140 x 110 mm","Ms. Codex.|Title supplied by cataloger, derived from dealer's description.|Collation: Parchment, fol. i + 398 (foliated 1-22, 24-239, 239[bis], 240-338, 340-399) + i; 16+1 23 312−2 412 510 615−1 716−2 810 910+1 10-1312 1412−2 15-1912 2010 2112−1 2210−1 2316−3 2412 2512−1 2612−1 2712−1 2810 29-3012 31-3210 3312 3412−1 358−1 3612+1 374.|Layout: written in 2 columns of 29 lines; ruled.|Script: written in rounded Gothic script.|Decoration: four illuminated initials; initials with decorative motifs in red and blue throughout, some extending the length of the column; smaller initials in red or blue and red rubrics and paragraph marks throughout.|Additions to text showing that Augustinian Hermits, probably at Genoa, used breviary in the fifteenth century (see fol. 376-399v). German-speaking owner, 19th/early 20th century: notes in German in ink, attributing the manuscript to Venice, 1420 (fol. ir-v). German-speaking owner, 20th century: notes in German in pencil, listing the folio numbers of the large initials (lower pastedown). 20th-century owners/dealers, with their inscriptions including ""771"" in ink, ""A3"", and a price(?) ""4500"", in pencil (front pastedown). 20th-century owner: with their bookplate, the lower part (with name?) torn away. Bonhams & Butterfields, New York, sale no. 14243: Fine books and manuscripts, October 17, 2006, lot 3233. Les Enluminures, Text manuscripts no. TM225 / 5711 (numbers in pencil on lower pastedown).","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991007770009707396,BX2035.6 .F85 1400z,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991007770009707396,"",Germany,Q131,14--,1400,15,http://vocab.getty.edu/aat/300404465,false,Commendations of Souls,"","","",Q48660,Early works|Texts|Liturgical books,Q300|Q3066|Q5822,"Catholic Church--Liturgy--Texts--Early works to 1800|Catholic Church|Rituals (Liturgical books)--Texts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Germany--Early works to 1800|Music--Manuscripts--Germany--Early works to 1800|Liturgics|Manuscripts, Latin (Medieval and modern)|Music--Manuscripts|Rituals (Liturgical books)|Germany",Q310;Q207;Q3066;Q300|Q310|Q48505;Q3066;Q300|Q10783;Q3032;Q300|Q4764;Q3032;Q300|Q207|Q10783|Q4764|Q48505|Q3032,"","","","","","","","","","","","","","","",Latin,Q113,"parchment, paper, music",Q33;Q31,"Extent: 22 leaves : parchment, paper, music ; 210 x 156 (150 x 115) mm. bound to 220 x 170 mm","Ms. codex.|Title from Kidd.|Collation: Parchment, paper, fol. i (medieval parchment) + 16 + i (medieval parchment) + 4 (paper); 1-28 31 44.|Layout: 15th-century texts written in one column of 17 lines; lead ruling with full-length vertical bounding lines. 18eenth-century addition written in one column of 19-24 lines.|Script: 15th-century texts written in Gothic textura; later addition written in mid-18th- or 19th-century script.|Decoration: Red two- and one-line initials.|Music : Contains neumatic notation (Hufnagel).|Accompanying materials: Leaf from printed Missal laid in.|Origin: Written in western Germany or perhaps Bohemia.|16th-century marginal cues for the music of responsories, in Hufnagel notation on four-line staves. Inscribed with 16th-century names, not necessarily owners: ""Paulus Herwart,"" ""Joscherus filiz,"" ""Josephus filiz,"" ""Filez,"" ""Joannes,"" ""Johannes"" (fol. 17v-18r). ""Mathias Vonder anno 1700"" (fol. 17v). Manuscript presumably rebound in order to incorporate fols. 19-22. Les Enluminures, Text Manuscripts no. TM 953 (as inscribed in pencil on the verso of the last flyleaf); acquired by Stephen J. McCarthy and the Rev Stephen J. McCarthy, Jr.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991007770269707396,D18 .F8 1595,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991007770269707396,"",Czech Republic,Q38180,1595 or 1596,1595^1596,16,http://vocab.getty.edu/aat/300404510,false,Compilation of excerpts from Sebastian Franck's Chronica,"","","",Q48661,Early works|Manuscripts|Inscriptions,Q300|Q331|Q5875,"Manuscripts, German--Czech Republic--16th century|World history--Early works to 1800|World history|1500-1599",Q142;Q19848;Q335|Q189;Q300|Q189|,"","","","","","","Zapf, Hauptrecht, 1546?-1630","",Q48665,"","","","","","",German,Q112,paper,Q31,Extent: 314 leaves : paper ; 150 x 100 (135 x 75) mm. bound to 160 x 110 mm,"Ms. codex.|Title from Kidd.|Collation: Paper, fol. i + 314 (foliated 1-220, 230-293, 293-318); 1-338 346 35-378 388−1 39-408|Layout: Written in 21 to 25 long lines; ruled on some leaves.|Script: Written in a semiprofessional script for the text and in a larger bold formatted script for the headings.|Origin: Written in southern Moravia, Czech Republic, in 1595 or 1596.|18th century inscription (in a monastic library?): Conventu(m) ...hensen (?) (fol. 1r). Sold at Zisska & Schauer, Buch- und Kunstauktionshaus, Munich, Auktion 59, May 9-11, 2012, lot 8 (this number in pencil on front pastedown). Les Enluminures: their Text Manuscript TM641 (in pencil in the lower outer corner of the lower pastedown); acquired in 2017 by Vassar College.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008325379707396,BS75 1250,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008325379707396,"",Oxford,Q3654,between 1250 and 1275,1250^1275,13,http://vocab.getty.edu/aat/300404505,false,Pocket Bible,"",Bible,"",Q661,Gothic scripts|Annotations|Autographs,Q16360|Q2982|Q38431,"Manuscripts, Latin (Medieval and modern)--England--Oxford|Manuscripts, Medieval--England--Oxford|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|England--Oxford",Q10783;Q48506|Q325;Q48506|Q10783|Q325|Q48506,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 11 leaves : parchment ; 160 x 110 (110 x 68) mm bound to 167 x 115 mm,"Ms. codex.|Title from Gwara.|Collation: Parchment, fol. i (parchment) + 11 (foliated 1-11) + i (parchment)|Layout: Written in two columns of 43-45 lines; ruled|Script: Written in Gothic script.|Decoration: Running titles and chapter numbers in alternating red and blue, with similarly colored one-line initials.|Written in Oxford, as suggested by the 13th-century numbering between the columns in some books, of every fifth line (on this system of numbering, see Rouse & Rouse, 1991, pp. 234-35); 13th-century marginal corrections, cross-references, etc., in ink and plummet. ""Jacobus de Mevania"" (fol. 471v): according to the 2007 description, the volume had this signature and thus probably belonged to Giacomo Bianconi of Bevagna (1220-1301), founder and first prior of the Dominican convent at Bevagna, a few miles west of Foligno in the diocese of Spoleto, who is known by a variety of names including Jacobus de Blanconibus, Jacobus Bianconi de Mevania, Jacobus de Bevagna, Jacobus de Mevania, etc. King Alfred's Notebook, Enchiridion, 15 [May 2013] nos. 14-25 (12 single leaves); bought by: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI; the front flyleaf inscribed in pencil ""Acq. 16 July 2013 Via King Alfred's Notebook NBS 13th century leaves (11).""","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008325509707396,BX2043 .A2 1450,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008325509707396,"",Belgium,Q1243,between 1450 and 1500,1450^1500,15,http://vocab.getty.edu/aat/300404465,false,Gradual for Advent and Christmas,"",Gradual (Pre-Vatican II),"",Q1121,Gothic scripts|Illuminatedmanuscripts|Early works|Graduals|Armorial bookplates|Inscriptions,Q16360|Q4268|Q300|Q10816|Q16277|Q5875,"Catholic Church--Liturgy--Early works to 1800|Catholic Church|Illumination of books and manuscripts, Gothic--Belgium|Manuscripts, Latin (Medieval and modern)--Belgium|Manuscripts, Medieval--Belgium|Illumination of books and manuscripts, Gothic|Liturgics|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|Belgium",Q310;Q207;Q300|Q310|Q8371;Q16301|Q10783;Q16301|Q325;Q16301|Q8371|Q207|Q10783|Q325|Q16301,Catholic Church,"",Q425,"","","","","","","","","","","","",Latin,Q113,"parchment, illustrations, music",Q33,"Extent: 25 leaves : parchment, illustrations, music ; 480 x 285 (315 x 195 ) mm bound to 410 x 295 mm","Ms. codex.|Title from Kidd.|Collation: Parchment, fol. i (paper) + 25 + ii (paper) (foliated i-xvi, 17-27); 1-28 34 46−1.|Layout: Written in 9 lines; ruled.|Script: Written by 2 scribes in Gothic script: scribe 1, fol. 1r-16v; scribe 2, fol. 17r-23v. A third scribe in 17th script, fol. 23v-25v.|Decoration: large initial on fol. 1r with red and blue ornamentation, infilled with penwork tracery highlighted in green and purple. Another large initial was cut from fol. 13. 57 staff-high initials, many with red highlights, surrounded and infilled with doliate traceries. Two initials have sketches: fol. 18r, bearded human face with pointed cap; fol. 22v, monkey in green hood reading a book. Capitals alternating in red and blue|Music: contains staff notation (4 line)|Inscribed ""Arnoldus Bols filius custodis Werchtersensis 1776"" (fol. 22r), i.e. Arnoldus Bols (1757-1806). Rev. Edward Heneage Paget (1828-1884): inscribed ""Bought at Mechlin [i.e. Mechelen], Jan[ua]ry 2nd 1852. Edward H Paget. Brussels."" (fol. 25v), and the inside front cover with his armorial bookplate. An ""Ordo fratrum minorum secundum consuetudinem Curiæ"" inscribed ""Edward Paget, Brussels, 1852"", was offered for sale by J. & M.L. Tregaskis several times, including Catalogue 211 (September 1890), no. 5. James Stevens Cox (1910-1997), book dealer (on whom see the introduction to Maggs, Catalogue 1350: STC & Wing Books (London, 2003)): inscribed in ink ""James S. Cox. Ilchester, Somerset"", with his initials and his or a subsequent dealer's stock number in pencil ""19937 SC"" (fol. 27r). King Alfred's Notebook; offered in three Enchiridion catalogues, July-November 2012; sold on December 5, 2012 (invoice and letter in Admin. File) to: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008326209707396,BX2033 .A2 1400,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008326209707396,"",England,Q133,1400 to 1425?,1400^1425,15,http://vocab.getty.edu/aat/300404465,false,Portions of a psalter,"","","",Q660,Illuminatedmanuscripts|Gothic scripts|Early works|Prayers and devotions|Psalters,Q4268|Q16360|Q300|Q3052|Q38533,"Catholic Church--Prayers and devotions--Early works to 1800|Catholic Church|Illumination of books and manuscripts, Gothic--England|Manuscripts, Latin (Medieval and modern)--England|Manuscripts, Medieval--England|Illumination of books and manuscripts, Gothic|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|England",Q310;Q3052;Q300|Q310|Q8371;Q320|Q10783;Q320|Q325;Q320|Q8371|Q10783|Q325|Q320,Catholic Church,"",Q425,"","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 80 leaves : parchment ; 173 x 123 (105 x 60) mm bound to 177 x 130 mm,"Ms. codex.|Title from Kidd.|Collation: Parchment, fol. 80 (foliated 1-80); 18−1 28 38−1 48−3 58 68−1 78 88−1 98−2 108−1 11-12 (uncertain); leaves signed k through at least s; catchwords on fol. 7v, 15v, 22v, 27v, 42v, 50v, 57v, 70v, 80v.|Layout: Written in 19 lines; frame-ruled|Script: Written in Gothic textura script|Decoration: Alternating gold and blue initials with contrasting penwork in purple on gold and red on blue. Two-line initials for Psalm openings. Many initials have penwork flourishing, in purple or red, in left-hand margin only. Rubricated antiphons at openings of Psalms 20 and 21.|Accompanying materials: 17th-century folded piece of paper with astronomical notes: on one side is a table apparently for September with a wide column headed ""[ ... ] holy & Remark[able?] days.""|Unidentified 17th-century reader, who wrote occasional marginalia (e.g. fol. 26r). Walter George Gegan (1869-1951), of Bromley, London: signed and dated 1947 (flyleaf, now missing); by descent until sold anonymously at Christie's, June 7, 2006, lot 44; bought for £3,120 by an anonymous commission bidder, perhaps: Konstantinopel Rare and Fine Books, Enschede, The Netherlands; acquired through King Alfred's Notebook, Cayce, SC, in January 2010 (invoice in Admin. File) by: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008327969707396,BX2033 .A2 1400z,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008327969707396,"",Paris,Q136,14--,1400,15,http://vocab.getty.edu/aat/300404465,false,Portion of a breviary; use of Paris,"","","",Q657,Illuminatedmanuscripts|Gothic scripts|Early works|Prayers and devotions|Breviaries|Inscriptions,Q4268|Q16360|Q300|Q3052|Q38440|Q5875,"Catholic Church--Prayers and devotions--Early works to 1800|Catholic Church|Illumination of books and manuscripts, Gothic--France|Manuscripts, Latin (Medieval and modern)--France|Manuscripts, Medieval--France|Illumination of books and manuscripts, Gothic|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|France",Q310;Q3052;Q300|Q310|Q8371;Q152|Q10783;Q152|Q325;Q152|Q8371|Q10783|Q325|Q152,Catholic Church,"",Q425,"","","","","","","","","","","","",Latin,Q113,"parchment, illustrations, illuminations",Q33,"Extent: 150 leaves : parchment, illustrations, illuminations ; 130 x 95 (85 x 56) mm bound to 135 x 100 mm","Ms. codex.|Title from Kidd.|Collation: Parchment, fol. v (paper) + 150 (foliated i-v, 1-150); 18−2 2-98 106 11-188 1910; catchwords on 14v, 22v, 30v, 38v, 46v, 54v, 62v, 70v, 78v, 92v, 100v, 108v, 116v, 124v, 132v, 140v.|Layout: written in 2 columns of 32 lines; frame-ruled. Leaves 146-150 blank|Script: written in Gothic script|Decoration: four- to six-line illuminated initials on leaves 1r, 10r, 18v, 26r, 33v, 44v, and 53r; bar-borders along length of text columns from which extend gold-leaved foliage; swags decorated with flowers in blue, orange, pink, green, and white, some with gold centers; three- and four-line blue initials with white details on gold ground and infilled with blue and orange foliage; one- and two-line initials alternating gold and blue with intricate swags in black on gold and red on blue.|Jacques Marion, 17th century: bound for him with his name on the covers, and inscribed ""Ce p(rese)nt lyvre appartient \\| a M. Jacques \\| Marion ..."" (Gwara, fig. 47). Inscribed in ink ""Ex libris houvet \\| 1841"" (fols. v verso, 150v; Gwara, fig. 47). Sold anonymously by Juge & Tasset, Angoulême, November 17, 2009, lot 26 (reading ""Marion"" as ""Marigny""). Sold anonymously by Cambi, Genoa, March 21, 2011, lot 235. King Alfred's Notebook, Enchiridion, 8 [2012], no. 1 (marked ""sold""), to: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008329869707396,BX2080 .A2 1400z,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008329869707396,"",Netherlands,Q651,14--,1400,15,http://vocab.getty.edu/aat/300404465,false,Incomplete Book of hours,"",Book of hours,"",Q795,Gothic scripts|Early works|Prayers and devotions|Books of hours|Armorial bookplates,Q16360|Q300|Q3052|Q38439|Q16277,"Catholic Church--Prayers and devotions--Early works to 1800|Catholic Church|Manuscripts, Latin (Medieval and modern)--Netherlands|Manuscripts, Medieval--Netherlands|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|Netherlands",Q310;Q3052;Q300|Q310|Q10783;Q5863|Q325;Q5863|Q10783|Q325|Q5863,Catholic Church,"",Q425,"","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 119 leaves : parchment ; 105 x 80 (67 x 48) mm bound to 115 x 95 mm,"Ms. codex.|Title from Kidd.|Collation: Parchment, fol. i (19th-century paper) + i (parchment) + i (paper) + 120 + ii (paper) + i (parchment manuscript waste) + i (19th-century paper) (folated i-iii, 1-124)|Layout: written in 16 lines; frame-ruled|Script: written by 2 scribes in Gothic bookhand: scribe 1, leaves 1r-101v; scribe 2, leaves 102r-119r and additions on leaves 3v, 4r, 4v. Later additions on flyleaf (approximately 1500) written in Gothic script|Decoration: five- and six-line initials in red or blue with quatrefoil piercings, initials in both red and blue, all with penwork decoration in red, brown, or purple, trailing into margins and infilled in light green; interiors of initials filled with foliate ornamentation highlighted with green shades. In addition, three-line initials in red or blue with contrasting penwork details; alternating one- or two-line red and blue versal initials throughout; rubricated|Apparently produced in the diocese of Utrecht, to judge by the calendar and litany. Prayers are written for a male supplicant (fols. 92v, 95v), but this would not have prevented their use by female readers. Charles Bradbury: his late 18th- or early 19th-century armorial bookplate, with his name and motto ""æquitas actionum regula."" Unidentified bookseller: with a pencil note and price-code ""15th Century Book of Hours fine old binding repaired £csm/m""(?) (fol. i verso). Thornton's Bookshop, Oxford; a pencil inscription on the back flyleaf, apparently dated July 1974 (but not identified in either Sotheby's sale, July 8, 1974, or Christie's, July 11, 1974) is perhaps theirs: ""Z Sy/mm VII/74""; bought in 1976 by: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI; ""this was the first codex I ever purchased"" (Gwara, 2014, p. viii)","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008330359707396,BX2080 .A2 1480,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008330359707396,"",France,Q122,between 1480 and 1520,1480^1520,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Portion of a Book of hours,"",Book of hours,"",Q795,Bookhands|Early works|Prayers and devotions|Books of hours|Bookplates|Inscriptions,Q48502|Q300|Q3052|Q38439|Q5847|Q5875,"Catholic Church--Prayers and devotions--Early works to 1800|Catholic Church|Manuscripts, Latin (Medieval and modern)--France|Manuscripts, Medieval--France|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|France",Q310;Q3052;Q300|Q310|Q10783;Q152|Q325;Q152|Q10783|Q325|Q152,Catholic Church,"",Q425,"","","","","","","","","","Linebarger, Paul Myron Anthony, 1913-1966|Scheetz, Nicholas B., 1952-2016",|,Q48666|Q48667,Latin,Q113,parchment,Q33,Extent: 17 leaves : parchment ; 155 x 105 (90 x 55 ) mm bound to 161 x 109 mm,"Ms. codex.|Title from Kidd.|Collation: Parchment, fol. iii (paper) + 17 + iii (paper) (foliated i-iii, 1-20); 11 2-38.|Layout: written in 21 lines; frame-ruled.|Script: written in Lettre Bâtarde script.|Decoration: one-line initials in gold on alternating red and blue; rubrication throughout.|Apparently owned by a woman when the added prayers using feminine forms (fol. 15v) were written. Gwara suggests that this ""seems to be the same Book of Hours first sold publicly in 1921 from the collection of Rudolf Busch in Mainz."" Paul Myron Anthony Linebarger (1912-1966), author of science fiction and other works: signed and dated ""Paul M. A. Linebarger Paris 1933"" and with his bookplate: ""P. M. A. LINEBARGER / Ex Libris,"" depicting a shelf of books below a painting of a galleon at sea. Larry McMurtry, trading as Booked Up Inc., booksellers, of Washington, DC (cf. Scheetz MS 1); with their(?) pencil prices(?) on the first flyleaf, ""650 - 350""; bought on January 19, 1983 (receipt in Admin. File) by: Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991008523579707396,BX1749 .A1 1200,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991008523579707396,"",France,Q122,between 1200 and 1225,1200^1225,13,http://vocab.getty.edu/aat/300404505,false,Distinctiones secundum alphabeticum,"",Distinctiones Abel,"",Q1472,Commentaries|Dictionaries|Early works|Gothic scripts|Annotations|Armorial bookplates,Q2812|Q3041|Q300|Q16360|Q2982|Q16277,"Bible--Dictionaries--Early works to 1800|Lord's prayer--Commentaries--Early works to 1800|Vitae patrum.--Selections|Bible|Lord's prayer|Vitae patrum|Manuscripts, Latin (Medieval and modern)--France|Manuscripts, Medieval--France|Manuscripts, Latin (Medieval and modern)|Manuscripts, Medieval|France",Q4267;Q3041;Q300|Q7132;Q2812;Q300|Q48504;Q3547|Q4267|Q7132|Q48504|Q10783;Q152|Q325;Q152|Q10783|Q325|Q152,"Petrus, Cantor, approximately 1130-1197","",Q41448,"","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 112 leaves : parchment ; 168 x 128 (122 x 79) mm. bound to 175 x 140 mm,"Annotations by at least four anonymous late-13th- and 14th-century readers, who added the title ""distinctiones secundum alphabetum"" (fol. 1r; Gwara, fig. 15), various marginalia in ink and drypoint, and the short added texts on fols. 108r and 110v. George Dunn (1865-1912), bibliophile, of Woolley Hall, near Maidenhead (Berks): with his acquisition notes in pencil (price-code ""δν.ε"", initials and date ""GD Mar. 1886."", etc.; fol. iiir; Gwara, 2014, fig. 9), and his gilt leather armorial (last flyleaf; Gwara, fig. 8); sold at his sale at Sotheby's, 13 February 1914, lot 1020. Bought . & J. Leighton, booksellers, of London: their sale, Sotheby's, November 14, 1918, lot 263. Bought by Reginald Atkinson, bookseller, of London: Catalogue 33: Catalogue of Rare Books with a Short List of Autographs (1919), no. 552, priced £4 10s, with a clipping from the catalogue stuck to the front pastedown (""... date uncertain (? Saec. XIII)""). Unidentified American owner: the front pastedown inscribed in pencil ""2 / 3 [sic] /14 1020 Dunn Sale Catalog"" (cf. above), presumably also responsible for the binding. Larry McMurtry, trading as Booked Up Inc., booksellers, of Washington, DC: in their Spring Catalogue 1977, no. 55 (clipping loosely inserted; Gwara, fig. 10), described as being in a ""ghastly modern pigskin binding, and a tatty box."" Bought in 1977 by Nicholas B. Scheetz (1952-2016), librarian and collector of Washington, DC, and Newport, RI.|Ms. codex.|Title from Gwara.|Collation: Parchment, fol. iii (paper) + ii (parchment) + 111 + ii (parchment) + ii (paper) (foliated i-v, 1-115); 1-38 48−4 5-68 7-86 98−1 10-116 12-148 1512 168.|Layout: Written in 38-40 lines, above line; frame-ruled.|Script: Written in early gothic script.|Decoration: Initials in plain red, some with simple ornament; a few line-fillers in red.","",2024-08-15 10:52:58 -0400,20240605,20240718-vassar-marc.xml
