ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,rda,Q54115,Wellesley College,in00000671672,MS Arabic 2,https://libcat.wellesley.edu/Record/in00000671672,https://repository.wellesley.edu/node/35380/manifest,"","",1580,1580,16,http://vocab.getty.edu/aat/300404510,true,Ḥilyat al-rijāl,حلية الرجال,"","",Q54679,Manuscripts,Q331,"Hadith|Manuscripts, Arabic|Hadith|Manuscripts, Arabic",Q3581|Q256|Q3581|Q256,"Âli, Mustafa bin Ahmet, 1541-1599",عالى، مصطفى بن احمد. 1541-1599,Q54683,"","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 95 pages : paper ; 19 x 9.5 cm,"Manuscript codex.|Copy by the scribe Muṣtaf Nuzhat of a 1580 work by Muṣṭafā ibn Aḥmed, possibly about the Hadith of the Prophet.|49 leaves, paginated 1-95, skipping one opening between pages 70-71.|Written in black ink on paper, rubricated in red, gilt text borders, decorated title-page head piece and two miniatures at the end.|Black ink stamp on 1r.|Pencil annotations in Arabic on upper pastedown and upper and lower old paper wrappers.|Purchased by Curtis Runnels from an antiquarian bookshop in the Sahaflarcarsisi (Antiquarian book market) in Istanbul, September 1995.","",2024-11-04 10:45:11 -0500,20240912,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000625540,MS 15,https://libcat.wellesley.edu/Record/in00000625540,"","Palencia?, Spain",Q7792;Q129,1500,1500,16,http://vocab.getty.edu/aat/300404510,false,Regulations for the establishment of the Confadria de Santa Maria de la ho[pital] de Recomador,"","","",Q3135,Manuscripts,Q331,"Manuscripts, Spanish",Q202,"","","","","","","","","","","","","","","",spa,Q114,parchment,Q33,Extent: 14 leaves : parchment ; 286 x 214 (192 x 147) mm,"Title supplied by cataloger.|Collation: Parchment. 11̇̇0, 24. fol. 2-5 signed i-iiii.|Layout: 1 column, 36 lines. Bounding lines full-length on all sides, in faint brown plummet.|Script: Written in a Spanish rotunda (with some cursive elements) in brown ink. Red rubrics. Spaces for initials left blank.|Origin: Written in Spain (Palencia, according to de Ricci) in the fifteenth century.|Owned by Helen Josephine Sanborn (her armorial bookplate inside front cover)","",2024-11-04 10:45:11 -0500,20240917,20240923-wellesley-marc.xml
,"","",marc-xml,rda,Q54115,Wellesley College,in00000671653,MS Greek 1,https://libcat.wellesley.edu/Record/in00000671653,"",Greece?,Q16421,between 1550 and 1650,1550^1650,16;17,http://vocab.getty.edu/aat/300404510;http://vocab.getty.edu/aat/300404511,false,Compilation of Greek texts,"","","",Q11984,Manuscripts,Q331,"Orthodox Eastern Church--Liturgy--Manuscripts|Orthodox Eastern Church|Philosophy--Manuscripts|Manuscripts, Greek|Philosophy--Manuscripts|Philosophy|Liturgics|Manuscripts|Manuscripts, Greek",Q4266;Q207;Q38609|Q4266|Q17488|Q3512|Q17488|Q5883|Q207|Q38609|Q3512,"","","","","","","","","","","","","","","",gre,Q1318,paper,Q31,Extent: 442 pages in various pagings : paper ; 20 x 15 cm,"Manuscript codex, incomplete.|Title supplied by cataloger.|Various texts in several different hands. On folio 2r, text begins, ""Diēgēsis philosophía..."" (narrative or statement of philosophy). Other texts appear to be mainly liturgical, e.g., menaia, doxologia, martyrologia, etc.|Page 152: crown watermark ca. 1450 (Briquet, 4832-4835)|Black ink on laid paper; rubricated in red; decorated initials and head pieces.|Signatures: 18, 22, 38, 42, 5-134, 14-168, 17-194, 208−1, 21-258, 264, 27-306, 31-368, 3710−4 ; fol. 9, 10, 99, 216-219 are singletons.|Pagination in ink from different periods (irregular): 1 leaf, 2-35, 38-41, 52-195, 198-455.|Layout: 1 column, number of lines per page vary.|Some water damage and missing text on first few folios.|Ownership inscriptions, some dated 1733, 1752, 1895. Page 311 has ownership inscription in Greek in pencil in margin, partly illegible: T[?] K. Lagoudas, 25 November 1895.|Purchased by Curtis Runnels from D. and E. Lake (Toronto, Canada) booksellers in December 2001.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,rda,Q54115,Wellesley College,in00000671654,MS Greek 2,https://libcat.wellesley.edu/Record/in00000671654,"",Greece?,Q16421,between 1450 and 1499,1450^1459,15,http://vocab.getty.edu/aat/300404465,false,Compilation of Greek liturgical texts,"","","",Q11984;Q6055,Manuscripts,Q331,"Orthodox Eastern Church--Liturgy--Manuscripts|Orthodox Eastern Church|Manuscripts, Greek|Liturgics|Manuscripts|Manuscripts, Greek",Q4266;Q207;Q38609|Q4266|Q3512|Q207|Q38609|Q3512,"","","","","","","","","","","","","","","",gre,Q1318,paper,Q31,Extent: 214 leaves : paper ; 21 x 15 cm,"Manuscript codex, incomplete.|Title and variant title devised by cataloger.|Various texts, mainly liturgical, e.g., doxologia.|Fol. 107/112: scissors watermark ca. 1450 (Briquet, 3666)|Drawings in black ink on fol. 178v, 179r, 182v, 187v.|Signatures: 18, 24, 3-48, 510−1, 6-88, 94, 1012, 11-138, 146−1, 15-1712, 186−1, 19-208, 2110, 228, 236, 2412, 256, 2610−7 + 6 unnumbered leaves, likely from the beginning; fol. 44, 115, 167-170 + 4 unnumbered leaves are singletons.|Foliation in black ink from an early period: 13-113, 115-223, 6 leaves (numbered corners wanting)|Brown ink on laid paper, written in three different hands; rubricated in red; decorated initials and head pieces.|Layout: 1 column, number of lines per page vary.|Beginning, end, and some leaves in the middle wanting. Some water damage.|Purchased by Curtis Runnels from D. and E. Lake (Toronto, Canada) booksellers in December 2001.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,rda,Q54115,Wellesley College,in00000671684,MS Arabic 3,https://libcat.wellesley.edu/Record/in00000671684,https://repository.wellesley.edu/node/35491/manifest,"Cairo, Egypt",Q3093;Q3086,approximately 1480,1480,15,http://vocab.getty.edu/aat/300404465,false,"Arabic manuscript about a waqf, from the Mamluk Sultanate, Cairo, Egypt","","","",Q38349,Sources|Manuscripts,Q2769|Q331,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496|Qāʼit Bāy, Sultan of Egypt and Syria, -1496|Waqf--Egypt--History|Endowments--Egypt--History--Sources|Charitable uses, trusts, and foundations--Egypt|Mamelukes|Manuscripts, Arabic|Mamelukes|Manuscripts, Arabic|Charitable uses, trusts, and foundations|Endowments|History|Waqf|Egypt",Q7771|Q7771|Q11403;Q11259;Q6879|Q18342;Q11259;Q6879;Q2769|Q10795;Q11259|Q11415|Q256|Q11415|Q256|Q10795|Q18342|Q6879|Q11403|Q11259,"Qāʼit Bāy, Sultan of Egypt and Syria, -1496",قايتباي، سلطان مصر وسوريا،، -1496,Q54684,"","","","","","","","","","","","",ara,Q118,paper,Q31,Extent: 1 volume (various pagings) : paper ; 21.5 x 16 cm,"Manuscript codex, incomplete.|Black ink on paper, rubricated in red, blue, brown, and gold.|15 leaves, paginated 3-14, 17-20, [21-22], 23-33, [34]. First leaf, last leaves, and one in the middle wanting.|Purchased by Curtis Runnels from Bruce Ferrini (d. 2010), Cleveland, Ohio, 1995.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000626089,P900,https://libcat.wellesley.edu/Record/in00000626089,https://repository.wellesley.edu/node/36228/manifest,Northern Italy,Q7507,between 1400 and 1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,Paradiso,"","","",Q39575,Manuscripts,Q331,"Heaven--Poetry|Manuscripts, Italian",Q4909;Q247|Q269,"Dante Alighieri, 1265-1321","",Q40500,"","","","","","","","","","","","",ita,Q116,parchment,Q33,"Extent: 1 leaf : parchment ; 301 x 213 (204 x 85 [text], 233 x 155 [text and commentary]) mm","With anonymous commentary, the ""Falso Boccaccio.""|Parchment.|Layout: 1 column with commentary in outer and lower margins, 30 lines of text, 54-56 lines of commentary. Bounding and writing lines blind ruled, outer and inner margins double-ruled.|Script: Written in a Humanistic bookhand, with a smaller module used for the commentary in black ink. Red rubrics.|Decoration: Two four-line initials in red and blue with brown and red infill and blue and red filigree into margins.|Origin: Written in Northern Italy in the first half of the fifteenth century.|Used as a flyleaf in the sixteenth century.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000625707,MS 3,https://libcat.wellesley.edu/Record/in00000625707,"",Italy,Q134,between 1450 and 1550,1450^1550,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Gradual,"","","",Q1121,Manuscripts,Q331,"Manuscripts, Italian",Q269,"","","","","","","","","","","","","","","",lat,Q113,parchment,Q33,Extent: 1 leaf : parchment ; 348 x 243 (223 x 146) mm,"Title supplied by cataloger.|Parchment.|Layout: 1 column, 22 lines.|Script: Written in an Italian rotunda in black ink. Red rubrics.|Decoration: 1-line verse initials alternate blue with purple filigree or red with purple filigree. 6-line initial on recto in rose with blue, green, and gold scrolling acanthus into outer margin, historiated with the figure of a youth brandishing a club with green mountains and blue sky in background.|Origin: Written in Italy in the late-fifteenth or early-sixteenth century.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000625539,MS 13,https://libcat.wellesley.edu/Record/in00000625539,"","Valladolid, Spain",Q6979;Q129,1549,1549,16,http://vocab.getty.edu/aat/300404510,true,Carta de hidalguia,"","","",Q3718,Manuscripts,Q331,"Nobility--Spain--Early works to 1800|Manuscripts, Spanish|Letters patent of nobility",Q164;Q343;Q300|Q202|Q38491;Q164,"Charles V, Holy Roman Emperor, 1500-1558","",Q7656,"","","","","","","","","","","","",spa,Q114,parchment,Q33,Extent: 14 leaves : parchment ; 322 x 218 (210 x 131) mm,"Title supplied by cataloger.|Collation: Parchment. 114.|Layout: 1 column, 40 lines. Bounding lines full-length, those at top and bottom are doubled, bounding and writing lines in red plummet.|Script: Written in a Spanish rotunda in black ink.|Decoration: fol. 1v: 20-line blue initial filled with gold ink, historiated with unidentified arms (gray lion facing left in front of a tree), inscription around border of page in gold ink on scarlet background, ""REBINAC E LILETA REAL EL VIA ORA PRO NOBIS AMEN""; 4-line initials throughout in gold ink on scarlet background.|Origin: Written in Valladolid, Spain, on 29 March, 1549 (see fol. 14) on behalf of Iplito de Salas.|Sold by Anderson (New York, 1 Feb. 1910, n. 378) to Mrs. A. J. Connelly.","",2024-11-04 10:45:11 -0500,20240919,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000626431,P946,https://libcat.wellesley.edu/Record/in00000626431,https://repository.wellesley.edu/node/33362/manifest,Northern France or Flanders,Q1114;Q126,between 1400 and 1450,1400^1450,15,http://vocab.getty.edu/aat/300404465,false,De vita solitaria /,"","","",Q54680,Manuscripts,Q331,Solitude--Early works to 1800,Q8117;Q300,"Peter Damian, Saint, 1007?-1072","",Q839,"","","","","","","","","","Phillipps, Thomas, Sir, 1792-1872","",Q385,lat,Q113,parchment,Q33,Extent: 95 (of 96) leaves : parchment ; 198 x 140 (138 x 95) mm,"Title supplied by cataloger.|Collation: Parchment. 1-118, 128−1, lacking one folio after fol. ""91"" (not 2 folios as in de Ricci and Jackson). Signed a - m. Catchwords preserved. Seventeenth-century foliations skips [90], but preceded folio loss, so reaches ""93"" at fol. 91. Modern pencil foliation is correct.|Decoration: Three 6-line initials in blue and red with red and purple infill and filigree into margin, chapters begin with 2-line red initials.|Layout: 1 column, 29 lines. Bounding and ruling lines in brown plummet, first and last lines ruled double, prickings preserved.|Origin: Written in Northern France or Flanders at the beginning of the fifteenth century. According to de Ricci, believed to have come from the monastery of Marienmunster. Belonged ca. 1600 to Henning.|Script: Written in a Gothic bookhand in black ink. Marginal rubrics are black, in-text are red.|Leander von Ess collection, Darmstadt, sold in 1824 to Sir Thomas Phillipps, his n. 429 with Middle Hill stamp on front flyleaf; his sale (London, 1910, n. 655) to Edwards.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
,"","",marc-xml,"",Q54115,Wellesley College,in00000626049,MS 7,https://libcat.wellesley.edu/Record/in00000626049,"",Florence,Q3084,1460?,1460,15,http://vocab.getty.edu/aat/300404465,false,Interpretationes Vergilianae,"","","",Q54681,Manuscripts,Q331,"Virgil. Aeneis|Manuscripts, Latin",Q48123|Q210,"Donatus, Tiberius Claudius","",Q54685,"","","","","","","","","","","","",lat,Q113,"","","Extent: i, 357 leaves ; 332 x 230 (231 x 111) mm","Title supplied by cataloger.|The text skips books 2-5. Also lacking is the commentary on Book 6 verses 1-157 (which is lacking in all manuscripts); the scribe has left almost an entire quire unwritten at this point (fol. 58 lines 26-39 - fol. 63v), presumably so that the missing text of Book 6 could be added at a later date when (if) it was located in a complete exemplar.|Collation: Folio paper with flower watermark similar to Piccard XII.1514 (Rome, 1447). i, 110−1, 2-410, 58, 610, 76, 8-2110, 2210−1, 23-3610, 3710−5; lacking first folio of manuscript (Georgii I.1.1 - I.4.7) and one folio after fol. 208 (Georgii II.286.14 - II.289.5), five cancels at end. Some catchwords trimmed. Early twentieth-century pencil foliaton every ten folios.|Layout: 1 column, 39 lines. Bounding lines doubled, bounding and writing lines ruled in blind.|Script: Written in a humanistic cursive in black ink. Red rubrics.|Decoration: 4-line initials in gold with white-vine infill on blue background, filled with green and salmon, at the beginning of each book (those for Books 1 and 10 are on folios that have been razored out)|Origin: Written in Italy (probably Florence) around the year 1460.|Seventeenth-century inscription on parchment flyleaf ""Liberii Claudiani Donati in vergilii declartione equitis Fabii Alessandrii et amicorum"". Nineteenth-century French dealer's description pasted inside front cover.","",2024-11-04 10:45:11 -0500,20240918,20240923-wellesley-marc.xml
