ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 001,Codex Mss 001,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013418589702786,,Mt. Athos,Q38255,1295,1295^1295,13,http://vocab.getty.edu/aat/300404505,true,[New Testament. Codex Theodori],,,,Q655,Bibles,Q3561,"Bible Greek|Bible New Testament|Manuscripts, Medieval -- Massachusetts -- Williamstown|Manuscripts -- Greece -- Mt. Athos -- 13th century|Codices (bound manuscripts)|Vellum (Parchment)|Canon tables",Q4267|Q12598|Q325;Q76537|Q331;Q76534;Q245|Q168|Q10802|Q12537,Eusebius of Caesarea,,Q899,,,,"Theodōros, ho Hagiopetritēs, active 13th century-14th century",,Q68597,,,,"Augustus Frederick, Prince, Duke of Sussex, 1773-1843|Missy, César de, 1703-1775|Pickering, William, 1796-1854|Vernon, George John Warren, 1803-1866|Maggs Bros.|Lathrop C. Harper|Alfred Clark Chapin",||||||,Q1637|Q76665|Q76666|Q856|Q1573|Q76667|Q76668,Greek,Q1318,parchment,Q33,Extent: fols. 361; parchment; 217 x 146 (159 x 92) mm,"Layout: 30 lines|Script: Detached Greek minuscules in red and brown ink. Headings in red. Titles in majuscules.|Decoration: Five ornamental headpieces in gold and colors at the beginning of Matthew, Mark, Luke, John, and Acts. Initials in colors in the shape of animals and grotesques.|Decoration: The Eusebian Canons are arranged under an arched framework in blue, and are divided by columns in blue. The headpiece for Luke is badly stained and damaged.|Binding: Modern crimson velvet, stamped and lettered in gold. Brown morocco case. Two blank parchment fly-leaves.|Colophon, translated, reads: ""And the writer [was] the humble Theodore Hagiopetrites in the year 6803.""|Provenance: Owned by Caesar de Missy until 1824(?), the Duke of Sussex until 1844, Payne and Foss, and William Pickering, in whose possession it was last seen by Scrivener in 1845. After 1845 the manuscript was persistently reported lost and only reappeared at the auction of the library of Lord Vernon in 1918.|Provenance: With the armorial bookplate of Lord Vernon (""Vernon semper viret"") with penciled note ""Cabinet 1b."" Purchased by Maggs Brothers for Lathrop C. Harper, acting on behalf of Alfred Clark Chapin. Vernon sale, Sotheby's, June 10, 1918, lot 371.|The ornamentation in this codex is characteristic of manuscripts written and illuminated on Mt. Athos, and the Monastery of Pantocratoros, Mt. Athos, has in its library a manuscript of the Four Gospels written by the same scribe, dated 1301.|The four-lobed or quatrefoil ornament which contains the titles of the text in majuscules is frequently evident in manuscript codices from the same date (e.g. Codex 11, f.2r, Protaton, Mt. Athos, 12th century).",Title supplied by Coy.,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 002,Codex Mss 002,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449289802786,,Italy?,Q134,1100-1199,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,[Lectionary of the Gospels].|Evangelii fragmenta membra Greca sec XI,|,|,|,Q663|Q655,lectionaries|liturgical texts,Q4274|Q38493,"Catholic Church -- Liturgy|Manuscripts, Medieval -- Massachusetts -- Williamstown|Lectionaries -- 12th century|Lectionaries|Musical notation -- 12th century",Q310;Q207|Q325;Q76537|Q4239;Q304|Q4239|Q12609;Q304,,,,,,,,,,,,,Lathrop Harper|Joseph Martini (Lugano),|,Q76667|Q1497,Greek,Q1318,parchment,Q33,Extent: fols. 24; parchment; 229 x 182 (162 x 113) mm,"Layout: 1 column, 24 lines.|Script: Greek minuscules in brown ink, headings in dark red semi-uncials.|Decoration: Two ornamental headpieces in pen and red ink.|Binding: Modern wooden boards and light tan calf. Parchment cover linings.|Provenance: Purchased through Lathrop Harper, 1 March 1929, from Joseph Martini. Martini (Lugano), Cat. 19, No. 16, 1929.|Martini, from whom the fragment was purchased, ascribes its production to the monasteries of Mount Athos, Greece. However, a new, ongoing census of Greek Medieval and Renaissance Manuscripts in the Collections of the United States of America conducted by Dr. Nadezhda Kavrus-Hoffmann suggests an Italian origin.|Sixty additional leaves of this manuscript are held by Columbia University (Plimpton MS 002).",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 003,Codex Mss 003,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449289702786,,Mt. Athos,Q38255,1100-1150,1100^1150,12,http://vocab.getty.edu/aat/300404504,false,[Homeliae super Genesim],,,,Q1246,sermons|homiliaries,Q3590|Q4140,"Bible Genesis -- Commentaries|Manuscripts, Medieval -- Massachusetts -- Williamstown|Sermons",Q7130;Q2812|Q325;Q76537|Q38598,John Chyrsostom Saint -407,,Q6124,,,,,,,,,,Joseph Martini (Lugano),,Q1497,Greek,Q1318,parchment,Q33,Extent: fols. 69; parchment; 325 x 256 (220 x 142) mm,"Layout: 2 columns|Script: Greek square minuscules in brown ink, headings in semi-uncials.|Decoration: Two ornamental interlace headpieces in pen and ink.|Binding: Twentieth-century exposed wooden boards, leather spine label.|Provenance: Purchased from Martini (Lugano), Catalog 19, No. 10, 1929|The script is very similar to that of Ms. 519 (Ancien fond Grec) of the Bibliothèque Nationale, Paris, which contains the work of St. Gregory Nazianzen as copied by Eutimius, monk and priest of the Monastery of St. Lazarus, and finished May 1007.|Contents: Homily XV (last section only); Homily XVI (lacking one leaf); XVII; XVIII (lacking the end); XIX (lacking the beginning); XX; XXI; XXII (lacking the very end).",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 004,Codex Mss 004,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389802786,,England,Q133,1100-1150,1100^1150,12,http://vocab.getty.edu/aat/300404504,false,[Liber Genesis cum commentarius Bedae].,,,,Q38363;Q7274,commentaries,Q298,"Bible Genesis -- Commentaries|Manuscripts, Medieval -- Massachusetts -- Williamstown|Alcuin, 735-804|Augustine, of Hippo, Saint, 354-430|Bede, the Venerable, Saint, 673-735|Isidore, of Seville, Saint, -636|Jerome, Saint, -419 or 420|Rabanus Maurus, Archbishop of Mainz, 784?-856|Walahfrid Strabo, 807?-849",Q7130;Q2812|Q325;Q76537|Q76239|Q7397|Q76240|Q48212|Q16291|Q76241|Q76242,"Bede, the Venerable, Saint, 673-735",,Q1525,,,,,,,,,,"Phillipps, Thomas, Sir, 1792-1872|Alfred Clark Chapin|Lathrop C. Harper",||,Q385|Q76668|Q76667,Latin,Q113,parchment,Q33,Extent: fols. 173; parchment; 287 x 198 (183 x 147) mm,"Script: English pointed characters, large for text, smaller for commentary, and very fine for interlinear gloss, in red and brown ink. Initials in text in red.|Decoration: Large initial beginning of commentary in red and blue ink. Numerous initials in brown ink with pen and ink flourishes. Paragraph marks in red and brown ink.|Binding: 17th-century calf, rebacked. Blind tooling in a diaper pattern. Paper cover linings. Front and back fly-leaves are of two different papers, watermark on back fly-leaf reads: ""VAPRIO.""|Provenance: Gift of Alfred Clark Chapin. Purchased on behalf of Chapin Library from L.C. Harper. Collection of Sir Thomas Phillipps. Phillipps sale, April 1903, No. 148 (De Ricci assigns Phillipps Ms. 3970).|Collation: 22 gatherings [i-xxj^8, xxii^5].|Commentary begins on the first page: ""Notandum quod haec scriptura ita allegoricis fidem rerum gestarum non ammittat. diditur autem genesis a suo principio secundum morem hebreorum qui ex principijs maxime nomina libris imponunt....""",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 005,Codex Mss 005,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389702786,,Northern France,Q1114,1200-1225,1200^1225,13,http://vocab.getty.edu/aat/300404505,false,[Liber (visionis) esaiae prophetae cum prologo et expositione S. Hieronymi].,,,,Q20433;Q38370,commentaries,Q298,"Manuscripts, Medieval -- Massachusetts -- Williamstown|Bible Isaiah -- Commentaries|Vellum (parchment)",Q325;Q76537|Q12558;Q2812|Q10802,"Jerome, Saint, -419 or 420.",,Q898,,,,,,,,,,"Morris, William, 1834-1896|Alfred Clark Chapin|Joseph Martini|Bibliothece Weissenau|J&J Leighton",||||,Q16457|Q76668|Q1497|Q1602|Q20273,Latin,Q113,parchment,Q33,Extent: fols. 177; parchment; 281 x 215 (216 x 150) mm,"Script: Gothic characters in black ink.|Decoration: Large initial ""N"" at beginning of prologue, painted in red, green, and white on a blue ground bordered in red. Large initial ""V"" at beginning of text in blue, rose, green, and gold. Next to this initial are the letters ""ISIO"" painted vertically in gold backgrounds of blue and rose.|Decoration: These two large initials are executed in the French Romanesque style, typical of which is the irregular interlace patterns which subdivide and variate the surface of the initials so that, as in the case of the ""V"" (f.3r), the form of the initial itself is almost completely lost.|Binding: 18th century calf, badly worn. Paper fly-leaves and cover linings.|Provenance: Gift of Alfred Clark Chapin. Purchased on behalf of the Chapin Library from J. Martini, catalog 16 (1920) no. 7.|Provenance: ""Bibliothece Weissenau"" inscribed on recto of first vellum leaf. Sale of William Morris (London, 1898, No. 587), to J&J Leighton.",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 006,Codex Mss 006,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389602786,,France|England,Q122|Q133,ca. 1175-1250,1175^1250,12;13,http://vocab.getty.edu/aat/300404504;http://vocab.getty.edu/aat/300404505,false,[Actus Apostolorum].,,,,Q6009,,,"Manuscripts, Medieval -- Massachusetts -- Williamstown|Bible Acts -- Commentaries|Vellum (parchment)",Q325;Q76537|Q16304;Q2812|Q10802,,,,,,,,,,,,,"Dunn, George, 1864-1912|Alfred Clark Chapin|Lathrop C. Harper",||,Q1572|Q76668|Q76667,Latin,Q113,parchment,Q33,Extent: fols. 105; parchment; 260 x 178 (172 x 148) mm,"Layout: Varies from page to page, generally a central column of Biblical text flanked by two columns of commentary|Script: Gothic characters in brown ink. The main text is larger, and the commentary and interlinear gloss is smaller. Red paragraph marks at the beginning of sections, and numbering for these sections in red in the margins.|Decoration: Elaborate initial ""P"" (6 centimeters) in red and blue for the first word of the text, and the remaining letters of the word (""RIMUS""), also in red and blue, half the height of the initial.|Decoration: Nine smaller initials in red. The large initial (f.1r) and the rest of the word are executed in a calligraphic style, possibly by the scribe himself.|Binding: Modern brown morocco over thick boards. Paper fly-leaves and pastedowns.|Catchwords preserved in the bottom right margins of final versos in all quires but VI.|Collation: i (paper) + I^9 (1 as a singleton), II-XIII^8 + i (paper)|Provenance: Gift of Alfred Clark Chapin. Purchased on behalf of the Chapin Library from L.C. Harper.|Provenance: With George Dunn bookplate and label. Acquired by Dunn, June 1886. Dunn sale (London, 1913), I: 137.|Prologues are: Stegmüller 637 (""Lucas antiochensis""); 640 (""Lucas natione syrus""); 635 (""de [loco] quidem in quo"")|Glossed book of Acts, some gloss (in a few thirteenth-century pearl scripts) seemingly added with use rather than at production.|Very little glossing towards the end of the book.|Very good example of parchment indicators including hair- v. flesh-side, non-rectangular shapes|""Langtonian"" (modern) chapter numberings added in margins after production.",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 007,Codex Mss 007,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389502786,,"Tours, France",Q19885;Q122,800-850,800^850,9,http://vocab.getty.edu/aat/300404501,false,Lectiones evangeliorum de circulo anni.,,,,Q76614,lectionaries,Q4274,"Lectionaries|Manuscripts, Medieval -- Massachusetts -- Williamstown|Caroline miniscule|Half uncial",Q4239|Q325;Q76537|Q10803|Q76576,,,,,,,,,,,,,"Hawtrey, Edward Craven, 1789-1862|Livermore, George, 1809-1865|Sotheyby & Wilkinson|Harvard University|Lathrop C. Harper|Alfred Clark Chapin|W.H.H. Newman (Buffalo)",||||||,Q40850|Q20088|Q42048|Q42438|Q76667|Q76668|,Latin,Q113,parchment,Q33,Extent: fols. 119; parchment; 301 x 203 (233 x 128) mm,"Script: Written in an early Carolingian minuscule, perhaps ""pre-Alcuinian"" exhibiting influences of Corbie and Luxeuil. Headings in half-uncial, headings in square and rustic capitals.|Decoration: Eight ornamental initials in same ink as text, interlaced style.|Binding: Full dark blue morocco, circa 1850, paper pastedowns and flyleaves. Blue silk portfolio, dark blue morocco solander case. Small round paper label with numeral ""4"" on spine.|Pages numbered in a modern hand. Pages 137–38 and 139–40 transposed. At least 26 leaves appear to be missing.|Collation: I^4, II-IV^8, V^1 (lacking 2-8), VI^6 (lacking 1 and 2), VII-XI^8, XII^7 (unclear which fol. is lacking, either 6 or 7), XIII-XVII^8, XVIII^5.|Provenance: No. 111 in the Dr. E.C. Hawtrey sale (Sotheby & Wilkinson, 1 July 1853); bought by Henry Stevens for George Livermore of Dana Hill, Cambridge, Massachusetts; no. 105 in the Livermore sale (Libbie’s, 20 November 1894). Formerly on deposit at Harvard University, withdrawn by the Livermore executors.|Provenance: Purchased by Lathrop C. Harper for Alfred C. Chapin from the W.H.H. Newman (Buffalo) estate.|Exhibits characteristics prevalent prior to the coming of Alcuin to St. Martin's at Tours in the script's touches of Corbie and Luxeuil influence, however as a whole the manuscript displays the ordered and disciplined calligraphy of the fully-developed Tours style, early 9th century.|Lectionary of the Gospels, consisting of readings 1-261, of which 62-73, 75-76, 97 (part)-120 are lacking.",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 008,Codex Mss 008,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389402786,,Medingen Abbey,Q76335,1400-1499,1400^1499,15,http://vocab.getty.edu/aat/300404465,false,[Psalterium cum canticis],,,,Q660,psalters (books),Q4134,"Manuscripts, Medieval -- Massachusetts -- Williamstown|Psalters|Calendars of saints|Gothic scripts|Illuminations (painting)|Miniatures (painting)|Detached leaves",Q325;Q76537|Q4323||Q16360|Q225|Q262|Q2954,,,,,,,,,,,,,"Hazlitt, William Carew, 1834-1913|Huth, Alfred Henry, 1850-1910|Alfred Clark Chapin|Lathrop C. Harper|Taschen von I. Kossel. R.",||||,Q76669|Q12914|Q76668|Q76667|,Latin,Q113,parchment,Q33,Extent: fols. 223; parchment; 90 x 63 (55 x 37) mm,"Script: Gothic characters in red, blue, and brown ink.|Decoration: Ten large initials in raised gold and color; many smaller illuminated initials. Seven full page miniatures with raised gold backgrounds. Evidence of textile curtains is present at every miniature; loosely woven pieces of cream colored fabric are retained shrouding the crucifixion and the annunciation miniatures.|Decoration: Calendar with elaborate borders and decoration in colors and raised gold. Two hundred eleven smaller miniatures on bottom margins.|Binding: Oak boards covered with stamped red leather. Cover linings of vellum, that of the back cover being a 14th-century leaf. Edges painted in red and green. Clasps missing. Housed in a 20th-century red morocco case with gilt spine title reading ""Psalterium Davidis.""|Leaves have been closely trimmed. Decorations and text well preserved.|Provenance: Gift of Alfred Clark Chapin. Purchased on behalf of the Chapin Library from L.C. Harper, February 1, 1919. Hazlitt-Huth copy. Huth sale (London, July 18, 1917), No. 6009. Bought by Edwards and sold to L.C. Harper. Recto of second leaf inscribed: “Taschen von I. Kossel. R.”|Illuminated psalter, almost certainly written and decorated by the Cistercian nuns of Medingen Abbey (Lower Saxony)",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 009,Codex Mss 009,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389302786,,Italy,Q134,1400-1425,1400^1425,15,http://vocab.getty.edu/aat/300404465,false,[Psalterium Benedictum],,,,Q660,psalters (books),Q4134,"Manuscripts, Medieval -- Massachusetts -- Williamstown|Psalters|Vellum (parchment)|Musical notation -- 15th century|Benedictines",Q325;Q76537|Q4323|Q10802|Q12609;Q154|Q6908,,,,,,,,,,,,,Alfred Clark Chapin|Lathrop C. Harper,|,Q76668|Q76667,Latin,Q113,parchment,Q33,Extent: fols. 108; parchment; 380 x 279 (253 x 164) mm,"Layout: 1 column, 20 lines|Script: Gothic characters in red, black, and brown ink. Music in square black notes on a red four-line staff.|Decoration: Initials in red and blue. Numerous larger initials in red and blue, decorated with pen and ink work in red, blue, and violet. Eight large initials in red and blue, ornamented by foliage and arabesques in red and brown ink. Very large (158 x 160 mm) initial ""B"" (folio 1 recto).|Binding: Twentieth-century vellum over heavy boards. Six paper flyleaves|Folios incorrectly numbered in a modern hand. Many marginal notations in a later hand. Badly stained and worn.|Provenance: Gift of Alfred Clark Chapin. Purchased on behalf of Chapin Library from L.C. Harper, April 1918.",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
,,,ds-csv,ds-schema,Q76102,Williams College,Codex Mss 010,Codex Mss 010,https://librarysearch.williams.edu/permalink/01WIL_INST/1faevhg/alma991013449389202786,,England,Q133,1250-1350,1250^1350,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,[Psalterium Romanum ad Usum Ord. Francisci].,,,,Q660,psalters (books),Q4134,"Franciscans -- Manuscripts|Manuscripts, Medieval -- Massachusetts -- Williamstown|Psalters -- Specimens|Vellum (parchment)|Musical notation -- 14th century|Franciscans",Q5840;Q38609|Q325;Q76537|Q4323;Q239|Q10802|Q12609;Q295|Q5840,,,,,,,,,,,,,William Constable|George Dunn|Alfred Clark Chapin|James F. Drake,|||,|Q1572|Q76668|Q76670,Latin,Q113,parchment,Q33,Extent: fols. 184; parchment; 58 x 44 (37 x 29) mm,"Layout: 1 column|Script: Gothic pearl script in red, brown, and blue ink. Musical notation in square notes, in brown ink on a three- or four-line staff. Marginal notes in the same hand.|Decoration: Twelve large initials in red, blue, mauve, and rose with birds and flowers, in a notably English style. Pen and ink flourishes in the margins sometimes decorated with grotesques.|Binding: 18th-century red morocco. Gold tooling. Four paper fly-leaves. Housed in a red morocco case.|Somewhat creased and damaged by dampness. Several initials badly faded. Leaves have been trimmed, cutting off some of the marginal decoration.|Collation: I-II^12, III^10, IV^12, V-VI^14, VII-VIII^12, IX-XII^14, XIII^14 (wants 8), XIV^16 (added later)|Provenance: William Constable’s copy with his bookplate. George Dunn copy, bought by him May 1889. Dunn sale (London, February 14, 1913), No. 633, to Ellis. Gift of Alfred Clark Chapin. Purchased on behalf of the Chapin Library from James F. Drake, November 1920.|Provenance: Somewhat contemporary (13th-14th c.) additions to the calendar (ex. Cedd (2 March) and Cuthbert (20 March)) indicate early English use.|Manuscript psalter with musical notation for Franciscan use, written and decorated in England during the 14th century.|Added quire at the back of the codex appears roughly contemporary, ca. 13th/14th c., in an English/French pearl script.",,2025-04-15 09:40:58 -0400,20250318,20250318-williams-csv.csv
