ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b01_item07,"Z4 .P33x, v. 1, no. 7",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~7~159845/manifest,Mashad (Iran),Q48702;Q2822,approximately 12th century,1100^1199,12,http://vocab.getty.edu/aat/300404504,false,Koran manuscript leaf,"",Qurʼan,"",Q3697,detached leaves,Q2954,Qur'an--Manuscripts,Q11441;Q38609,"","","","","","","","","","","","","","","",Arabic,Q118,paper,Q31,Extent: 1 leaf; paper; 105 x 150 mm,"Layout: 1 column, 20-21 lines|A leaf from a Koran Manuscript in Cufic characters. A few leaves from this manuscript are in Boston, in the Oriental Collection of the Museum of Fine Arts.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b01_item08,"Z4 .P33x, v. 1, no. 8",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~8~159846/manifest,France?,Q122,approximately 13th century,1200^1299,13,http://vocab.getty.edu/aat/300404505,false,Leaf from the book of Jeremiah,"","","",Q20500,detached leaves,Q2954,"Manuscripts, Medieval|Bible. Jeremiah",Q325|Q38600,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 80 x 121 mm,Decoration: Elaborate marginal pen flourishing|A leaf from a 13th century Bible containing Jeremiah 11:21 to 14:21.,"",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b01_item09,"Z4 .P33x, v. 1, no. 9",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~9~159847/manifest,Flanders (Belgium),Q100357;Q1243,approximately 1250-1300,1250^1300,13,http://vocab.getty.edu/aat/300404505,false,Flemish Book of Hours manuscript leaf,"","","",Q795,books of hours|detached leaves,Q3618|Q2954,"Manuscripts, Medieval|Illumination of books and manuscripts",Q325|Q272,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 140 x 175 mm,"Decoration: Faint illumination of gold|A manuscript leaf from ""Flemish Book of Hours"" featuring wide margins. The manuscript from which this leaf was taken, shows the influence of the Flemish or northern French in the few initial letters where a clay base was encrusted over with gold paint.|This leaf only shows the faint illumination of the soft gold. The rulings used to write in a straight line are also evident on the leaf.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item02,"Z4 .P33x, v. 2, no. 2",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~24~159802/manifest,"","",approximately 1275-1325,1275^1325,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,Leaf from early legal manuscript,"","","",Q8041,detached leaves,Q2954,"","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 246 x 406 mm,"Script: Written in gothic book hand.|Decoration: 1 to 2 line capitals throughout alternating blue and red|A leaf from an early legal manuscript, dating somewhere around 1280-1320. This original handwritten Folio leaf is of a very early codex of Canon law. The text is in double columns and is in the finest Gothic book hand of the period.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item03,"Z4 .P33x, v. 2, no. 3",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~25~159803/manifest,"Buxheim (Schwaben, Germany)",Q38159;Q12703;Q131,1434,1434^1434,15,http://vocab.getty.edu/aat/300404465,true,Leaf from Sermones of Simon de Cremona,"","","",Q100833,detached leaves,Q2954,"Simon, de Cremona, -1390","","","","","","","","Misnensis, Caspar","",Q40400,"","","","","","",Latin,Q113,paper,Q31,Extent: 1 leaf; paper; 216 x 300 mm,"Script: Written in gothic cursive.|Decoration: Some initials touched or underlined in red.|This leaf is from a Latin Manuscript containing the ""Sermones"" of Simon de Cremona, and was prepared in Buxheim in the Scriptorium of the Carthusian monastery. The scribe was Caspar Misnensis.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item04,"Z4 .P33x, v. 2, no. 4",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~26~159804/manifest,Portugal?,Q19906,approximately 1450,1450^1450,15,http://vocab.getty.edu/aat/300404465,false,Leaf from Los Virtuosos Varones,"","","",Q100393,detached leaves,Q2954,"","","","","","","","","","","","","","","","","",Portuguese,Q38114,paper,Q31,Extent: 1 leaf; paper; 145 x 183 mm,"Decoration: 4 and 3 line initial in a distinctive barbed design|From a ""Los Virtuosos Varones"", author unknown. This Portuguese manuscript is on the nobility of the Portuguese aristocracy, ca. 1450. The recto side of the leaf is marked 63.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item06,"Z4 .P33x, v. 2, no. 6",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~28~159806/manifest,Benelux countries?,Q1115,approximately 1490,1475^1499,15,http://vocab.getty.edu/aat/300404465,false,Leaf from a 15th century Breviary,"","","",Q657,detached leaves,Q2954,Illumination of books and manuscripts,Q272,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 125 x 175 mm,"Script: Written in a compact gothic script.|Decoration: 1 4-line initial in blue with red pen flourishing. 2-line initials throughout alternating red and blue. Some words underlined in red.|From a 15th century Breviary Manuscript written by a monastic scribe, probably in the Low countries or in the Northern France.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item15,"Z4 .P33x, v. 2, no. 15",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~37~159815/manifest,Egypt,Q3086,approximately 1500,1475^1525,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,Koran manuscript leaf,"","","",Q3697,detached leaves,Q2954,"Manuscripts, Arabic (Papyri)",Q100365,"","","","","","","","","","","","","","","",Arabic,Q118,paper,Q31,Extent: 1 leaf; paper; 183 x 300 mm,"Layout: 1 column, 11 lines|Script: Written in Nashki script.|Decoration: Calligraphic cursive framed in red and black.|A leaf from a Manuscript Koran, written in the style of calligraphy known as Naskhi. Although it contains no record of a date or place, it probably was from Egypt in the 16th century. It is written in Arabic.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exws_pages_b02_item39,"Z4 .P33x, v. 2, no. 39",,https://luna.library.wmich.edu/luna/servlet/iiif/m/wmich~4~4~61~159863/manifest,Germany,Q131,"middle of the 16th century April 3, 1551",1551^1551,16,http://vocab.getty.edu/aat/300404510,true,Manuscript leaf,"","","",Q7262,detached leaves,Q2954,"Manuscripts, German",Q142,"","","","","","","","","","","","","","","",Latin,Q113,paper,Q31,Extent: 1 leaf; paper; 158 x 211 mm,"This leaf is from a German Manuscript. It is an anti-Catholic theological diatribe that was signed by five Protestant pastors and dated April 3rd, 1551.","",2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
,"","",ds-csv,ds-schema,Q27869,Western Michigan University,exwsms210_bk,MS 210,,https://luna.library.wmich.edu/luna/servlet/iiif/m/WMUwmu~77~77~1222639~162639/manifest,"","",between 1275 and 1325?,1275^1325,13;14,http://vocab.getty.edu/aat/300404505;http://vocab.getty.edu/aat/300404506,false,Leaf from Interpretationes Hebraicorum Nominum,"",Interpretationes Hebraicorum nominum,"",Q38400,fragments (object portions),Q222,"","","","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf; parchment; 149 x 212 mm,"Layout: The text is written in 2 columns of 50 lines, ruled in lead. It has generous margins: 35 mm on the outside edge, 20 mm along the top, and 45 mm along the bottom.|Script: Written in Northern Gothic Textualis Formata/ Libraria.|Decoration: The first letter of each name is written in colored ink, alternating between red and blue, only slightly larger than the main text, which is written in dark brown ink. Each name is written at the beginning of a new line, and the result is a vertical stripe of alternating red and blue along the left side of each column.|Decoration: There is a single two-line blue initial S on the verso with crude red pen-flourishing. In order to ensure that each name can begin on a new line, the scribe inserts partial lines of text on blank spaces left over at the ends of previous entries. He uses a repeating cycle of five symbols to clearly identify which half-lines are part of which name entry.|Decoration: These symbols are made up of thin angled lines and varying numbers of dots.|Binding: The leaf was uncleanly cut from its original quire, leaving a slightly jagged edge.|Provenance: Purchased by Special Collections, Western Michigan University Libraries from Mackus Company, Chicago, Illinois, in 2023.|A manuscript leaf containing a selection from the Interpretationes Hebraicorum Nominum (Interpretations of Hebrew Names), which would have likely been attached as an appendix to a Bible and used by a preacher to find the roots and origins of Hebrew names so they could be better adapted and/or explained in a homily or other work.|The list is ordered alphabetically, and this leaf contains entries for names beginning between SCE and SON.|The manuscript's date is estimated to be between the late thirteenth and early fourteenth centuries based on the script. It was possibly produced in the Netherlands or northern France.",Description provided by E. MacDonald.,2025-06-11 11:52:57 -0400,20250516,20250516-wmu-csv.csv
