row_index,workflow_history,place_as_recorded,structured_value
1,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.180Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.998Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.199Z",", Low Countries",http://vocab.getty.edu/tgn/7029439
3,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.998Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z","Amberg, Bavaria, Germany",http://vocab.getty.edu/tgn/7012357|http://vocab.getty.edu/tgn/7003669|http://vocab.getty.edu/tgn/7000084
4,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.998Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Armenia,http://vocab.getty.edu/tgn/7006651
5,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.998Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Austria,http://vocab.getty.edu/tgn/1000062
6,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Austria; Germany?,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7000084
7,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Austria?,http://vocab.getty.edu/tgn/1000062
8,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Austria? Hungary?,http://vocab.getty.edu/tgn/1000062|http://vocab.getty.edu/tgn/7006278
9,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Austro-Bavaria,http://vocab.getty.edu/tgn/7003669
10,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z","Barga,",http://vocab.getty.edu/tgn/7006242
11,"RECON PLACE STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-05T04:06:37.182Z | PLACE RECON, STEP 3: START RECON 2022-05-05T04:23:43.197Z | RECON PLACE, STEP 4: KNOWN PLACE APPLIED 2022-05-05T04:27:33.999Z | PLACE RECON, STEP 5: FINALIZED 2022-05-05T04:45:16.200Z",Belgium,http://vocab.getty.edu/tgn/1000063
