row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_name,instance_of,structured_value
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.370Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.860Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.520Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.443Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.962Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.178Z",Abraham Faber,author,,,Abraham Faber,human,Q67198306
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.860Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.520Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.443Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.962Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.178Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?",author,,http://id.loc.gov/authorities/names/n82268136,Abou al-Layth As Samarqandî,human,Q938348
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.860Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.520Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.443Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.962Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.178Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983?.",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,,Abou al-Layth As Samarqandî,human,Q938348
44,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.963Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aegidius de Fuscarariis,author,,,Egidio Foscarari,human,Q41569530
45,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.963Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aegidius of Paris (Aegidius Parisiensis),author,,,Gilles de Paris,human,Q5355
46,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.963Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Agostino Staccoli,author,,,Agostino Staccoli,human,Q45535876
51,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Alain Chartier,author,,,Alain Chartier,human,Q982038
53,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Albertano, da Brescia, active 13th century",author,,http://id.loc.gov/authorities/names/n86825133.html,Albertanus of Brescia,human,Q2831705
54,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Albertus Magnus,author,,,Albertus Magnus,human,Q60059
55,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Albertus, Magnus, Saint, 1193?-1280",author,,http://id.loc.gov/authorities/names/n81007973.html,Albertus Magnus,human,Q60059
56,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Albertus, Magnus, Saint, 1193?-1280,",attributed name.,,,Albertus Magnus,human,Q60059
57,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Albertus, Magnus, Saint, 1193?-1280.",author,,,Albertus Magnus,human,Q60059
58,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Alcuin,author,,,Alcuin,human,Q154332
59,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z",Aldobrandino da Siena,author,,,Aldobrandino da Siena,human,Q2832270
61,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Alighieri, Jacopo. ""Capitoli sulla Divina commedia di Dante Alighieri,"" 197v-198:",author,,,Jacopo Alighieri,human,Q1161153
62,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-24T01:51:33.371Z | NAME RECON STEP 3: START HUMAN RECON 2022-05-24T02:03:41.861Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:04:57.522Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-05-24T02:13:30.179Z | NAME RECON STEP 6: START ORG RECON 2022-05-24T02:26:02.444Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-05-24T02:27:18.964Z | NAME RECON STEP 9: FINALIZED 2022-05-24T02:29:25.179Z","Alleyn, James,",former owner.,,,Sir James Alleyn,human,Q56063918
