row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
1,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.595Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",,,,
2,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Anglo-Norman,xno,Anglo-Norman,Q35214
3,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic,ara,Arabic,Q13955
4,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic and Persian.,ara|per,Persian|Arabic,Q9168|Q13955
5,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z","Arabic headwords, Ottoman definitions.",ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
6,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic text with Persian marginalia.,ara|per,Persian|Arabic,Q9168|Q13955
7,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic with 13 pages in Ottoman Turkish.,ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
8,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic with a few statements in Persian.,ara|per,Persian|Arabic,Q9168|Q13955
9,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic with some Ottoman Turkish.,ara|ota,Arabic|Ottoman Turkish,Q13955|Q36730
10,"LANGUAGE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-05T23:27:14.596Z | LANGUAGE RECON STEP 3: START LANGUAGE RECON 2022-06-05T23:29:14.843Z | LANGUAGE RECON STEP 4: KNOWN LANGUAGES APPLIED 2022-06-05T23:32:05.303Z | LANGUAGE RECON STEP 6: FINALIZED 2022-06-05T23:33:11.942Z",Arabic with some Persian marginalia.,ara|per,Persian|Arabic,Q9168|Q13955
