row_index,workflow_history,subject_as_recorded,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.563Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.050Z","Abū Ḥanīfah,---767 or 768",,"Abū Ḥanīfah, -767 or 768",http://id.worldcat.org/fast/1803236
2,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.050Z",Aristotle,,Aristotle,http://id.worldcat.org/fast/29885
3,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.050Z",Aristotle--Criticism and interpretation--Early works to 1800,,Aristotle|Criticism and interpretation|Early works,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1198648|http://id.worldcat.org/fast/1411636
4,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--Categoriae,,Aristotle|Categoriae (Aristotle),http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1357313
5,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--De interpretatione,,Aristotle|De interpretatione (Aristotle),http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1359296
6,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--Physics,,Aristotle|Physics (Aristotle),http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356964
7,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--Physics--Early works to 1800,,Aristotle|Physics (Aristotle)|Early works,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356964|http://id.worldcat.org/fast/1411636
8,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.465Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--Posterior analytics,,Aristotle|Posterior analytics (Aristotle),http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356595
9,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.143Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.466Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z",Aristotle.--Posterior analytics--Early works to 1800,,Aristotle|Posterior analytics (Aristotle)|Early works,http://id.worldcat.org/fast/29885|http://id.worldcat.org/fast/1356595|http://id.worldcat.org/fast/1411636
10,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.144Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.466Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z","Ascham, Roger,--1515-1568",,"Ascham, Roger, 1515-1568",http://id.worldcat.org/fast/469
11,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-06-06T02:43:27.564Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-06-06T02:51:09.144Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:51:58.465Z | NAMED SUBJECT RECON, STEP 6: START NAMED SUBJECT RECON 2 2022-06-06T02:57:23.466Z | NAMED SUBJECT RECON, STEP 4: KNOWN NAMED SUBJECT RECON APPLIED 2022-06-06T02:57:42.626Z | NAMED SUBJECT RECON, STEP 9: FINALIZED 2022-06-06T03:04:12.051Z","Averroës,--1126-1198.--Talkhīs kitāb al-ʻIbārah",,"Averroës, 1126-1198",http://id.worldcat.org/fast/69334
