row_index,workflow_history,place_as_recorded,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.340097Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.579722Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.613005Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.356160Z",?,undetermined,http://vocab.getty.edu/tgn/7544559
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.343591Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581769Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.614919Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.357536Z","Amberg, Bavaria, Germany",Amberg;Bavaria;Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.350687Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581788Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.617151Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358436Z",Armenia,Armenia,http://vocab.getty.edu/tgn/7006651
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352036Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581793Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618140Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358459Z",Austria,Austria,http://vocab.getty.edu/tgn/1000062
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352049Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581810Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618159Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358683Z",Austria or Hungary,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352065Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581815Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618177Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358693Z",Austria; Germany?,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352074Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581820Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618196Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358707Z",Austria?,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352082Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581826Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618207Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358715Z",Austria? Hungary?,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352094Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581831Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618232Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358723Z",Austro-Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352103Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581835Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618243Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358733Z",Barga,Barga,http://vocab.getty.edu/tgn/7006242
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352111Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581842Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618253Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358741Z",Bavaria,Bavaria,http://vocab.getty.edu/tgn/7003669
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352123Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581847Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618268Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358748Z",Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-10-07T01:05:40.352131Z | PLACE RECON, STEP 3: START RECON 2022-10-07T01:05:58.581851Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2022-10-07T01:06:16.618278Z | PLACE RECON, STEP 6: FINALIZED 2022-10-07T01:09:52.358771Z","Belgium, Hainault","Belgium;Hainaut, Province de",http://vocab.getty.edu/tgn/1000063;http://vocab.getty.edu/tgn/7007877
