row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.740008700Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.052168800Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.447616Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""1579 Giulio Massilli"" written on verso of leaf. Acquired by the Bancroft Library UC Berkeley from Bernard M. Rosenthal (March 1964). Previous call number f2MS A2M2 1300:18.",former owner,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""1756 Ex libris Presbiteri Joseph Marie Sormani"" (inscription on flyleaf ); H. C. (Harley) Drayton (1901-1966), bought at Sotheby’s, 29 January 1951, lot 13; his sale, Sotheby’s, 12 December 1967, lot 63; re-sold at Christie’s, 28 June 1972, lot 8; Ruth E. Adomeit (1910-1996), bequeathed by her to the Lilly Library.",former owner,,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""A l'usage de seur Barbe Le Blon""; n. 2233 in a catalogue of the Lille bookseller, Malo; Sir Thomas Phillipps (1792-1872), his n. 6978; Sir Thomas Brooke (1830-1908); Sir John Arthur Brooke; George A. Plimpton (1855-1936).",former owner,,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Ann"" incised in gold leaf; John Frederick Lewis, Philadelphia.",former owner,,,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Anno Domini 1548 Mensis Julio"" (f. 1r); ""Sold by Thomas Baker, 1, Soho Square, London"" (label on front pastedown); ""Cranmere Kenrick"" (f. iir)",former owner,,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Anno dni Mille(o)cccc lxxij finitus in vigilia martini"" (f. 66v; cf. f. 89v); two unidentified coats of arms (f. 66v), the two combined with initials ""M B V W"" (f. 36v); Dukes of Arenberg; purchased from Lathrop C. Harper in 1956",former owner,,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Bernimolin 1821"" and ""A. Bury 1840"" in margins; acquired by the Bancroft Library UC Berkeley from Bernard M. Rosenthal (March 1964). Previous call number f2MS A2M2 1200:6.",former owner,,,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Ce livre est à moy / Jane Gaillarde"" (f. 10r, visible with ultraviolet light). Sold by Laurence Witten (New Haven, Conn.), 1962",former owner,,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Coluforrer""; John Frederick Lewis, Philadelphia",former owner,,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-11-30T17:35:32.741009100Z | NAME RECON STEP 3: START HUMAN RECON 2022-11-30T17:59:48.057169300Z | NAME RECON STEP 4: KNOWN HUMAN APPLIED 2022-12-05T20:25:59.701423300Z | NAME RECON STEP 6: START ORG RECON 2022-12-05T22:36:18.199818700Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2022-12-05T23:00:18.448617100Z | NAME RECON STEP 9: FINALIZED 2022-12-05T23:03:29.370664900Z","""Elizabet"", s. XVI; Leander van Ess, Darmstadt, no. 318, sold 1824; Sir Thomas Phillipps, no. 702=21985, sold via Sotheby's, London, June 6, 1910, lot 25, to Ettinghausen; John Frederick Lewis, Philadelphia; given by his widow, Anne Baker Lewis",former owner,,,,,
