row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.044031100Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Abbaye Saint-Sulpice (Ain, France)",former owner,,,,,,organization,Abbaye de Saint-Sulpice,Q1572876
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Aelfric, Abbot of Eynsham",author,,,,,,human,Ælfric of Eynsham,Q271377
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Alciati, Andrea, 1492-1550",author,,,,,,human,Andrea Alciato,Q464471
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Alexander VI, Pope, 1431-1503",author,,,,,,human,Alexander VI,Q108316
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Ambrose, Saint, Bishop of Milan, -397",author,,,,,,human,Ambrose,Q43689
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Angelo, Simone d', frater, active 1486",author,,,,,,human,Simone d' Angelo,Q120442552
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Antoninus, Saint, Archbishop of Florence, 1389-1459",author,,,,,,human,Antoninus of Florence,Q773822
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Antonius, de Bozollo",scribe,,,,,,human,Antonius de Bozollo,Q117338088
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z","Appeldorn, Herman, -1473",scribe,,,,,,human,Herman Appeldorn,Q120442553
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-08-24T14:10:23.138878700Z | NAME RECON STEP 3: START HUMAN RECON 2023-08-24T14:10:35.255188700Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-08-24T14:10:53.832203500Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-08-24T14:11:11.533237Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-08-24T14:11:37.704861600Z | NAME RECON STEP 6: START ORG RECON 2023-08-24T14:11:51.580357800Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-08-24T14:12:05.045966800Z | NAME RECON STEP 9: FINALIZED 2023-08-24T14:12:18.085010800Z",Aristotle,author,,,,,,human,Aristotle,Q868
