title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
"""A viro prudente...""",,,,A viro prudente
A collection of devotional tracts,,,,Devotional literature
A collection of Italian lyric poetry; primarily Petrarch's Canzoniere,,,,Canzoniere
A collection of mediaeval devotional works in Italian,,,,Devotional literature
A collection of uncatalogued leaves,,,,Leaves
A Heu Glossary,,,,Glossary
Abbreviatio Summae Guillelmi Altissiodorensis /,,,,Summae Guillelmi Altissiodorensis
Abridged Latin translation of the Nichomachean ethics and some commentaries on Aristotle,,,,Nichomachean ethics
"Annuntiatio Sacri Jubilaei instantis anni centesimi, et declaratio quod prosequenda illius plenissima indulgentia a christifidelibus fieri debeat",,,,Annuntiatio Sacri Jubilaei
Antiphonari,,Antiphonary (Manuscript Kenneth Spencer Research Library. MS J4:1),,Antiphonary
Antiphonary,,Antiphonary  (Manuscript Kenneth Spencer Research Library. MS J5:1),,Antiphonary
Arezzo Laude,,,,Arezzo Laude
Aureli Augustini beatissimi de civitate Dei,,De civitate Dei (De Valle),,De civitate Dei
Barzizza and other works,,,,Works
Beneventan fragment 3. Apocrypha,,,,Apocrypha
Bible,,Bible.,,Bible
"Bible, N. T., Acts of the Apostles",,,,Bible;New Testament;Acts of the Apostles
"Bible, N.T., Gospel of Matthew, glossed",,,,Bible;New Testament;Gospel of Matthew
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A10),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:A15),,Book of hours
Book of hours,,Book of hours (Manuscript. Kenneth Spencer Research Library. MS 18E:1),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A6),,Book of hours
Book of hours,,Book of hours (Manuscript Kenneth Spencer Research Library. MS A16),,Book of hours
Book of hours (Manuscript Kenneth Spencer Research Library. MS 9/1:C4),,,,Book of hours
"Book of the Gospels, incomplete",,Bible.,,Bible;Gospels
Breviary,,,,Breviary
Bucolica,,Works.,,Bucolics
Canon law collection,,,,Canon law
Canon law summa,,,,Canon law
Capitoli e ordinamenti 1354,,,,Statutes
Capitoli e ordinamenti 1422,,,,Statutes
Chronicle fragments (Fragment Kenneth Spencer Research Library. MS P579),,,,Chronicles
Chronicle of popes and emperors,,,,Chronicle
Chur Psalter,,,,Psalter
Cicero Rhetorica,,Rhetorica ad Herennium.,,Rhetorica ad Herennium
Collection of biographies of illustrious men,,,,Biography
"Collection of documents from Abbaye Saint-Sulpice-en-Bugey, mostly relating to the foundation of Abbaye de Chassagne-en-Bresse",,,,Documents
Collection of religious and theological treatises,,,,Theological texts
Collection of religious and theological treatises /,,,,Theological texts
Collection of works by Aristotle and commentaries on Aristotle's works,,,,Philosophy;Works of Aristotle
"Collections of excerpts, including Liber scintillarum by Defensor of Ligugé",,,,Liber scintillarum
Commentaries on Aristotle,,,,Commentary on Aristotle
Commentarium Biblicum,,,,Biblical commentary
Commentary on the Pauline Epistles,,,,Commentary on Epistles;Epistles
"Compendium historiae in genealogia Christi, incomplete /",,,,Compendium historiae in genealogia Christi
Compendium moralitatum,,,,Compendium moralitatum
Compendium sensus litteralis totius Sacrae Scripturae,,,,Compendium sensus litteralis totius Sacrae Scripturae
