row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.621176Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.514771Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Abbey of Saint-Amand, France",,,Saint-Amand;France,http://vocab.getty.edu/tgn/7610229;http://vocab.getty.edu/tgn/1000070
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.520769300Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Amberg, Bavaria, Germany",,,Amberg;Bavaria;Germany,http://vocab.getty.edu/tgn/7012357;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.520769300Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Amiens?, France",,,Amiens;France,http://vocab.getty.edu/tgn/7010588;http://vocab.getty.edu/tgn/1000070
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.520769300Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Augsburg, Germany",,,Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Augsburg?, Germany",,,Augsburg;Germany,http://vocab.getty.edu/tgn/7004324;http://vocab.getty.edu/tgn/7000084
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Austria,,,Austria,http://vocab.getty.edu/tgn/1000062
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Austria (northern),,,Austria,http://vocab.getty.edu/tgn/1000062
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Austria ?,,,Austria,http://vocab.getty.edu/tgn/1000062
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Austria? Hungary?,,,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Austro-Bavaria,,,Bavaria,http://vocab.getty.edu/tgn/7003669
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Avignon?, France",,,Avignon;France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/1000070
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Bavaria, Germany",,,Bavaria;Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Bavaria?, Germany",,,Bavaria;Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Bavaria?, Southern Germany",,,Bavaria;South Germany,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/4004316
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Belgium,,,Belgium,http://vocab.getty.edu/tgn/1000063
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Belém, Portugal",,,Belém;Portugal,http://vocab.getty.edu/tgn/7010773;http://vocab.getty.edu/tgn/1000090
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Berkshire, England",,,Berkshire;England,http://vocab.getty.edu/tgn/7008101;http://vocab.getty.edu/tgn/7002445
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Besançon?, France",,,Besançon;France,http://vocab.getty.edu/tgn/7008356;http://vocab.getty.edu/tgn/1000070
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Bodensee, Germany",,,Bodensee;Germany,http://vocab.getty.edu/tgn/7212103;http://vocab.getty.edu/tgn/7000084
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z","Bodensee?, Germany",,,Bodensee;Germany,http://vocab.getty.edu/tgn/7212103;http://vocab.getty.edu/tgn/7000084
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.172302300Z",Bohemia,,,Bohemia,http://vocab.getty.edu/tgn/7006470
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z",Bohemia?,,,Bohemia,http://vocab.getty.edu/tgn/7006470
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bologna or Padua?, Italy",,,Bologna;Padua;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/7003085;http://vocab.getty.edu/tgn/1000080
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-28T20:05:46.623179100Z | PLACE RECON, STEP 3: START RECON 2023-11-28T20:06:04.157973100Z | PLACE RECON, STEP 4: KNOWN PLACE APPLIED 2023-11-28T22:44:01.521769200Z | PLACE RECON, STEP 6: FINALIZED 2023-11-28T22:45:25.173304400Z","Bologna, Italy",,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
