row_index,workflow_history,subject_as_recorded,subject-term,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.310419500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.465405Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.074020400Z",10th century,10th century,,openn-keywords,,Tenth century,http://id.worldcat.org/fast/1147737,,
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",11th century,11th century,,openn-keywords,,Eleventh century,http://id.worldcat.org/fast/908096,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",12th century,12th century,,openn-keywords,,Twelfth century,http://id.worldcat.org/fast/1159791,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",13th century,13th century,,openn-keywords,,Thirteenth century,http://id.worldcat.org/fast/1150138,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",14th century,14th century,,openn-keywords,,Fourteenth century,http://id.worldcat.org/fast/933420,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",15th century,15th century,,openn-keywords,,Fifteenth century,http://id.worldcat.org/fast/923962,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",16th century,16th century,,openn-keywords,,Sixteenth century,http://id.worldcat.org/fast/1119851,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",17th century,17th century,,openn-keywords,,Seventeenth century,http://id.worldcat.org/fast/1113663,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",18th century,18th century,,openn-keywords,,Eighteenth century,http://id.worldcat.org/fast/904058,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-19T18:35:51.311418Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-09-19T18:36:32.079980100Z | KNOWN SUBJECT RECON APPLIED 2023-09-21T22:14:04.468656Z | SUBJECT RECON, STEP 45: FINALIZED 2023-09-26T16:46:44.079017Z",19th century,19th century,,openn-keywords,,Nineteenth century,http://id.worldcat.org/fast/1037841,,
