title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
12 miniatures with Biblical Scenes,,,,Miniatures;Biblical scenes,
Ad adolescentes de legendis libris gentilium (Address to young men on the right use of greek literature),,,,Ad adolescentes de legendis libris gentilium,
Adoration of the Magi,,,,Miniature,
Africa,,,,Africa,
Altar Card with the Deposition from the Cross,,,,Altar card,
Anna Peirce vs. John Stevens,,,,,
Antiphonal,,,,,Antiphonary
Antiphonal leaf with historiated initial leaf D depicting Christ healing the blind,,,,Antiphonary,
Antiphonal with Historiated Initial 'D',,,,Antiphonary,
Antiphonary,,,,,Antiphonary
"Antiphonary - Pentecost, three days following",,,,Antiphonary,
Antiphonary for Christmas,,,,Antiphonary,
Antiphonary for the feast of a virgin,,,,Antiphonary,
Antiphonary leaf with historiated D depicting St. John the Baptist,,,,Antiphonary,
"Antiphonary, Dominican use",,,,,Antiphonary
"Antiphonary, Feast of Saint Bartholomew",,,,Antiphonary,
"Antiphonary, diurnal (Ambrosian Rite)",,,,,Antiphonary
Antiquitates Judaicae,,,,Antiquitates judaicae,
Armenian,,,,Armenian fragment,
Armorial,,,,Armorial,
Ars Poetica (Art of Poetry); Carmen seculare; Epistolae (Epistles); Odes,,,,,Ars poetica;Carmen seculare;Epistles;Odes
Ars Poetica and Epistulae,,,,,Ars poetica;Epistles
August calendar labor,,,,Calendar;August,
Aurora,,,,,Aurora
Betrothal and Marriage Ritual (perhaps from a Missal),,,,Betrothal and marriage ritual,
Bible,,,,,Bible
Bible Commentary,,,,,Bible commentary
"Bible Commentary on the Book of Job, Chapter 10",,,,Bible commentary,
Bible Commentary: Rabanus Maurus on Deuteronomy,,,,Bible commentary,
"Bible Concordance, Conrad of Halberstadt's",,,,Bible commentary,
Bible Concordance: Luc - Lus,,,,Biblical concordance,
Bible du XIIIe siècle,,,,Bible,
Bible historiale,,,,Bible,
"Bible, Epistles",,,,,Bible;Epistles
"Bible, Gospel of John",,,,Bible;Gospel of John,
"Bible, Gospels",,,,Bible;Gospels,
"Bible, Matthew",,,,Bible;Gospel of Matthew,
"Bible, glossed Epistles of Paul",,,,Bible;Epistles,
"Bible, glossed Mark",,,,,Bible;Gospel of Mark
"Bible, glossed minor prophets; Missal",,,,Bible;Minor prophets;Missal,
"Bible, with glossa ordinaria",,,,,Bible;Glossa ordinaria
Bible: Book of Tobit,,,,Bible;Tobit,
Bible: Colossians 4 - Thessalonians 1,,,,Bible;Epistles,
Bible: Ecclesiastes,,,,Bible;Ecclesiastes,
