row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.859968100Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Abbazia di Morimondo,former owner,,http://id.loc.gov/authorities/names/nr93035920 http://id.loc.gov/authorities/names/nr93035920 http://viaf.org/viaf/sourceID/LC%7cnr93035920,Abbey of Morimondo,organization,Q1775687,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abīwardī, Muḥammad ibn Aḥmad, -1113",author,ابيوردي، محمد بن احمد، -1113,,Muḥammad ibn Aḥmad Abīwardī,human,Q112875441,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Faraj al-Iṣbahānī, 897 or 898-967",author,ابو الفرج الاصبهاني، 897 or 898-967,,Abu al-Faraj al-Isfahani,human,Q335599,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Faraj ʻAbd Allāh ibn al-Tayyib, -1043",author,ابو الفرج عبد الله بن الطيب,http://id.loc.gov/authorities/names/nr95024340,Ibn al-Tayyib,human,Q2820894,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z",Abū al-Ḥusayn ibn Aḥmad,author,ابو الحسين بن احمد,,,,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983؟,http://id.loc.gov/authorities/names/n82268136(uri) http://id.loc.gov/authorities/names/n82268136(uri) http://viaf.org/viaf/sourceID/LC%7cn82268136,Abu al-Layth al-Samarqandi,human,Q938348,,,
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Mawāhib, Muḥammad ibn Muḥammad, -1627 or 1628",author,ابو المواهب، محمد بن محمد، -1627 or 1628,,,,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Najā, Muḥammad Mujāhid, active 19th century",author,ابو النجا، محمد مجاهد، active 19th century,,,,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū al-Saʻūd Muḥammad ibn Muḥammad, 1492 or 1493-1574 or 1575",author,ابو السعود محمد بن محمد، 1492 or 1493-1574 or 1575,,Ebussuud Effendi,human,Q4892993,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Firās al-Ḥamdānī, al-Ḥārith ibn Saʻīd, 932-968",author,ابو فراس الحمداني، الحارث بن سعيد، 932-968,,,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T13:48:59.860964300Z | NAME RECON STEP 3: START HUMAN RECON 2023-09-08T13:51:25.946456Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-09-08T13:51:36.139800800Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-09-08T13:51:55.911438500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-09-08T13:52:12.531320900Z | NAME RECON STEP 6: START ORG RECON 2023-09-08T13:53:50.362573300Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-09-08T13:54:11.552560200Z | NAME RECON STEP 9: FINALIZED 2023-09-08T13:54:27.786130100Z","Abū Hiffān al-Mihzamī, ʻAbd Allāh ibn Aḥmad, active 9th century",author,ابو هفان المهزمي، عبد الله بن احمد، active 9th century,,,,,,,
