row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300236Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.433734Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239264Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151393Z",In Arabic,ara,Arabic,Q13955,,
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300861Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434129Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239552Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151839Z",In Dutch,dut,,,Dutch,Q7411
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300873Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434144Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239558Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151846Z",In Flemish,lat,,,Flemish,Q34147
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300885Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434158Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239570Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151850Z",In Hebrew,heb,,,Hebrew,Q9288
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300891Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434165Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239575Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151858Z",In Hebrew with Aramaic translation,heb;arc,Hebrew;Aramaic,Q9288;Q28602,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300904Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434389Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239585Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151866Z",In Latin,lat,,,Latin,Q397
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300910Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434397Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239589Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151871Z",In Latin,dut,,,Latin,Q397
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300917Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434404Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239593Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151875Z",In Latin (highly abbreviated),lat,,,Latin,Q397
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300930Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434415Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239598Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151878Z",In Latin and Italian,lat;ita,,,Latin;Italian,Q397;Q652
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:37:47.300937Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-09-08T23:38:09.434423Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-09-08T23:38:29.239602Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-09-08T23:48:09.151884Z",In Middle Dutch,dut,Middle Dutch,Q178806,,
