row_index,workflow_history,material_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127552Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279775Z","[""""]",,,undetermined,http://vocab.getty.edu/aat/300379012
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127791Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279866Z","[""12 initials""]",,,,
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127799Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279876Z","[""fine vellum""]",parchment,http://vocab.getty.edu/aat/300011851,,
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127803Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279887Z","[""paper""]",,,paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127806Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279894Z","[""parchment""]",,,parchment,http://vocab.getty.edu/aat/300011851
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127811Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279901Z","[""parchment and paper""]",,,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127814Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279910Z","[""parchment, illustrations""]",,,parchment,http://vocab.getty.edu/aat/300011851
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127816Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279916Z","[""rag paper""]",paper,http://vocab.getty.edu/aat/300014109,,
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127827Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279922Z","[""vellulm""]",parchment,http://vocab.getty.edu/aat/300011851,,
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127830Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279932Z","[""vellum""]",parchment,http://vocab.getty.edu/aat/300011851,,
11,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-09-08T23:35:50.127833Z | MATERIAL RECON, STEP 3: FINALIZED 2023-09-08T23:36:05.279937Z","[""vellum, ink, manuscript, music""]",parchment,http://vocab.getty.edu/aat/300011851,,
