row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.778024400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Armenian,arm,,,Armenian,Q8785
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.778024400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",German,ger,,,German,Q188
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Greek,grc,,,Greek,Q9129
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Greek and Arabic,grc;gre;ara,Greek;Arabic,Q9129;Q13955,,
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Homiletic texts in Old English. Calendar and gospels in Latin. Some English additions,ang;lat;eng,Old English;Latin;English,Q42365;Q397;Q1860,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",In Chinese,chi,Chinese,Q7850,,
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z","In Chinese, with Japanese reading marks",jpn,Chinese;Japanese,Q7850;Q5287,,
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Italian,ita,,,Italian,Q652
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin,lat,,,Latin,Q397
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin,lat;gre,,,Latin,Q397
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-04T14:31:30.240171500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-10-04T14:32:31.779024700Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-10-04T14:33:00.341363400Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-10-04T14:33:12.979715300Z",Latin and French,lat;fre,,,Latin;French,Q397;Q150
