row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.739771900Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",dut,dut,,,Dutch,Q7411
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng,eng,,,English,Q1860
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;dut,eng;dut,English;Dutch,Q1860;Q7411,,
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;dut;gre;lat,eng;dut;gre;lat,,,English;Dutch;Greek;Latin,Q1860;Q7411;Q9129;Q397
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;dut;lat,eng;dut;lat,English;Dutch;Latin,Q1860;Q7411;Q397,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;enm,eng;enm,English;Middle English,Q1860;Q36395,,
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;fre,eng;fre,,,English;French,Q1860;Q150
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;fre;ger;lat,eng;fre;ger;lat,,,English;French;German;Latin,Q1860;Q150;Q188;Q397
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;fre;gre;heb;lat,eng;fre;gre;heb;lat,,,English;French;Greek;Hebrew;Latin,Q1860;Q150;Q9129;Q9288;Q397
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;fre;lat,eng;fre;lat,English;French;Latin,Q1860;Q150;Q397,,
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;ger,eng;ger,English;German,Q1860;Q188,,
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;ger;lat,eng;ger;lat,English;German;Latin,Q1860;Q188;Q397,,
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre,eng;gre,English;Greek,Q1860;Q9129,,
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre;heb;lat,eng;gre;heb;lat,English;Greek;Hebrew;Latin,Q1860;Q9129;Q9288;Q397,,
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-01T17:03:10.742316800Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-11-01T17:03:44.877693500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-11-01T17:04:12.653757500Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-11-01T17:04:25.620993800Z",eng;gre;lat,eng;gre;lat,,,English;Greek;Latin,Q1860;Q9129;Q397
