row_index,workflow_history,name_as_recorded,role,name_agr,authorized_label_add,instance_of_add,structured_value_add,source_authority_uri,org,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.893791Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.893017Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.314908Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.661476Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.155200Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.782831Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.362275Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.252366Z","Aitken, George Atherton, 1860-1917",former owner,,George Atherton Aitken,human,Q15930536,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.899431Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894603Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316151Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662663Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156451Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.800551Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.365820Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253219Z","Alciati, Andrea, 1492-1550",author,,,,,,,human,Andrea Alciato,Q464471
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901349Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894615Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316174Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662676Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156464Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802311Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366123Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253242Z","Anderson, Tobin",former owner,,Tobin Anderson,human,Q114413987,,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901394Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894630Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316180Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662682Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156469Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802324Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366135Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253255Z","Arata, Mario Pedro, 1891-circa 1946",former owner,,"Arata, Mario Pedro, 1891-circa 1946",human,Q123378455,,,human,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901397Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894635Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316186Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662688Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156475Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802327Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366142Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253259Z","Ashburner, Walter","1891-1936, former owner.; Carter, John W., 1905-1975,",,Walter Ashburner,human,Q52155775,,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901400Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894641Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316193Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662698Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156480Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802330Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366151Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253264Z",Auchinleck Library,former owner,,,,,,,organization,Auchinleck Community Library,Q62631900
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901405Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894649Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316197Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662703Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156484Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802342Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366154Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253272Z",Augustinians of Rebsdorf,former owner,,Kloster Rebdorf,organization,Q1775841,,org,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901407Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894652Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316208Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662711Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156489Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802344Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366162Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253277Z","Barker, Elizabeth",former owner,,"Barker, Elizabeth",human,Q123378457,,,human,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901410Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894668Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316215Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662717Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156497Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802347Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366171Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253282Z","Barrymore, John",former owner,,"Barrymore, John",human,Q123378458,,,human,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-11-07T03:52:52.901414Z | NAME RECON STEP 3: START HUMAN RECON 2023-11-07T03:54:45.894673Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-11-07T03:55:04.316220Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-11-07T03:55:30.662721Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2023-11-07T03:55:48.156514Z | NAME RECON STEP 6: START ORG RECON 2023-11-09T16:22:40.802356Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-09T16:23:06.366174Z | NAME RECON STEP 9: FINALIZED 2023-11-09T16:41:25.253291Z","Berwick, William Noel Hill, Baron, 1773-1842",former owner,,"William Noel-Hill, 3rd Baron Berwick",human,Q8016161,,,,,
