row_index,workflow_history,name_as_recorded,recon-name,name,role,authorized_label_add,instance_of_add,structured_value_add,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.181198Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.692872Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850379Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.145108Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.926839Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.314654Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.656377Z",A. Rosenthal Ltd,,,former owner,A. Rosenthal Ltd.,organization,Q120869211,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184051Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694235Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850920Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146788Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.937432Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317021Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658803Z","A. Rosenthal, Ltd",,,former owner,A. Rosenthal Ltd.,organization,Q120869211,,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184497Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694252Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850928Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146877Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939346Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317851Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658818Z","Abbaye d'Anchin (Pecquencourt, France)",,,former owner,Anchin Abbey,organization,Q1971381,,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184507Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694260Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850936Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146904Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939903Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317864Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658829Z","Abbaye de Saint-Martin de Tournai (Tournai, Belgium)",,,former owner,Abbaye de Saint-Martin de Tournai,organization,Q2820407,,,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184512Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694274Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850941Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146910Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939914Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317875Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658833Z","Abbe, Dorothy","Abbe, Dorothy",Dorothy Abbe,former owner,"Abbe, Dorothy",human,Q123274719,,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184576Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694286Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850951Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146920Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939927Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317885Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658837Z","Affaticati, Benedetto","Affaticati, Benedetto",Benedetto Affaticati,former owner,"Affaticati, Benedetto",human,Q123274720,,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184602Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694294Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850956Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146930Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939933Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317901Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658842Z","Agli, Pellegrino, 1440-1468",,,scribe,Pellegrino Agli,human,Q109875978,,,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184608Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694305Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.850961Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146938Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939939Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317930Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658845Z","Alamanni, Tommaso Giovanni, active 16th century","Alamanni, Tommaso Giovanni, active 16th century",Tommaso Giovanni Alamanni,author,"Alamanni, Tommaso Giovanni, active 16th century",human,Q123274721,,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184614Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694312Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851599Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146957Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939946Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317941Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658849Z","Aldegati, Marcantonio, active 14th century",,,author,Marcantonio Aldegati,human,Q89579883,,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-10-31T21:00:22.184619Z | NAME RECON STEP 3: START HUMAN RECON 2023-10-31T21:05:03.694318Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2023-10-31T21:07:38.851795Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2023-10-31T21:08:28.146966Z | NAME RECON STEP 6: START ORG RECON 2023-11-01T23:00:39.939952Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2023-11-01T23:01:10.317962Z | NAME RECON STEP 9: FINALIZED 2023-11-02T16:58:30.658856Z","Aldridge, George, active 17th century","Aldridge, George, active 17th century",George Aldridge,former owner,"Aldridge, George, active 17th century",human,Q123274722,,,,,
