row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Albums (books),aat,,albums (books),http://vocab.getty.edu/aat/300026690,,
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Anecdotes,fast,(OCoLC)fst01423876,Anecdotes,http://id.worldcat.org/fast/1423876,,
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Annotations (Provenance),rbprov,,,,Annotations,http://id.loc.gov/vocabulary/rbmscv/cv00102
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Artificial grains,lobt,,,,artificial grains,http://w3id.org/lob/concept/1507
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Biographies,fast,(OCoLC)fst01919896,,,Biographies,http://id.worldcat.org/fast/1919896
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Blind tooled (decoration),lobt,,,,blind-tooled (decoration),http://w3id.org/lob/concept/2288
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Bookplates (Provenance),rbprov,,,,Bookplates,http://id.loc.gov/vocabulary/rbmscv/cv00138
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Booksellers' labels (Provenance),rbprov,,,,Booksellers' labels,http://id.loc.gov/vocabulary/rbmscv/cv00228
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Calendars (documents by form),aat,,,,calendars (documents),http://vocab.getty.edu/aat/300026741
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-31T16:04:11.356476100Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-31T16:04:27.237483700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-31T16:05:11.990675400Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-31T16:05:26.114196Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-31T16:05:41.526194100Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-31T16:06:04.168633300Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-31T16:06:19.213490Z | GENRE RECON, STEP 7: FINALIZED 2023-12-31T16:06:33.509210600Z",Calligraphy (visual works),aat,,calligraphy (visual works),http://vocab.getty.edu/aat/300266660,,
