row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic,ara,,,Arabic,Q13955
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic and Coptic,ara,,,Arabic;Coptic,Q13955;Q36155
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic and Ottoman Turkish,ara,,,Arabic;Ottoman Turkish,Q13955;Q36730
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic and Persian,ara,,,Arabic;Persian,Q13955;Q9168
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic and Turkish,ara,,,Arabic;Turkish,Q13955;Q256
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with 13 pages in Ottoman Turkish,ara,,,Arabic;Ottoman Turkish,Q13955;Q36730
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with Persian heading and marginalia,ara,Arabic;Persian,Q13955;Q9168,,
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with Persian translation and marginal notes,ara,Arabic;Persian,Q13955;Q9168,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with a few pages in Ottoman Turkish,ara,Arabic;Ottoman Turkish,Q13955;Q36730,,
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with a few statements in Persian,ara,,,Arabic;Persian,Q13955;Q9168
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T22:30:31.603010Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-14T22:31:07.620862400Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-14T22:31:52.693378600Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-14T22:32:09.955162500Z",Arabic with a short introduction in Persian,ara,Arabic;Persian,Q13955;Q9168,,
