row_index,workflow_history,material_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.002898300Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",,,,undetermined,http://vocab.getty.edu/aat/300379012
2,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","350 x 270 (270 x 180) mm, bound to 370 x 290 mm",,,,
3,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",European laid paper with watermarks,paper,http://vocab.getty.edu/aat/300014109,,
4,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","European laid paper, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
5,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","European watermarked paper, illuminations",paper,http://vocab.getty.edu/aat/300014109,,
6,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",Lacquered color painting framed in wood mounted on metal stand,wood,http://vocab.getty.edu/aat/300011914,,
7,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","Laid paper with embossed margin, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
8,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","Laid paper with watermarks, illuminations",paper,http://vocab.getty.edu/aat/300014109,,
9,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z","Laid paper, illuminations",,,paper,http://vocab.getty.edu/aat/300014109
10,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-14T17:26:02.003896Z | MATERIAL RECON, STEP 3: FINALIZED 2023-12-14T17:26:16.887379100Z",Non-European laid paper,,,paper,http://vocab.getty.edu/aat/300014109
