row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.289994Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.982783Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.766942Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706005Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990307Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863212Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570334Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290202Z","Abū al-Fatḥ ibn Abī al-Ḥasan, al-Sāmirī, active 1355",author,ابو الفتح بن ابي الحسن، السامري، active 1355,,Abu l-Fath,human,Q3603860,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290964Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983138Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767490Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706132Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990436Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863533Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570467Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290345Z",Abū al-Ḥasan Dallāl,former owner,ابو الحسن دلال،,,Abū al-Ḥasan Dallāl,human,Q124130444,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290973Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983147Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767504Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706137Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990441Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863541Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570472Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290352Z",American Type Founders Company. Typographic Library and Museum,former owner,,,,,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290976Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983165Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767520Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706143Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990444Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863550Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570477Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290363Z","Amīr Khusraw Dihlavī, approximately 1253-1325",author,امير خسرو دهلوى، approximately 1253-1325,,,,,human,"Amīr Khusraw Dihlavī, approximately 1253-1325",Q123581716
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290979Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983177Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767525Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706212Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990453Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863554Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570482Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290368Z","Anṭākī, Dāʼūd ibn ʻUmar, -1599",author,انطاكي، داود بن عمر، 1599-,,Dawud al-Antaki,human,Q6768027,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290983Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983182Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767530Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706226Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990456Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863559Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570487Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290372Z","Ashburner, Manookjee Sorabjee",former owner,,,Manookjee Sorabjee Ashburner,human,Q124130445,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290985Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983195Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767541Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706236Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990466Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863573Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570492Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290377Z","Autolycus, active 2nd century",author,,,,,,human,Autolycus of Pitane,Q451390
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290987Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983207Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767545Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706242Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990471Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863578Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570496Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290382Z","Autolycus, active 2nd century",author,اوطولوقس,,,,,human,Autolycus of Pitane,Q451390
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290994Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983212Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767562Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706248Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990474Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863583Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570499Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290386Z",Aḥmad ibn Muṣṭafá,former owner,احمد بن مصطفى,,Aḥmad ibn Muṣṭafá,human,Q124130446,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T17:20:39.290996Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T17:23:08.983222Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T17:23:22.767567Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T17:23:38.706250Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T17:23:52.990477Z | NAME RECON STEP 6: START ORG RECON 2024-01-04T20:11:21.863594Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-04T20:12:03.570504Z | NAME RECON STEP 9: FINALIZED 2024-01-04T20:13:06.290397Z","Baháʼuʼlláh, 1817-1892",author,بهاء الله، 1817-1892,,Baháʼu'lláh,human,Q101054,,,
