title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
Adventures of Hatim Tai,,Qiṣṣah-i Ḥātim Ṭāʼī (Romance),قصه حاتم طائى (Romance),,Qiṣṣah-i Ḥātim Ṭāʼī
Anvār-i Suhaylī,انوار سهيلى.,,,Anvār-i Suhaylī,
Anwār al-tanzīl wa-asrār al-taʼwīl,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl.,انوار التنزيل واسرار التأويل.,Anwār al-tanzīl wa-asrār al-taʼwīl,
Arabic poem with painting],,,,,Arabic poem with painting
Astronomical tables],,,,,Astronomical tables
Badr al-ṭāliʻ fī ḥall Jamʻ al-jawāmiʻ],بدر الطالع في حل جمع الجوامع.,,,,Halu jame al-jawamiei
Badāʼiʻ al-funūn,بدائع الفنون.,,,,Badāʼiʻ al-funūn
Badīʻ al-ḥisāb,بدىع الحساب.,,,,Badīʻ al-ḥisāb
Bahār-i dānish,بهار دانش.,,,,Bahār-i dānish
Baḥr al-ʻUyūn,بحر الع&#٬٠٦كك؛ون.,,,,Baḥr al-ʻUyūn
Bughyat al-ṭullāb fī sharḥ Munyat al-ḥussāb,بغية الطلاب في شرح منية الحساب.,Bughyat al-ṭullāb ʻalá Munyat al-ḥussāb,بغية الطلاب على منية الحساب,,Bughyat al-ṭullāb ʻalá Munyat al-ḥussāb
Bīst bāb dar ʻilm-i usṭurlāb,بىست باب در علم اسطرلاب.,,,,Treatise on astrolabes
Būstān. Pandnāmah],بوستان. )ندنامه.,,,,Būstān
Calendar for year 1064 AH],,,,Calendar,
Calligraphy samples in Persian],,,,,Calligraphy samples in Persian
Chand risālah dar ḥisāb va hayʼāt,١ند رساله در حساب و هيئات.,,,,On accounting and commissions
Collection of Persian poetry and stories],,,,,Persian poetry and stories
Collection of Persian poetry],,,,,Persian poetry
Collection of Sufi writings and prayers],,,,,Sufi writings and prayers
Collection of prayers,,,,,Prayers
Collection of prayers and selections from the Qurʼān,,,,Qurʼan,
Collection of prayers],,,,,Prayers
Collection of treatises on Sufism and Islam],,,,,Treatises on Sufism and Islam
Collection of works on Arabic grammar],,,,,Works on Arabic grammar
Collection of works on astronomy and astronomical instruments],,,,,Works on astronomy and astronomical instruments
Coptic-Arabic glossary],,,,,Coptic-Arabic glossary
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلوة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات.,Dalāʼil al-khayrāt,
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات.,Dalāʼil al-khayrāt,
Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār,دلائل الخيرات وشوارق الانوار في ذكر الصلاة على النبي المختار.,Dalāʼil al-khayrāt,دلائل الخيرات,Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār,
Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār ...,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار ...,Dalāʼil al-khayrāt,دلائل الخيرات.,,Dalāʼil al-khayrāt
Dalāʼil al-khayrāt],دلائل الخيرات.,,,,Dalāʼil al-khayrāt
Dar maʻrifat-i taqvīm mushtamil bar sī faṣl,در معرفت تقويم مشتمل بر سى فصل.,Sī faṣl,سى فصل,,Sī faṣl
Devotional book,,,,Devotional book,
Devotional book],,,,Devotional book,
Dhakhīrat al-Iskandar al-Malik ibn Fīliqs Dhī al-Qarnayn,ذخيرة الاسكندر الملك بن فيلقس ذي القرنين.,,,,Dhakhīrat al-Iskandar al-Malik ibn Fīliqs Dhī al-Qarnayn
Dīvān,ديوان.,Poems,,,Poems
Dīvān,ديوان.,Poems.,,,Poems
Dīvān],ديوان.,,,,Dīvān
Dīwān Tāj al-ʻārifīn wa-sulṭān al-ʻāshiqīn min al-shuʻarāʼ bi-lā muʻāriḍ ʻUmar ibn Fāriḍ,ديوان تاج العارفين وسلطان العاشقين من الشعراء بلا معارض عمر بن فارض.,Poems,,Poems,
Fatḥ al-qarīb al-mujīb fī sharḥ alfāẓ al-Taqrīb,فتح القريب المجيب في شرح الفاظ التقريب.,,,,Sharah alfaz al-taqribi
