row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.460403400Z",   ,   ,,,,
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z","Handwritten in German, cursive script",ger,German,Q188,,
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z","Handwritten in Italian, cursive script",ita,Italian,Q652,,
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z","In Italian, with some Latin",ita;lat,,,Italian;Latin,Q652;Q397
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",Text in English,eng,English,Q1860,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",Text in Latin,lat,,,Latin,Q397
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",Text in Latin and English,lat,Latin;English,Q397;Q1860,,
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",Text in Latin and English,lat;eng,Latin;English,Q397;Q1860,,
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",eng,eng,,,English,Q1860
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",ger,ger,,,German,Q188
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",ita,ita,,,Italian,Q652
12,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-15T17:08:17.827571500Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2023-12-15T17:08:41.147162600Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2023-12-15T17:09:02.456830100Z | LANGUAGE RECON, STEP 6: FINALIZED 2023-12-15T17:09:13.461403200Z",lat,lat,,,Latin,Q397
