row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.595694Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381297Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527089Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360304Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800515Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455611Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362036Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954364Z","Bonaparte, Carlo Maria, 1746-1785",former owner,,,Carlo Bonaparte,human,Q151869,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.598530Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381428Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527697Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360491Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800611Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455847Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362110Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954503Z","Bonus, Petrus, active 1323-1330",author,,,Petrus Bonus,human,Q3377681,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599040Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381437Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527707Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360498Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800617Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455858Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362115Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954509Z","Christopher, of Paris, active 15th century",author,,,Christophe de Paris,human,Q2966523,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599051Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381472Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527716Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360503Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800625Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455861Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362124Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954512Z","Conduit, Catherine Barton, 1679-1740",former owner,,,Catherine Barton,human,Q1050921,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599054Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381479Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527721Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360507Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800630Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455865Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362127Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954520Z","Cycurius, Johannes, Theatinus",scribe,,,Johannes Theatinus Cycurius,human,Q123822926,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599057Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381486Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527726Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360517Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800635Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455872Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362131Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954525Z","Fabius, Emmanuel, (1895-1984)",former owner,,,Emmanuel Fabius,human,Q123822947,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599065Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381497Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527738Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360521Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800642Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455875Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362137Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954528Z","Honeyman, Robert B",former owner,,,,,,human,Robert Brodhead Honeyman,Q113864827
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599067Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381504Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527744Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360526Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800646Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455879Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362141Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954536Z","Laborya de Mossach, Johan",former owner,,,Johan Laborya de Mossach,human,Q123822957,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599070Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381511Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527749Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360532Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800651Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455927Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362144Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954540Z","Loredan, Leonardo, 1436-1521",former owner,,,,,,human,Leonardo Loredan,Q250210
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599075Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381524Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527757Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360536Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800660Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455931Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362156Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954544Z","Newton, Isaac, 1642-1727",author,,,,,,human,Isaac Newton,Q935
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599078Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381531Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527762Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360541Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800664Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455935Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362159Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954551Z","Portsmouth, Gerard Vernon Wallop, Earl of, 1898-",former owner,,,"Gerard Wallop, 9th Earl of Portsmouth",human,Q5550189,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599081Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381538Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527767Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360547Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800669Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455943Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362162Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954555Z",Pseudo-Llull,author,,,Pseudo-Llull,human,Q123850987,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599088Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381551Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527775Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360551Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800679Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455946Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362168Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954559Z","Puccius, Petrus Joseph",former owner,,,Petrus Joseph Puccius,human,Q123851949,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599091Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381558Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527780Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360557Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800684Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455949Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362172Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954570Z","Ritman, Joost R",former owner,,,Joost Ritman,human,Q936962,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599094Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381564Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527785Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360561Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800689Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455956Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362176Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954575Z","Räbeln, Andreas",author,,,Andreas Räbeln,human,Q123851958,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599101Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381584Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527792Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360565Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800695Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455960Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362181Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954580Z","Tenschert, Heribert",former owner,,,Heribert Tenschert,human,Q2716954,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599104Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381591Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527798Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360574Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800700Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455963Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362185Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954586Z","Thomas, Alan G",former owner,,,,,,human,Alan G. Thomas,Q4706665
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599107Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381598Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.527813Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360579Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800705Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455969Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362188Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954591Z","Wadsworth, Frederick Arthur, 1871-",former owner,,,Frederick Arthur Wadsworth,human,Q123852067,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-02T16:45:24.599119Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-02T16:45:44.381607Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-02T16:45:55.528116Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-02T16:46:15.360583Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-02T16:46:27.800712Z | NAME RECON STEP 6: START ORG RECON 2024-01-02T16:48:42.455972Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-01-02T16:48:56.362194Z | NAME RECON STEP 9: FINALIZED 2024-01-02T16:49:13.954596Z","Witten, Laurence C",former owner,,,Laurence Claiborne Witten II,human,Q6500535,,,
