title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label
Alchemical manuscript(s),,,,Alchemical text
British dyer's account book,,,,Account book
Codicillus,,Codicillus.,,Codicillus
In vniuersam natoe philosphiam proceinium,,,,In uniuersam natoe philosphiam proceinium
Italian dyer's notebook,,,,Notebook
Künst Büch von allerhandt rahren undt schönen inventionen so wohl in der Feuerwerckerey Künst als auch in der Büchsenmeisterey zusammen /,,,,Work on fireworks and gunsmithing
Liber de secretis naturae seu de quinta essentia,,,,Liber de secretis naturae
"Praeparatio mercurii ad lapidem per regulam et lunam, ex MSS. Phi Americani",,,,Praeparatio mercurii
Pretiosa margarita novella,,,,Pretiosa margarita novella
"Recipes and extracts on alchemy, medicine, metal-working, cosmetics, veterinary science, agriculture, wine-making, and other subjects",,Secreti.,,Medicinal and alchemical miscellany
Testamentum,,,,Testamentum
"Various works including Lucidarium artis transmutationis metallorum, extracts from the Sommeta and Violetta, and Epistola",,,,Alchemical miscellany
