material_as_recorded,authorized_label,structured_value
,undetermined,http://vocab.getty.edu/aat/300379012
paper,paper,http://vocab.getty.edu/aat/300014109
"paper, ill.",paper,http://vocab.getty.edu/aat/300014109
parchment,parchment,http://vocab.getty.edu/aat/300011851
"parchment, color illustrations",parchment,http://vocab.getty.edu/aat/300011851
"parchment, ill.",parchment,http://vocab.getty.edu/aat/300011851
"parchment, illustration, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music",parchment,http://vocab.getty.edu/aat/300011851
"parchment, music, illustrations",parchment,http://vocab.getty.edu/aat/300011851
"vellum, music",parchment,http://vocab.getty.edu/aat/300011851
