place_as_recorded,authorized_label,structured_value
Arabian Peninsula,Arabian Peninsula,http://vocab.getty.edu/tgn/1012700
Austria,Austria,http://vocab.getty.edu/tgn/1000062
Belgium,Belgium,http://vocab.getty.edu/tgn/1000063
Belgium?,Belgium,http://vocab.getty.edu/tgn/1000063
East Francia,Francia Orientalis,http://vocab.getty.edu/tgn/7024345
Egypt,Egypt,http://vocab.getty.edu/tgn/7016833
England,England,http://vocab.getty.edu/tgn/7002445
"Ferrara, Italy",Ferrara;Italy,http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080
Flanders,Flanders,http://vocab.getty.edu/tgn/7024097
France,France,http://vocab.getty.edu/tgn/1000070
France or Germany,France;Germany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7000084
Germany,Germany,http://vocab.getty.edu/tgn/7000084
Germany (Southern?),Germany;South Germany,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/4004316
Germany?,Germany,http://vocab.getty.edu/tgn/7000084
"Hainaut, Belgium",Hainaut;Belgium,http://vocab.getty.edu/tgn/1003757;http://vocab.getty.edu/tgn/1000063
Italy,Italy,http://vocab.getty.edu/tgn/1000080
Italy?,Italy,http://vocab.getty.edu/tgn/1000080
Morocco,Morocco,http://vocab.getty.edu/tgn/1000179
"Nangis, France",Nangis;France,http://vocab.getty.edu/tgn/1034615;http://vocab.getty.edu/tgn/1000070
"Naples, Italy",Naples;Italy,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/1000080
Netherlands,Netherlands,http://vocab.getty.edu/tgn/7016845
Paris,Paris,http://vocab.getty.edu/tgn/7008038
"Paris, France",Paris;France,http://vocab.getty.edu/tgn/7008038;http://vocab.getty.edu/tgn/1000070
Paris?,Paris,http://vocab.getty.edu/tgn/7008038
Place of publication not identified,undetermined,http://vocab.getty.edu/tgn/7544559
Rome,Rome,http://vocab.getty.edu/tgn/7000874
Spain,Spain,http://vocab.getty.edu/tgn/1000095
Switzerland,Switzerland,http://vocab.getty.edu/tgn/7011731
"Vale of Kashmir, India","Kashmir, Vale of;India",http://vocab.getty.edu/tgn/1111685;http://vocab.getty.edu/tgn/7000198
place of publication not identified,undetermined,http://vocab.getty.edu/tgn/7544559
