title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,authorized_label_add
"Acknowledgement by brother Wouter Everaerts of monastic house, in Flemish",,,,Acknowledgement,
Antiphonal leaf,,Antiphonal,,,Antiphonal
Antiphonary for Palm Sunday,,Antiphonary,,,Antiphonal
"Bible cutting, Matthew",,Bible,,,Bible
Bible leaf with historiated initial,,,,Bible,
"Bible leaf, Daniel",,Bible,,,Bible
"Bible leaf, Deuteronomy",,Bible,,,Bible
"Bible leaf, Ezekiel",,Bible,,,Bible
"Bible leaf, Genesis",,Bible,,,Bible
"Bible leaf, Tobit",,Bible,,,Bible
Bifolium fragment from Vulgate Bible,,Bible,,,Bible
Bifolium fragment from a choirbook,,,,Choirbook,
Binding fragment,,,,Binding fragment,
Binding fragment from Glossa ordinaria,,,,Glossa ordinaria;Bible,
Binding fragment from Justinian's Corpus Iuris Civilis,,Corpus juris civilis,,,Corpus juris civilis
Binding fragment from the Bible of Stephen Harding,,,,Bible;binding fragment,
Book of Hours,,,,Book of hours,
Book of hours,,Book of hours,,Book of hours,
Book of hours bifolium,,Book of hours,,Book of hours,
Book of hours leaf,,Book of Hours,,Book of hours,
Breviary for Day Offices,,Breviary (Dominican),,,Breviary
Breviary fragment,,Breviary,,,Breviary
Breviary leaf,,Breviary,,Breviary,
Breviary leaves,,Breviary,,,Breviary
Bull of Pope Sixtus IV,,Literae de gratia (6 Aug. 1484),,,Papal bull
Calendar from a book of hours,,Book of hours,,,Calendar;Book of hours
Carolingian liturgical manuscript fragment,,,,Liturgical fragment,
Catalonian legal document,,,,Legal document,
Catalonian legal document. sale of land,,,,Legal document,
Charter,,,,Charter,
Choirbook leaf fragment,,,,Choirbook,
Choirbook leaf fragment decorated with monastery and two figures,,,,Choirbook,
Cistercian Missal leaf,,Missal,,,Missal
"Conditions of the Sale of d'Aywiers Abbey, 1791 November 7",,,,Conditions of sale,
"Conveyance of land in Great Dunmow to Richard Phillips, 1659",,,,Conveyance of land,
"Conveyance of lands to Thomas Jackson, 1635 April 18",,,,Conveyance of land,
Cutting from Etymologiae,,,,Etymologiae,
De corpore et sanguine domini,,,,De corpore et sanguine Domini,
Dominican Sisters' office book,,,,Office book,
"Donation, 1222 August, rent of ten Tournai sous, to Abbaye-Aux Dames",,,,Donation,
Dutch calligraphic aphorism,,,,Dutch calligraphic aphorism,
"English court roll, 1603-1611",,,,English court roll,
Excerpts from The golden legend and Sermones de tempore] /,,Legenda aurea,,,Legenda aurea
Expositio in regulam S. Benedicti,,,,Expositio in regulam S. Benedicti,
Foundation charter of Bruern Abbey,,,,Foundation charter of Bruern Abbey,
Fragments from Renaut de Montauban,,,,Fragments from Renaut de Montauban,
German Missal Fragment,,,,Missal,
"German Missal Fragment, 14th century",,,,Missal,
Gradual leaf,,Gradual,,,Gradual
"Grant, 1182, of lands to the Abbey of Messines, France",,,,Land grant,
"Grant, 1220 October 23, of church and land to the Dominicans of Milan",,,,Land grant,
"Grant, 1241 March 1, of Land to the Abbey of La Garde-Dieu",,,,Land grant,
"Grant, 1427 October 1, of land from Sir William Babyngton to John and Matilda Howes",,,,Land grant,
Homiliae in evangelia; bifolium fragment,,,,,Sermons
Iconography of fifty hand colored full-figure drawings of male and female members of religious orders in their habits,,,,Drawings of religious men and women,
In festo corpis xpi [christi] ad us[um] d[om]i[n]i,,Breviary (Dominican),,,Breviary
L'abbaye cistercienne de Cambron legal dispute,,,,Legal dispute,
Leaf from 13th century French pocket Bible,,,,Pocket Bible,
