row_index,workflow_history,subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.647350Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Antiphonaries,a,0,,,,Antiphonaries,http://id.worldcat.org/fast/810657
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Antiphonaries--Early works to 1800,a--v,0,,Antiphonaries;Early works,http://id.worldcat.org/fast/810657;http://id.worldcat.org/fast/1411636,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Aphorisms and apothegms,a,0,,Aphorisms and apothegms,http://id.worldcat.org/fast/811330,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Arabic language--Texts,a--v,0,,Arabic language;Texts,http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423705,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Beghards,a,0,,Beghards,http://id.worldcat.org/fast/829876,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Beguines,a,0,,Beguines,http://id.worldcat.org/fast/829894,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Belgium--Church history--18th century,a--x--y,0,,Belgium;Church history;Eighteenth century,http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/1411629;http://id.worldcat.org/fast/904058,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Belgium--History--12th century--Sources,a--x--y--v,0,,Belgium;History;Twelfth century;Sources,http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1159791;http://id.worldcat.org/fast/1423900,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Belgium--History--15th century--Sources,a--x--y--v,0,,Belgium;History;Fifteenth century;Sources,http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1423900,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-28T15:20:18.037577700Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-28T15:21:04.843095900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:21:46.695678800Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-28T15:34:18.468123900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:35:53.915030800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-28T15:38:26.727326900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:39:05.889742600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-28T15:45:20.463215300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:45:48.938675500Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T15:52:17.008614400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:52:45.648433100Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T15:53:29.844699900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T15:53:48.009930300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T15:54:33.376392800Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:55:04.017923100Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T15:55:46.833922400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T15:56:50.193604100Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T16:03:15.815733600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:04:48.511165900Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T16:06:04.492163Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:06:32.841708300Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T16:07:36.739272900Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T16:08:13.209633600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T16:09:02.528189900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T16:12:07.961767800Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T16:13:09.504235400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T16:14:16.999135200Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T16:15:14.312500100Z",Benefactors--France--Nangis--Registers--Early works to 1800,a--z--z--v--v,0,,Benefactors;France--Nangis;Registers (Lists),http://id.worldcat.org/fast/830324;http://id.worldcat.org/fast/1235736;http://id.worldcat.org/fast/1919964,,
