row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Abridgements,aat,http://vocab.getty.edu/aat/300202489,,,abridgements,http://vocab.getty.edu/aat/300202489
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Adventure stories,aat,http://vocab.getty.edu/aat/300254790,adventure stories,http://vocab.getty.edu/aat/300254790,,
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Animal stories,aat,http://vocab.getty.edu/aat/300254800,animal stories,http://vocab.getty.edu/aat/300254800,,
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Animal stories,aat,,animal stories,http://vocab.getty.edu/aat/300254800,,
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Aphorisms,aat,http://vocab.getty.edu/aat/300253001,,,aphorisms,http://vocab.getty.edu/aat/300253001
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Art,lcgft,http://id.loc.gov/authorities/genreForms/gf2017027218,,,Art,http://id.worldcat.org/fast/815177
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Art,fast,http://id.worldcat.org/fast/1423702,,,Art,http://id.worldcat.org/fast/815177
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Astronomical charts,aat,,astronomical charts,http://vocab.getty.edu/aat/300028164,,
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Biographies,lcgft,http://id.loc.gov/authorities/genreForms/gf2014026049,,,Biographies,http://id.worldcat.org/fast/1919896
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-29T18:12:30.800612800Z | GENRE AAT RECON, STEP 3: START AAT RECON 2023-12-29T18:12:43.169892700Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2023-12-29T18:13:06.105026300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2023-12-29T18:13:18.591307100Z | GENRE FAST RECON, STEP 3: START FAST RECON 2023-12-29T18:13:37.008791800Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2023-12-29T18:13:58.285640700Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2023-12-29T18:14:11.799200500Z | GENRE RECON, STEP 7: FINALIZED 2023-12-29T18:14:24.262327700Z",Biographies,fast,http://id.worldcat.org/fast/1919896,,,Biographies,http://id.worldcat.org/fast/1919896
