row_index,workflow_history,subject_as_recorded,subfield_codes,authorized_label_add,structured_value_add,vocab,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.512030800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.212611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.332682200Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.873708800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.171752Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.410071Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.489461800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",17th century,a,,,fast,,Seventeenth century,http://id.worldcat.org/fast/1113663
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.212611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.410071Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.489461800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Agni (Hindu deity),a;c,Agni (Hindu deity),http://id.worldcat.org/fast/800393,fast,http://id.worldcat.org/fast/800393,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.410071Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Agni (Hindu deity),a;c,Agni (Hindu deity),http://id.worldcat.org/fast/800393,0,http://id.loc.gov/authorities/names/n2017240192,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.410071Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z","Amaracandrasūri, active 13th century. Kavyakalpalatā",a;d;t,,,0,,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.410071Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z","Annambhaṭṭa, active 17th century. Tarkasaṅgraha",a;d;t,Tarkasaṅgraha (Annambhaṭṭa),http://id.worldcat.org/fast/1361790,0,http://id.loc.gov/authorities/names/n82119557,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.411073200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z","Annambhaṭṭa, active 17th century. Tarkasaṅgraha--Early works to 1800",a;d;t--v,Tarkasaṅgraha (Annambhaṭṭa);Early works,http://id.worldcat.org/fast/1361790;http://id.worldcat.org/fast/1411636,0,,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.195116700Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.411073200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Annapūrṇā (Hindu deity),a;c,Annapūrṇā (Hindu deity),http://id.worldcat.org/fast/809712,0,http://id.loc.gov/authorities/names/no2019090136,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.196114800Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.411073200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Annapūrṇā (Hindu deity),a;c,Annapūrṇā (Hindu deity),http://id.worldcat.org/fast/809712,fast,http://id.worldcat.org/fast/809712,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.196114800Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.411073200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Aranyakas. Aitareyāraṇyaka,a;p,Aranyakas. Aitareyāraṇyaka,http://id.worldcat.org/fast/1366264,fast,http://id.worldcat.org/fast/1366264,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-03T13:37:55.015045500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-03T13:39:06.239679100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T13:40:25.871610700Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-03T14:10:23.519030100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T14:18:24.213611700Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-03T17:50:20.335681800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T17:50:40.196114800Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-03T18:06:39.875708300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:07:12.801204300Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-03T18:07:40.807019700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-03T18:08:00.173873600Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-03T18:22:02.172753300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:23:59.138070300Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-03T18:24:18.411073200Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-03T18:26:35.490294200Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-03T18:27:25.266864100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-03T18:28:11.860825400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-03T18:28:45.268245200Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-03T18:38:23.639972600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-03T18:38:51.003867300Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-03T18:39:22.410426Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-03T18:39:54.786335800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-03T18:40:26.816010800Z",Aranyakas. Aitareyāraṇyaka.--Selections,a;p--k,Aranyakas. Aitareyāraṇyaka;Excerpts,http://id.worldcat.org/fast/1366264;http://id.worldcat.org/fast/1692837,0,,,
