row_index,workflow_history,subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.006651900Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521280700Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Advaita,a,fast,http://id.worldcat.org/fast/797410,Advaita,http://id.worldcat.org/fast/797410,,
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Advaita,a,0,http://id.loc.gov/authorities/subjects/sh85001058,Advaita,http://id.worldcat.org/fast/797410,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Advaita,a,0,,Advaita,http://id.worldcat.org/fast/797410,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Advaita--Early works to 1800,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100676,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Advaita--Early works to 1800,a--x,0,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Aesthetics,a,fast,http://id.worldcat.org/fast/798702,Aesthetics,http://id.worldcat.org/fast/798702,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z","Aesthetics, Indic",a,0,http://id.loc.gov/authorities/subjects/sh85001462,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z","Aesthetics, Indic",a,fast,http://id.worldcat.org/fast/798781,"Aesthetics, Indic",http://id.worldcat.org/fast/798781,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Aesthetics--Poetry,a--v,0,,Aesthetics;Poetry,http://id.worldcat.org/fast/798702;http://id.worldcat.org/fast/1423828,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2023-12-27T20:39:57.761408500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2023-12-27T20:44:02.340751100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2023-12-27T22:32:34.007651600Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:36:07.011248100Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2023-12-27T22:43:44.234925300Z | KNOWN SUBJECT RECON APPLIED 2023-12-27T22:44:07.105095400Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2023-12-27T23:05:39.709485700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:31:53.521685900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2023-12-28T14:36:06.780503600Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:37:13.340898500Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2023-12-28T14:41:35.377424400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:42:03.029600700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2023-12-28T14:44:24.417635300Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:44:53.709472800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2023-12-28T14:45:40.561648700Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:46:10.509325Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2023-12-28T14:53:43.042492900Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:54:26.247641200Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2023-12-28T14:54:45.299508500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2023-12-28T14:55:23.107760400Z | KNOWN SUBJECT RECON APPLIED 2023-12-28T14:55:52.270994600Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2023-12-28T14:57:21.335390100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2023-12-28T14:57:51.570128500Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2023-12-28T14:58:25.585639400Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2023-12-28T14:59:12.677978900Z | SUBJECT RECON, STEP 45: FINALIZED 2023-12-28T14:59:44.240513200Z",Agama,a,0,http://id.loc.gov/authorities/subjects/sh85002033,Agama,http://id.worldcat.org/fast/800080,,
