row_index,workflow_history,genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629183Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.336015900Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Almanacs--Germany--15th century,aat,,almanacs;Germany;Fifteenth century,http://vocab.getty.edu/page/aat/300026705;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
2,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Antiphonaries--France--18th century,aat,,antiphonaries;France;Eighteenth century,http://vocab.getty.edu/page/aat/300188812;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/904058,,
3,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Antiphonaries--Germany--15th century,aat,,antiphonaries;Germany;Fifteenth century,http://vocab.getty.edu/page/aat/300188812;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,,
4,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Antiphonaries--Germany--18th century,aat,,antiphonaries;Germany;Eighteenth century,http://vocab.getty.edu/page/aat/300188812;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/904058,,
5,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Antiphonaries--Italy--17th century,aat,,antiphonaries;Italy;Seventeenth century,http://vocab.getty.edu/page/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1113663,,
6,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Armorial bindings (Provenance),rbprov,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,,
7,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Armorial bookplates (Provenance),rbprov,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132,,
8,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Atlases (Geographic),rbgenr,,Atlases (Geographic),http://id.loc.gov/vocabulary/rbmscv/cv00161,,
9,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.493934600Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Atlases (Geographic),aat,,atlases,http://vocab.getty.edu/page/aat/300028053,,
10,"GENRE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-13T15:10:29.494903900Z | GENRE AAT RECON, STEP 3: START AAT RECON 2024-01-13T15:11:04.065225900Z | GENRE AAT RECON, STEP 4: KNOWN AAT APPLIED 2024-01-13T15:11:20.629246300Z | GENRE AAT RECON, STEP 6: AAT IDs ADDED 2024-01-13T15:11:36.404706500Z | GENRE FAST RECON, STEP 3: START FAST RECON 2024-01-13T15:11:48.337013Z | GENRE FAST RECON, STEP 4: KNOWN FAST APPLIED 2024-01-13T15:12:01.328910400Z | GENRE FAST RECON, STEP 6: FAST IDs ADDED 2024-01-13T15:12:17.651985800Z | GENRE RECON, STEP 7: FINALIZED 2024-01-13T15:12:30.723767300Z",Atlases (Geographic)--France--16th century,rbgenr,,Atlases (Geographic);France;Sixteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00161;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
