row_index,workflow_history,subject_as_recorded,subfield_codes,authorized_label_add,structured_value_add,vocab,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.793483500Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.265579400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.061966200Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.080384900Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.771118Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.900511700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.031624800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.967282800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.715239800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.558943700Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Aeneas (Legendary character)--Poetry,a;c--v,Aeneas (Legendary character);Poetry,http://id.worldcat.org/fast/798041;http://id.worldcat.org/fast/1423828,0,,,
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.265579400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.031624800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.967282800Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.715239800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.558943700Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z","Al-Munajjim al-Kashi, Yahya ibn Imad bin Yahya",a,,,4,,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.715239800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.558943700Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z","Alexander VII, Pope, 1599-1667",a;b;c;d,"Alexander VII, Pope, 1599-1667",http://id.worldcat.org/fast/139321,0,http://id.loc.gov/authorities/names/n84121289,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.715239800Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.558943700Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Aristotle. Physics.--Book 8,a;t--n,Physics (Aristotle),http://id.worldcat.org/fast/1356964,0,http://id.loc.gov/authorities/names/n99035595,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.716243100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Battle Abbey,a,Battle Abbey,http://id.worldcat.org/fast/520551,0,http://id.loc.gov/authorities/names/n50077065,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.716243100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Bible--Commentaries,a--v,,,0,http://id.loc.gov/authorities/subjects/sh85013597,Bible;Commentaries,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423723
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.716243100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.010594500Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Bible--Commentaries--Early works to 1800,a--v--v,,,0,,Bible;Commentaries;Early works,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.926975500Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.716243100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.011595400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z","Bible--Criticism, interpretation, etc",a--x,,,0,http://id.loc.gov/authorities/subjects/sh85013617,Bible;Criticism and interpretation,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1198648
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.064960400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.927979600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.716243100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.011595400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Bible--History of Biblical events,a--x,Bible;History of Biblical events,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1865053,0,http://id.loc.gov/authorities/subjects/sh85013655,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-11T22:01:54.795487900Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-11T22:02:24.266579600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:03:06.706636100Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-11T22:14:08.065962500Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:17:12.081386800Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-11T22:18:19.880784600Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:19:29.927979600Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-11T22:33:34.797320400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-11T22:34:30.299230400Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-13T18:06:27.903511900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:07:10.228033900Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-13T18:10:45.747143600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:11:09.625782700Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-13T18:13:46.032624600Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-13T18:14:14.808229300Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-01-13T18:14:30.968283400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-13T18:16:21.717244400Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-13T18:16:54.559944Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-13T18:17:18.011595400Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-13T18:17:46.303800300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-13T18:18:21.992553Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-13T18:19:26.891926Z",Bible--Meditations--Early works to 1800,a--v--v,Bible;Meditations;Early works,http://id.worldcat.org/fast/1356024;http://id.worldcat.org/fast/1423849;http://id.worldcat.org/fast/1411636,0,,,
