row_index,workflow_history,subject_as_recorded,authorized_label_add,structured_value_add,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.337194Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.092475200Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.215168100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.823319300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.415708100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.721961900Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.943077600Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.618710400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.394836500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.952542600Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.287384700Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.654097300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Agriculture--Early works to 1800,,,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100872,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.415708100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.946078300Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.618710400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.953541700Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.654097300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Alchemy--Early works to 1800,,,a--v,0,http://id.loc.gov/authorities/subjects/sh2007100968,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.415708100Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.618710400Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.953541700Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.654097300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Allegories--Poetry,Allegories;Poetry,http://id.worldcat.org/fast/805512;http://id.worldcat.org/fast/1423828,a--v,0,,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.953541700Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.654097300Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z","Almanacs, German--Early works to 1800","Almanacs, German;Early works",http://id.worldcat.org/fast/805806;http://id.worldcat.org/fast/1411636,a--v,0,,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",America--Discovery and exploration--Spanish,America;Discoveries in geography--Spanish,http://id.worldcat.org/fast/1239786;http://id.worldcat.org/fast/1695187,a--x--x,0,http://id.loc.gov/authorities/subjects/sh85004256,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.979565600Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",America--Discovery and exploration--Spanish--Sources,America;Discoveries in geography--Spanish;Sources,http://id.worldcat.org/fast/1239786;http://id.worldcat.org/fast/1695187;http://id.worldcat.org/fast/1423900,a--x--x--v,0,,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.980567400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",America--Early accounts to 1600,America,http://id.worldcat.org/fast/1239786,a--v,0,http://id.loc.gov/authorities/subjects/sh85004258,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.980567400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Anti-clericalism--England--16th century,Anti-clericalism;England;Sixteenth century,http://id.worldcat.org/fast/810314;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1119851,a--z--y,0,,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.217172100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.980567400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.432237900Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Antiphonaries--Early works to 1800,,,a--v,0,,Antiphonaries;Early works,http://id.worldcat.org/fast/810657;http://id.worldcat.org/fast/1411636
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-09T20:48:12.338196100Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-01-09T20:48:58.186791100Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:49:47.698401500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-01-09T20:59:26.093450300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T20:59:44.104272200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-01-09T21:03:53.313413600Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:04:16.494736300Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-01-09T21:26:49.218169800Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:28:12.915982600Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-01-09T21:38:56.836594700Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:40:24.409530300Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-01-09T21:41:39.416708600Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-09T21:42:16.372535900Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-01-09T21:53:03.723961300Z | KNOWN SUBJECT RECON APPLIED 2024-01-09T21:53:58.801461500Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-01-10T14:47:21.947076800Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T14:47:59.619708700Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-01-10T15:10:03.396831200Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-10T15:10:55.980567400Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-01-10T15:14:06.954542Z | KNOWN SUBJECT RECON APPLIED 2024-01-10T15:43:36.338505800Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-01-11T21:52:37.288384400Z | KNOWN SUBJECT RECON APPLIED 2024-01-11T21:53:44.655097200Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-01-11T21:54:23.855835300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:54:59.931473700Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-01-11T21:55:41.099610500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-01-11T21:57:02.160888300Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-01-11T21:58:04.434863200Z | SUBJECT RECON, STEP 45: FINALIZED 2024-01-11T21:58:22.503658500Z",Arianism--Early works to 1800,Arianism;Early works,http://id.worldcat.org/fast/814376;http://id.worldcat.org/fast/1411636,a--v,0,,,
