row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.107625700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",   ,   ,undetermined language,Q22282914,,
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.113330600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",;;;,|||,undetermined language,Q22282914,,
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",Headings of each Star Chamber report in Latin,enm;lat,,,Latin,Q397
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Arabic,ara,,,Arabic,Q13955
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Arabic and Persian,ara;per,,,Arabic;Persian,Q13955;Q9168
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z","In Arabic, Persian and Turkish",ara;per;ota,,,Arabic;Persian;Turkish,Q13955;Q9168;Q256
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Armenian,arm,,,Armenian,Q8785
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Church Slavic,chu,,,Church Slavonic,Q33251
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Czech,cze,,,Czech,Q9056
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-04T17:26:37.115318700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-04T17:27:12.112943500Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2024-02-04T17:27:29.301Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-04T17:27:46.718055700Z",In Dutch,dut,,,Dutch,Q7411
