row_index,workflow_history,subject_as_recorded,authorized_label_add,structured_value_add,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value
1,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.095230800Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.422498Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.997778100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z",Aachen family,,,a,0,,,
2,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z","Aachen, Hans von, 1552-1615","Aachen, Hans von, 1552-1615",http://id.worldcat.org/fast/260595,a;d,0,,,
3,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z","Abbaye Saint-André (Villeneuve-lès-Avignon, France)","Abbaye Saint-André (Villeneuve-lès-Avignon, France)",http://id.worldcat.org/fast/774515,a,0,,,
4,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z",Abbaye de Corbie,Abbaye de Corbie,http://id.worldcat.org/fast/676843,a,0,,,
5,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z",Abbaye de Fontfroide,Abbaye de Fontfroide,http://id.worldcat.org/fast/1628589,a,0,,,
6,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z","Abbaye de Montier-en-Der (Montier-en-Der, France)","Abbaye de Montier-en-Der (Montier-en-Der, France)",http://id.worldcat.org/fast/768564,a,0,,,
7,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z",Abbazia di Morimondo,Abbazia di Morimondo,http://id.worldcat.org/fast/690519,a,0,,,
8,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z",Abbazia di Morimondo--Library--Catalogs,Abbazia di Morimondo;Library catalogs;Catalogs,http://id.worldcat.org/fast/690519;http://id.worldcat.org/fast/997669;http://id.worldcat.org/fast/1423692,a--x--v,0,,,
9,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z","Abbazia di S. Maria di Porcilia (Padua, Italy)",,,a,4,,,
10,"SUBJECT RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-16T21:08:30.096229200Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2024-02-16T21:10:26.723348700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-16T21:11:01.377420500Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2024-02-17T19:39:20.811643700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:31:30.385381200Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2024-02-17T23:32:48.087408100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-17T23:33:27.702981900Z | SUBJECT RECON, STEP 12: START SUBJECT RECON 4 2024-02-17T23:51:29.051700Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:09:33.424496900Z | SUBJECT RECON, STEP 15: START SUBJECT RECON 5a 2024-02-18T00:11:01.344711100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:12:07.020141400Z | SUBJECT RECON, STEP 18: START SUBJECT RECON 5b 2024-02-18T00:46:48.070010500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:47:18.608034Z | SUBJECT RECON, STEP 21: START SUBJECT RECON 6 2024-02-18T00:49:06.998776800Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:49:42.023511800Z | SUBJECT RECON, STEP 24: START SUBJECT RECON 7a 2024-02-18T00:51:57.510281900Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T00:52:52.678778Z | SUBJECT RECON, STEP 27: START SUBJECT RECON 7b 2024-02-18T00:55:33.255159700Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T00:55:59.134321500Z | SUBJECT RECON, STEP 30: START SUBJECT RECON 8 2024-02-18T00:59:03.808337Z | SUBJECT RECON, STEP 33: START SUBJECT RECON 9a 2024-02-18T01:00:24.426820100Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:01:44.973358100Z | SUBJECT RECON, STEP 36: START SUBJECT RECON 9b 2024-02-18T01:02:45.258233500Z | KNOWN SUBJECT (FORM) RECON APPLIED 2024-02-18T01:04:28.339045100Z | SUBJECT RECON, STEP 39: START SUBJECT RECON 10a 2024-02-18T01:05:02.160416400Z | KNOWN NAMED SUBJECT RECON APPLIED 2024-02-18T01:06:03.688895500Z | SUBJECT RECON, STEP 42: START SUBJECT RECON 10b 2024-02-18T01:06:58.005205800Z | SUBJECT RECON, STEP 45: FINALIZED 2024-02-18T01:07:57.765643500Z","Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983? Muqaddimah",,,a;d;t,0,,,
