row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of_2,authorized_label_2,structured_value_2,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.193831Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.246868Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.512784Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.360551Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155335Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149433Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559596Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.954596Z",Aaron ben Moses,former owner,,,Aaron ben Moses,human,Q124566701,,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194725Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.252474Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.513905Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.390817Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155695Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149728Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559823Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955840Z","Abati, Giovanni Battista",author,,,Giovanni Battista Abbati,human,Q110914659,,,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194733Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.257203Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514360Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393302Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155700Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149736Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559839Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955851Z",Abbaye de Dommartin,former owner,,,Abbaye de Dommartin,organization,Q2424223,,,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194737Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258331Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514365Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393337Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155702Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149738Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559842Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955868Z",Abbaye de Fontfroide,former owner,,,Fontfroide Abbey,organization,Q334263,,,,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194742Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258349Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514373Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393351Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155705Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149740Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559845Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955874Z",Abbaye de Pontigny,former owner,,,Pontigny Abbey,organization,Q591296,,,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194745Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258359Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514383Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393354Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155707Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149744Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559853Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955879Z",Abbazia di Morimondo,former owner,,,,,,,,,organization,Abbey of Morimondo,Q1775687
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194747Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258378Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514389Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393356Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155709Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149746Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559860Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955887Z",Abbey of Bury St. Edmunds,former owner,,,Bury St Edmunds Abbey,organization,Q334286,,,,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194752Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258387Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514392Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393364Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155711Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149748Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559863Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955892Z","Abbey of St. Mary of Oliva (Oliwa, Poland)",former owner,,,Santa María de la Oliva,organization,Q110621,,,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194754Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258396Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514399Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393367Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155713Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149752Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559870Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955897Z","Abraham, active 1457",former owner,,,Abraham,human,Q124617911,,,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-01-30T19:48:07.194756Z | NAME RECON STEP 3: START HUMAN RECON 2024-01-30T20:02:28.258412Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-01-30T20:02:47.514404Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-01-30T20:04:14.393369Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-01-30T20:04:33.155716Z | NAME RECON STEP 6: START ORG RECON 2024-02-16T18:24:24.149754Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-16T18:31:09.559873Z | NAME RECON STEP 9: FINALIZED 2024-02-19T20:00:42.955904Z",Abtei Gladbach,former owner,,,Gladbach Abbey,organization,Q1309858,,,,,,
