row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236061Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726391Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145318Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.142973Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822589Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.521645Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.085389Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469463Z","""B""",scribe,,,,,,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236424Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726599Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145641Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143200Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822902Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.521899Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.085460Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469767Z",Alexander de Villa Dei,author,,,,,,human,Alexander of Villedieu,Q692413
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236428Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726607Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145650Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143203Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822910Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.521912Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086124Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469771Z",Ambrose of Milan,author,,,,,,human,Ambrose,Q43689
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236434Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726610Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145655Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143214Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822923Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.521917Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086129Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469775Z","Ambrose of Milan, attributed to",author,,,,,,human,Ambrose,Q43689
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236436Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726612Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145661Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143218Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822926Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522058Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086132Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469780Z",Anthoine de Longemont,other,,,Anthoine de Longemont,human,Q124515265,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236439Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726617Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145664Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143220Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822931Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522067Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086136Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469784Z","Antonio Lauro, chaplan of S. Salvatore, preparer of document",other,,,Antonio Lauro,human,Q56628251,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236443Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726619Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145668Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143226Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822937Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522072Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086139Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469787Z",Antonio Perez,author,,,Antonio Pérez,human,Q772704,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236447Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726621Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145675Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143294Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822939Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522077Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086141Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469798Z",Aristotle?,other,,,,,,human,Aristotle,Q868
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236450Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726629Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145696Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143298Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822948Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522090Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086149Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469807Z",Arnulf of Lisieux,author,,,,,,human,Arnulf of Lisieux,Q584833
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236455Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726631Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145704Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143307Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822951Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522095Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086151Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469810Z",Audax,author,,,,,,human,Audax,Q28441319
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236458Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726637Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145716Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143311Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822956Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522099Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086154Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469815Z",Augustine,other,,,,,,human,Augustine of Hippo,Q8018
