row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648222Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.523795Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169076Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010004Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389025Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762594Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397442Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890209Z","Abdel Gawad, Mohammed",author,,,Mohammed Abdel Gawad,human,Q124629900,,,
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648488Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524108Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169418Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010085Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389863Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762920Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397711Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890476Z","Benincà, Bartolomeo de",illuminator,,,Bartolomeo de Benincà,human,Q2886106,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648510Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524124Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169425Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010088Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389875Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762927Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397714Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890493Z","Brambilla, Giovanni Alessandro, 1728-1800",former owner,,,Giovanni Alessandro Brambilla,human,Q142120,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648515Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524129Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169428Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010092Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389883Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762933Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397724Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890498Z",Catholic Church,author,,,,,,organization,Catholic Church,Q9592
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648519Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524134Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169436Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010096Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389888Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762951Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397732Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890536Z",Catholic Church. Pope (1294-1303 : Boniface VIII),author,,,Boniface VIII,human,Q134646,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648528Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524142Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169445Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010101Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389901Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762955Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397734Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890547Z",Church of the East,author,,,Church of the East,human,Q989799,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648532Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524146Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169448Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010103Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389909Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762960Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397748Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890551Z","Cyriacus, Bishop of al-Bahnasā",author,,,"Cyriacus, Bishop of al-Bahnasā",human,Q124629901,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.648736Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524151Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169455Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010107Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389915Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762967Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397757Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890555Z","Dauphinais, Sarah",former owner,,,Sarah Dauphinais,human,Q124629902,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649644Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524165Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169461Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010110Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389930Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762971Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397763Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890562Z","Ege, Otto F",former owner,,,,,,human,Otto Ege,Q7109575
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649652Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524170Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169464Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010113Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389941Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762975Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397768Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890566Z",England. Sovereign (1327-1377 : Edward III),author,,,Edward III of England,human,Q129247,,,
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649661Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524174Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169468Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010120Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389946Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762984Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397770Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890570Z","Este, Leonello d', 1407-1450",former owner,,,,,,human,"Leonello d'Este, Marquis of Ferrara",Q1379797
