name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_qid_add,ds_id_add,instance_of,authorized_label,structured_value,ds_qid
Abbazia di Morimondo,former owner,,http://id.loc.gov/authorities/names/nr93035920 http://id.loc.gov/authorities/names/nr93035920 http://viaf.org/viaf/sourceID/LC%7cnr93035920,,,,,,organization,Abbey of Morimondo,Q1775687,Q12821
Abū al-Baqāʼ ibn Khvajah Bahā al-Dīn ibn Khvājah Aḥmad,author,,,human,Abū al-Baqāʼ ibn Khvajah Bahā al-Dīn ibn Khvājah Aḥmad,Q127510449,Q42607,DSNAME5915,,,,
"Acquafredda (Monastery : Milan, Italy)",former owner,,,organization,Abbazia dell'Acquafredda,Q1774918,Q42608,DSNAME5916,,,,
"Albertus, de Saxonia, -1390",author,,,,,,,,human,Albertus de Saxonia,Q61044,Q40105
"Albrecht, Bishop of Strassburg, 1440-1506",author,,,,,,,,human,Albrecht von Pfalz-Mosbach,Q1739358,Q40110
"Alfonso X, King of Castile and Leon, 1221-1284",author,,https://viaf.org/viaf/66476694,,,,,,human,Alfonso X of Castile and Leon,Q47595,Q20317
"Almodovar, Marqués de",author,,,human,"Pedro Francisco de Luján y Góngora, 1st Duke of Almodóvar del Río",Q650390,Q42609,DSNAME5917,,,,
"Anṣārī al-Harawī, ʻAbd Allāh ibn Muḥammad, 1006-1089",author,,,human,Khwaja Abdullah Ansari,Q558205,Q42610,DSNAME5918,,,,
"Antonio das Chagas, Father, 1631-1682",author,,,human,António das Chagas,Q4777629,Q42611,DSNAME5919,,,,
"Arce y Reinoso, Diego, 1586-1660",former owner,,,human,Diego de Arce y Reinoso,Q5274856,Q42612,DSNAME5920,,,,
Aristotle,author,,,,,,,,human,Aristotle,Q868,Q395
"Arredondo, Gonzalo de, -approximately 1522",author,,,human,Gonzalo de Arredondo y Alvarado,Q64134713,Q42613,DSNAME5921,,,,
"Aubigné, Agrippa d', 1552-1630",author,,,human,Agrippa d'Aubigné,Q334950,Q42614,DSNAME5922,,,,
"Augustine, of Hippo, Saint, 354-430",author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Balsamo, Niccolò, active 15th century",author,,,human,Niccolò Balsamo,Q127510485,Q42615,DSNAME5923,,,,
"Barbaro, Daniel, 1514-1570",author,,,human,Daniele Barbaro,Q378870,Q42616,DSNAME5924,,,,
"Barrantes Maldonado, Pedro, 1510-",author,,,human,Pedro Barrantes Maldonado,Q113806739,Q42617,DSNAME5925,,,,
"Barrionuevo, Garcia",author,,,human,Garcia Barrionuevo,Q127510469,Q42618,DSNAME5926,,,,
"Bellenden, Jacobo",author,,,human,Jacobo Bellenden,Q127510474,Q42619,DSNAME5927,,,,
"Benediktinerabtei St. Matthias (Trier, Germany)",former owner,,,organization,St. Matthias' Abbey,Q666976,Q42620,DSNAME5928,,,,
"Bernáldez, Andrés, -1513",author,,,human,Andrés Bernáldez,Q523860,Q42621,DSNAME5929,,,,
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153",author,,http://viaf.org/viaf/59875293,,,,,,human,Bernard of Clairvaux,Q188411,Q10865
"Bernhard I, Duke of Saxe-Meiningen, 1649-1706",former owner,,,human,Bernhard I of Saxe-Meiningen,Q63240,Q42622,DSNAME5930,,,,
"Bīdil, ʻAbd al-Qādir, 1644 or 1645-1720 or 1721",author,,,human,Abdul-Qādir Bēdil,Q2355593,Q42623,DSNAME5931,,,,
"Biondi, Giuseppe",author,,,human,Giuseppe Biondi,Q62401783,Q42624,DSNAME5932,,,,
"Blasius, Martinus Silicaeus Joannes",author,,,human,Juan Martínez Silíceo,Q1369930,Q42625,DSNAME5933,,,,
"Blount, Thomas, active 16th century",author,,,human,Thomas Blount,Q127510475,Q42626,DSNAME5934,,,,
"Boccaccio, Giovanni, 1313-1375",author,,,,,,,,human,Giovanni Boccaccio,Q1402,Q418
"Boethius, -524",author,,,,,,,,human,Boethius,Q102851,Q398
"Bolter, Richard, 15th cent",author,,,human,Richard Bolter,Q127510440,Q42627,DSNAME5935,,,,
"Bonaventure, Saint, Cardinal, approximately 1217-1274",author,,,,,,,,human,Bonaventure,Q43746,Q1935
"Bote, Conrad, active 1475-1501",author,,,human,Conrad Bote,Q1781941,Q42628,DSNAME5936,,,,
"Bramieri, Stefano",author,,,human,Stefano Bramieri,Q127510489,Q42629,DSNAME5937,,,,
"Brechtel, Stephan, active 16th century",author,,,human,Stephan Brechtel,Q55847423,Q42630,DSNAME5938,,,,
"Brooke, Thomas, Sir, 1830-1908",former owner,,,,,,,,human,"Sir Thomas Brooke, 1st Baronet",Q33389639,Q1605
"Bruni, Leonardo, 1369-1444",author,,,,,,,,human,Leonardo Bruni,Q314488,Q1924
Byland Abbey,author,,,organization,Byland Abbey,Q1018528,Q42631,DSNAME5939,,,,
"Capponi, Gino, approximately 1350-1420",author,,,human,Gino Capponi,Q127510478,Q42632,DSNAME5940,,,,
"Caracciolo, Roberto, 1425-1495",author,,,human,Roberto Caracciolo,Q15430545,Q42633,DSNAME5941,,,,
"Carenas, Francisco, -1632",author,,,human,Francisco Carenas,Q127510497,Q42634,DSNAME5942,,,,
"Carlos, Prince of Viana, 1421-1461",author,,,human,"Charles, Prince of Viana",Q470641,Q42635,DSNAME5943,,,,
"Carrillo (Family : Huete, Spain",author,,,organization,Carrillo family,Q127510452,Q42636,DSNAME5944,,,,
"Carrillo y Laso, Alonso, 1582-1647",author,,,human,Alonso Carrillo y Laso,Q127510463,Q42637,DSNAME5945,,,,
"Cassian, John, approximately 360-approximately 435",author,,,,,,,,human,John Cassian,Q313795,Q20337
"Castellá Ferrer, Mauro, 1567-1612",author,,,human,Mauro Castellá Ferrer,Q55835591,Q42638,DSNAME5946,,,,
