title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Commentaria in Vetus Testamentum, Genesis, Libri I et II Regum",,,,Bible commentary,Q1433,,
"Epistola Iacobi ; Epistolae Petri I-II ; Epistola Iohannis I, 1-IV, 3",,Bible,,Bible,Q661,,
Postilla sup[er] epistolas Pauli ap[osto]li,,Postilla super Epistolas Pauli (Ms. UCB 19),,Commentary on Pauline Epistles,Q5954,,
Apocryphal Gospels,,,,Gospels,Q6034,,
Kunstlichs unnd zierlichs schreibens; a calligraphy sampler,,,,Calligraphy,Q39902,,
"Hymnarium, sive, Hymni per circulum anni",,Hymnary (Ms. UCB 22),,Hymnal,Q17601,,
Miscellanea ecclesiastica,,,,Religious texts,Q5037,,
Epistola ... pertinente ad la perfectione de la vita [ed altre opere,,Epistola de perfectione vitae,,Epistola de perfectione vitae,Q48510,,
Sermones ; Epistolae,,Sermons (Ms. UCB 25),,Sermons,Q1400,,
Breviarium Romanum,,Breviary (Ms. UCB 26),,Breviary,Q657,,
Ordo Breviarii Moguntinum,,Ordo Breviarii (Ms. UCB 27),,Breviary,Q657,,
Psalterium et preces ad usum Gandarum,,Psalter (Ms. UCB 28),,Psalter,Q660,,
Horae Beatae Virginis Mariae ad usum Parisiensem,,Book of hours (Ms. UCB 29),,Book of hours,Q795,,
Horae Beatae Virginis Mariae ad usum Romanum,,Book of hours (Ms. UCB 30),,Book of hours,Q795,,
Book of hours,,Book of hours (Ms. UCB 31),,,,Book of hours,Q795
"Spanish legal documents concerning a disputed grant of nobility; Zafra, Spain",,,,Legal documents,Q3717,,
Almi viri Francisci Senensis vita,,,,Life of Saint Francis,Q19927,,
"Grant in fee simple, 1420 Aug. 28, by Richard Bolter and Geoffrey Hale to Gregory Irmynglond, John Mogell, John Thrower, and William Cobbe, of land and marsh in Norfolk",,,,Land grant,Q27821,,
"Probate copy of a will, 1549 Nov. 15, of Robert Reade of Colby, County Norfolk",,,,Will and probate,Q27635,,
Elizabethan records,,,,Records,Q8047,,
Collecção Corioza de varias noticias,,,,Collecção Corioza de varias noticias,Q48511,,
Javanese manuscripts,,,,Javanese manuscripts,Q48512,,
Varios,,,,Miscellany,Q3673,,
Horae Beatae Virginis Mariae ad usum Ecclesiae Sarisburiensis,,Book of hours (Ms. UCB 150),,Book of hours,Q795,,
La chanson de geste de Garin le Loherain; France,,Garin le Loherain (Chanson de geste) (Ms. UCB 140),,Garin le Loherain,Q39402,,
La vida y milagros del bien aventurado Sancto Antonio de Padua padre nuestro,,,,Life of Saint Anthony of Padua,Q48513,,
Reglas de la Cofradía de Santa María de la Transfiguración de Çaragoça,,,,Reglas de la Cofradía de Santa María de la Transfiguración de Çaragoça,Q48514,,
Ordinances and proceedings of the Cofradía Mayor de Medinaceli,,,,Ordinances and proceedings of the Cofradía Mayor de Medinaceli,Q48515,,
al-Qurʼān,,Qurʼan,,,,Qurʼan,Q3697
Haft kilīd-i dar-i ganj-i ḥakīm,,Makhzan al-asrār,,Makhzan al-asrār,Q27799,,
