row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:13.863399Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.020687Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.392774Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508016Z",Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.072550Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022495Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.396736Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508801Z","Zapf, Hauptrecht, 1546?-1630",scribe,,,Hauptrecht Zapf,human,Q128031515,DSNAME6098,Q48665,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.072956Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022542Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.396759Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508828Z",Catholic Church,author,,http://viaf.org/viaf/130782063,,,,,,organization,Catholic Church,Q9592,Q425
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.072967Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022558Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.396781Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508855Z","Linebarger, Paul Myron Anthony, 1913-1966",former owner,,,Cordwainer Smith,human,Q937000,DSNAME6099,Q48666,,,,
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.072975Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022576Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.396793Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508884Z","Scheetz, Nicholas B., 1952-2016",former owner,,,Nicholas B. Scheetz,human,Q128031528,DSNAME6100,Q48667,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073010Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022590Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.517276Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508899Z","Petrus, Cantor, approximately 1130-1197",author,,http://id.loc.gov/authorities/names/n86066757,,,,,,human,Peter Cantor,Q1231596,Q41448
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073018Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.022604Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521176Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508921Z","Semont, Jean, active 1413",illuminator,,,Jean Semont,human,Q128122976,DSNAME6101,Q48668,,,,
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073025Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.023059Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521246Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508942Z",Virgil,author,,http://id.loc.gov/authorities/names/n79014062,,,,,,human,Virgil,Q1398,Q6128
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073791Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.023082Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521271Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508956Z","Johannes, von Werdea, approximately 1420-1475",author,,,Johannes von Werdea,human,Q128122995,DSNAME6102,Q48669,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073863Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.023096Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521283Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508976Z",Matheus de Stettindorff,scribe,,,Matheus de Stettindorff,human,Q128123108,DSNAME6103,Q48670,,,,
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073925Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.023113Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521294Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.508994Z",Catholic Church. Pope (1522-1523 : Adrian VI),author,,,Adrian VI,human,Q57087,DSNAME1610,Q8101,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-26T16:24:14.073935Z | NAME RECON STEP 3: START HUMAN RECON 2024-07-26T16:24:53.023126Z | NAME RECON STEP 6: START ORG RECON 2024-07-30T14:38:35.521308Z | NAME RECON STEP 9: FINALIZED 2024-07-30T14:39:24.509008Z",Cathoilc Church,author,,,Catholic Church,organization,Q9592,DSNAME152,Q425,,,,
