place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Genoa,,,,Genoa,http://vocab.getty.edu/tgn/7008546,"Q7800"
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,"Q131"
Czech Republic,,,,Czech Republic,http://vocab.getty.edu/tgn/1001780,"Q38180"
Oxford,Oxford,http://vocab.getty.edu/tgn/7011931,Q3654,,,
Belgium,,,,Belgium,http://vocab.getty.edu/tgn/1000063,"Q1243"
England,,,,England,http://vocab.getty.edu/tgn/7002445,"Q133"
Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,"Q136"
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,"Q651"
France,,,,France,http://vocab.getty.edu/tgn/1000070,"Q122"
Florence?,,,,Florence,http://vocab.getty.edu/tgn/7000457,"Q3084"
Mons,Mons,http://vocab.getty.edu/tgn/7007961,Q19891,,,
Tournai,,,,Tournai,http://vocab.getty.edu/tgn/7008002,"Q16426"
Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,"Q134"
Austria,,,,Austria,http://vocab.getty.edu/tgn/1000062,"Q132"
Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,"Q129"
