subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Illumination of books and manuscripts, Gothic--Italy",0,a--z,,"Illumination of books and manuscripts, Gothic;Italy",http://id.worldcat.org/fast/967296;http://id.worldcat.org/fast/1204565,Q8371;Q249,,,
"Manuscripts, Latin (Medieval and modern)--Italy",0,a--z,,,,,"Manuscripts, Latin (Medieval and modern);Italy",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1204565,Q10783;Q249
"Manuscripts, Medieval--Italy",0,a--z,,,,,"Manuscripts, Medieval;Italy",http://id.worldcat.org/fast/1008422;http://id.worldcat.org/fast/1204565,Q325;Q249
"Illumination of books and manuscripts, Gothic",fast,a,(OCoLC)fst00967296--http://id.worldcat.org/fast/967296,,,,"Illumination of books and manuscripts, Gothic",http://id.worldcat.org/fast/967296,Q8371
Liturgics,fast,a,(OCoLC)fst01000579--http://id.worldcat.org/fast/1000579,,,,Liturgics,http://id.worldcat.org/fast/1000579,Q207
"Manuscripts, Latin (Medieval and modern)",fast,a,(OCoLC)fst01008399--http://id.worldcat.org/fast/1008399,,,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399,Q10783
"Manuscripts, Medieval",fast,a,(OCoLC)fst01008422--http://id.worldcat.org/fast/1008422,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422,Q325,,,
Italy,fast,a,(OCoLC)fst01204565--http://id.worldcat.org/fast/1204565,,,,Italy,http://id.worldcat.org/fast/1204565,Q249
Rituals (Liturgical books)--Texts--Early works to 1800,0,a--v--v,,Rituals (Liturgical books);Texts;Early works,http://id.worldcat.org/fast/1098261;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1411636,Q48505;Q3066;Q300,,,
"Manuscripts, Latin (Medieval and modern)--Germany--Early works to 1800",0,a--z--v,,"Manuscripts, Latin (Medieval and modern);Germany;Early works",http://id.worldcat.org/fast/1008399;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1411636,Q10783;Q3032;Q300,,,
Music--Manuscripts--Germany--Early works to 1800,0,a--x--z--v,,Music;Manuscripts;Germany;Early works,http://id.worldcat.org/fast/1030269;http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1411636,Q287;Q331;Q3032;Q300,,,
Music--Manuscripts,fast,a--x,(OCoLC)fst01030385--http://id.worldcat.org/fast/1030385,,,,Music--Manuscripts,http://id.worldcat.org/fast/1030385,Q4764
