title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_id_add
Notarial document,,,,Notarial document,Q5065,,
Clementinae constitutiones,,Catholic Church. Clementinae constitutiones,,,,Clementinae constitutiones,Q39267
Liber sextus decretalium,,Liber Sextus,,Liber sextus decretalium,Q39559,,
Bible,,Bible,,Bible,Q661,,
Gospel of Luke,,Gospel of Luke,,,,Gospel of Luke,Q1437
Letter of Thomas of Capua,,,,,,Letter,Q1454
Scriptum super IV libros Sententiarum. Liber IV,,Scriptum super IV libros Sententiarum,,,,Sentences,Q1119
Biblical concordance,,,,,,Bible concordance,Q20472
Psalm 102,,,,,,Psalms,Q5972
Doctrinale puerorum,,Doctrinale puerorum,,Doctrinale puerorum,Q44081,,
List of names,,,,,,List of names,Q7419
Legal document,,,,Legal document,Q3666,,
Antiphonal,,Antiphonary,,Antiphonary,Q654,,
Chancery bill,,,,,,Bill,Q39226
lives of Saints Nazarius and Celsus and Pope Sixtus II,,Saints' Lives,,,,Saints' Lives,Q39754
Prayerbook. Psalm,,Psalms,,,,Bible;Psalms,Q661;Q5972
Commentarii in Michaeam,,,,,,Commentary on Micah,Q7424
Choirbook,,Choirbook,,,,Choirbook,Q27536
Missa pro omnibus fidelibus defunctis,,,,,,Missal;Office of the Dead,Q662;Q20494
"Bible. Luke, X, 5",,Bible. Gospel of Luke,,,,Bible;Gospel of Luke,Q661;Q1437
Psalms,,Psalms,,Psalms,Q5972,,
Ordo judiciarius Scientiam,,Ordo judiciorum,,,,Ordo judiciorum,Q7450
"Lectura in Decretales, Lib. 1, pars 1, IV.7",,Lectura in Decretales,,,,Commentary on Decretals of Gregory IX,Q42436
Aeneid,,Aeneid,,Aeneid,Q5978,,
"De viribus cordis, 2.4",,De viribus cordis,,,,De viribus cordis,Q7460
Decretals,,Decretals,,Decretals,Q1447,,
"Missal, Dominica V-VI post Octavas Pentecostes",,Missal,,,,Missal,Q662
Choir Psalter,,Psalter,,Psalter,Q660,,
Sacramentary,,Sacramentary,,Sacramentary,Q653,,
Natale Sanctorum Alexandri: Eventi et Theoduli,,,,,,Life of Saint Alexander,Q7465
Natale Sancti Sebastiani,,,,,,Life of Saint Sebastian,Q7692
Dominica XXIII post Penetecosten,,,,,,Liturgical texts,Q6055
In quinque Decretalium libros novella commentaria,,In quinque Decretalium libros novella commentaria,,,,Commentary on decretals,Q20032
"Missal, Secreta for De Sancto Ieronimo,",,Missal,,,,Missal,Q662
Notarial documents,,,,Notarial documents,Q8060,,
"Missal, Introitus and Oralio pro Vigilia Sancti Andree",,Missal,,,,Missal,Q662
Liturgical,,Liturgical book,,,,Liturgical texts,Q6055
Manor court roll,,,,,,English court roll,Q27655
Sententias I-IV Petri Lombardi,,,,,,Sentences,Q1119
Commentaria in quatuor libros Sententiarum Magistri Petri Lombardi,,Commentaria in quatuor libros Sententiarum Magistri Petri Lombardi,,,,Commentary on Sentences,Q7516
"Rationale divinorum officiorum, 8.3.21-22 and 8.10.3",,Rationale divinorum officiorum,,,,Rationale divinorum officiorum,Q7853
Prefatio in purificatione Sanctae Mariae Virginis,,,,,,Hours of the Virgin,Q8278
Summa theologiae,,Summa theologiae,,Summa theologiae,Q1118,,
De moribus ecclesiae catholicae et de moribus Manichaeorum,,De moribus ecclesiae catholicae,,,,De moribus ecclesiae catholicae,Q7731
Quaestionum in Heptateuchum libri VII,,Quaestionum in Heptateuchum libri VII,,,,Commentary on Judges,Q7748
Liturgical calendar,,Liturgical book,,Liturgical calendar,Q39578,,
