subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Babur, Emperor of Hindustan, 1483-1530",a;c;d,0,http://id.loc.gov/authorities/names/n50053659,"Babur, Emperor of Hindustan, 1483-1530",http://id.worldcat.org/fast/17908,Q48894,,,
"Haidar Ali, Nawab of Mysore, approximately 1722-1782",a;c;d,0,http://id.loc.gov/authorities/names/n85385805,"Haidar Ali, Nawab of Mysore, approximately 1722-1782",http://id.worldcat.org/fast/1822389,Q48895,,,
Qurʼan--Recitation--Early works to 1800,a--x--v,0,,,,,Qurʼan;Recitations;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1091407;http://id.worldcat.org/fast/1411636,Q11441;Q11514;Q300
Saʻdī. Gulistān,a;t,0,http://id.loc.gov/authorities/names/no2018028709,,,,Gulistān (Saʻdī),http://id.worldcat.org/fast/1361914,Q11356
"Shaṭṭārī al-Qādirī, ʻĪsá Jund Allāh ibn Qāsim",a,0,,"Shaṭṭārī al-Qādirī, ʻĪsá Jund Allāh ibn Qāsim",http://id.worldcat.org/fast/363356,Q48896,,,
"Jāmī, 1414-1492. Poems",a;d;t,0,,,,,,,
"Shams Maghribī, Muḥammad Shīrīn, 1349?-1406 or 1407. Jām-i Jahānʹnumā",a;d;t,0,,,,,,,
"Shāh Vajīhuddīn ʻAlavī Gujarātī, 1508-1589",a;d,0,,"Shāh Vajīhuddīn ʻAlavī Gujarātī, 1508-1589",http://id.worldcat.org/fast/295861,Q48897,,,
"Shaṭṭārī al-Qādirī, ʻĪsá Jund Allāh ibn Qāsim",a,fast,(OCoLC)fst00363356,"Shaṭṭārī al-Qādirī, ʻĪsá Jund Allāh ibn Qāsim",http://id.worldcat.org/fast/363356,Q48896,,,
"ʻAbd al-Qādir al-Jīlānī, -1166",a;d,0,http://id.loc.gov/authorities/names/n90650670,,,,"ʻAbd al-Qādir al-Jīlānī, -1166",http://id.worldcat.org/fast/1803094,Q11271
"ʻAbd al-Qādir al-Jīlānī, -1166",a;d,fast,(OCoLC)fst01803094,"ʻAbd al-Qādir al-Jīlānī, -1166",http://id.worldcat.org/fast/1803094,Q11271,,,
Qurʼan--Use--Early works to 1800,a--x--v,0,,Qurʼan;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1411636,Q11441;Q300,,,
"Muḥammad, Prophet, -632--Birth--Early works to 1800",a;c;d--x--v,0,,,,,"Muḥammad, Prophet, -632;Birth of a person;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1185270;http://id.worldcat.org/fast/1411636,Q3639;Q11147;Q300
Qurʼan--Commentaries--History--15th century--Sources,a--v--x--y--v,0,,Qurʼan;Commentaries;History;Fifteenth century;Sources,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962;http://id.worldcat.org/fast/1423900,Q11441;Q2812;Q6879;Q154;Q2769,,,
"Timur, 1336-1405",a;d,0,http://id.loc.gov/authorities/names/n50015000,"Timur, 1336-1405",http://id.worldcat.org/fast/4660,Q3513,,,
"Jighmīnī, Maḥmūd ibn Muḥammad, -1221? Qānūnchah",a;d;t,0,,,,,,,
"Zanjānī, ʻAbd al-Wahhāb ibn Ibrāhīm, active 1257. Mabādiʼ fī al-taṣrīf",a;d;t,0,http://id.loc.gov/authorities/names/n79029311,,,,"Mabādiʼ fī al-taṣrīf (Zanjānī, ʻAbd al-Wahhāb ibn Ibrāhīm)",http://id.worldcat.org/fast/1772876,Q11457
Qurʼan--Commentaries--Early works to 1800,a--v--v,0,,,,,Qurʼan;Commentaries;Early works,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q11441;Q2812;Q300
Qurʼan--Recitation,a--x,0,http://id.loc.gov/authorities/subjects/sh85072984,,,,Qurʼan;Recitations,http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/1091407,Q11441;Q11514
"Jalāl al-Dīn Rūmī, Maulana, 1207-1273. Works",a;c;d;t,0,,"Works (Jalāl al-Dīn Rūmī, Maulana)",http://id.worldcat.org/fast/1792195,Q48898,,,
"Muḥammad, Prophet, -632--Family--Biography--Early works to 1800",a;c;d--x--x--v,0,,"Muḥammad, Prophet, -632;Families;Biography;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/832149;http://id.worldcat.org/fast/1411636,Q3639;Q5939;Q27365;Q300,,,
"Muḥammad, Prophet, -632--Family--Biography--Early works to 1800",a;c;d--x--v--v,0,,"Muḥammad, Prophet, -632;Families;Biographies;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1728849;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q3639;Q5939;Q3051;Q300,,,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274. Bīst bāb dar maʻrifat-i asṭurlāb",a;d;t,0,,,,,,,
"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621. Tashrīḥ al-aflāk",a;d;t,0,,,,,,,
Qurʼan--Readings--Early works to 1800,a--x--v,0,,,,,"Qurʼan;Criticism, Textual;Early works",http://id.worldcat.org/fast/1842877;http://id.worldcat.org/fast/883762;http://id.worldcat.org/fast/1411636,Q11441;Q4282;Q300
"Qurʼan. Sūrat al-Dhāriyāt,--56",a;p--n,0,,Qurʼan. Sūrat al-Dhāriyāt,http://id.worldcat.org/fast/1938069,Q48899,,,
"Ḥāfiẓ, active 14th century--Criticism and interpretation",a;d--x,0,,"Ḥāfiẓ, active 14th century;Criticism and interpretation",http://id.worldcat.org/fast/1822361;http://id.worldcat.org/fast/1198648,Q48900;Q292,,,
"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203. Makhzan al-asrār",a;d;t,0,http://id.loc.gov/authorities/names/n2008217880,Makhzan al-asrār (Niẓāmī Ganjavī),http://id.worldcat.org/fast/1376719,Q48901,,,
"Nīshāpūrī, Ḥusayn ibn Muḥammad, -1499. Muʻammayāt-i Ḥusaynī",a;d;t,0,,,,,,,
"Bahaüddin Nakşibend, 1318-1389",a;d,0,http://id.loc.gov/authorities/names/n79034350,"Bahaüddin Nakşibend, 1318-1389",http://id.worldcat.org/fast/33089,Q48902,,,
"Muḥammad, Prophet, -632--Biography--Early works to 1800",a;c;d--v--v,0,,,,,"Muḥammad, Prophet, -632;Biographies;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1919896;http://id.worldcat.org/fast/1411636,Q3639;Q3051;Q300
"Qājār, Fatḥ ʻAlī Shāh, Shah of Iran, -1834",a;c;d,0,http://id.loc.gov/authorities/names/n99910124,"Qājār, Fatḥ ʻAlī Shāh, Shah of Iran, -1834",http://id.worldcat.org/fast/1842650,Q48903,,,
"Khaṭīb al-Tibrīzī, Muḥammad ibn ʻAbd Allāh, fl. 1337. Mishkāt al-maṣābīḥ",a;d;t,0,,"Mishkāt al-Maṣābīḥ (Khaṭīb al-Tibrīzī, Muḥammad ibn ʻAbd Allāh)",http://id.worldcat.org/fast/1369001,Q48904,,,
"Anvarī, Awḥad al-Dīn, -1189 or 1190",a;d,0,http://id.loc.gov/authorities/names/n83066091,"Anvarī, Awḥad al-Dīn, -1189 or 1190",http://id.worldcat.org/fast/1804909,Q48905,,,
"Muḥammad, Prophet, -632--Early works to 1800",a;c;d--v,0,,,,,"Muḥammad, Prophet, -632;Early works",http://id.worldcat.org/fast/1836298;http://id.worldcat.org/fast/1411636,Q3639;Q300
"Khāqānī, Afz̤al al-Dīn Shirvānī, approximately 1126-1198 or 1199. Poems",a;d;t,0,,"Poems (Khāqānī, Afz̤al al-Dīn Shirvānī)",http://id.worldcat.org/fast/1790080,Q48906,,,
