title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Rubāʻīyāt-i Khayyām,رباعيات خيام,Rubāʻīyāt,رباعيات,,,Rubaiyat,Q27770
Dīvān-i Kalīm,دىوان کلىم,,,,,Diwan,Q11912
Vāqiʻāt-i Bāburī,واقعات بابرى,Bāburnāmah,بابرنامه,,,Baburnama,Q5980
Qiṣṣah-i Laylá va Majnūn,قصه لىلى و مجنون,Laylá va Majnūn,لىلى و مجنون,,,Layla and Majnun,Q18445
Savāniḥ-i Ḥaydarī /,سوانح حىدرى /,,,,,Savāniḥ-i Ḥaydarī,Q51670
Sulṭān al-tavārīkh,سلطان التوارىخ,Sulṭān al-tavārīkh,سلطان التوارىخ,,,Sulṭān al-tavārīkh,Q51671
Dīvān-i Ḥāfiẓ,دىوان حافظ,Dīvān,دىوان,Divan of Hafez;Dīwān,Q18593;Q11912,,
Hāz̲ā al-majmūʻ al-laṭīf al-sharīf al-munīf naẓm /,هذا المجموع اللطىف الشرىف المنىف نظم /,,,,,Hāz̲ā al-majmūʻ al-laṭīf al-sharīf al-munīf naẓm,Q51672
Hāz̲ā Silsilat al-z̲ahab ... [etc.,هذا سلسلة الذهب,,,,,Hāz̲ā Silsilat al-z̲ahab,Q51673
Daryā-yi laṭāfat /,درىاى لطافت /,Daryā-yi laṭāfat,درىاى لطافت,,,Daryā-yi laṭāfat,Q17594
Kitāb Tarshīḥ al-bayān fī tawz̤īḥ āyāt al-Qurʾān,کتاب ترشىح البىان فى توضىح آىات القرآن,Tertib-i zîbâ,ترتىب زىبا,,,Tertib-i zîbâ,Q51674
Persian calendar calculations for the year 1253/1838,,,,,,Persian calendar calculations,Q51675
Bahāristān,بهارستان,,,,,Baharestan,Q39215
Inshāʾ,انشاء,Correspondence,,,,Correspondence,Q38385
Collection of questions and answers on religious subjects,,,,,,Religious texts,Q5037
