row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value,ds_qid
1,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.380682Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.052938Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.114843Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591677Z",Omar Khayyam,author,عمر خيام,,,,,human,Omar Khayyám,Q35900,Q27967
2,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.411644Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.063340Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.122270Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591947Z","Kalīm, Abū Ṭālib, -1651",author,کلىم، ابو طالب، -1651,,Kalim Kashani,human,Q4116339,,,,
3,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412095Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.084373Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123168Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591963Z","Babur, Emperor of Hindustan, 1483-1530",author,,,Babur,human,Q797848,,,,
4,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412114Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086329Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123180Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591968Z","Hātifī, -1520 or 1521",author,هاتفى، -1520 or 1521,,,,,human,Hatefi,Q2820926,Q3801
5,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412124Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086349Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123183Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591973Z","Bud Singh Munshi, active 18th century",author,,,Bud Singh Munshi,human,Q129453056,,,,
6,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412133Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086363Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123185Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591983Z","Mūsavī Shūshtarī, Zayn al-ʻĀbidīn ibn Raz̤ī al-Dīn, active 18th century",author,موسوى شوشترى، زىن العابدىن بن رضى الدىن، active 18th century,,Zayn al-ʻĀbidīn ibn Raz̤ī al-Dīn Mūsavī Shūshtarī,human,Q129453058,,,,
7,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412143Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086374Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123190Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591988Z","Ḥāfiẓ, active 14th century",author,حافظ، active 14th century,,,,,human,Hafez,Q6240,Q10870
8,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412151Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086395Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123192Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.591993Z","Fanāʼ al-Mawlavī, ʻAbd Allāh",author,فناء المولوى، عبد الله,,ʻAbd Allāh Fanāʼ al-Mawlavī,human,Q129453060,,,,
9,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412159Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086407Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123194Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592002Z","Inshaʼ, Inshaʼallāh K̲h̲ān̲, 1756-1817",author,انشاء، انشاءلاه کهان، 1756-1817,,Insha Allah Khan,human,Q1664527,,,,
10,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412169Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086415Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123204Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592007Z","ʻAlī Muḥammad Khān, 1700?-",author,على محمد خان، 1700-,,ʻAlī Muḥammad Khān,human,Q129453062,,,,
11,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412176Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086431Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123207Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592012Z","Mahmut, Vardarî, -approximately 1630",author,محمود، واردارى، -approximately 1630,,Vardarî Mahmut,human,Q129453065,,,,
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412184Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086453Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123209Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592028Z","Jāmī, 1414-1492",author,جامى، 1414-1492,,,,,human,Jami,Q312458,Q3803
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412198Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086462Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123217Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592033Z","Mīram-i Siyāh, active 16th century",author,مىرم سىاه، active 16th century,,Mīram-i Siyāh,human,Q129453067,,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412206Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086477Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123219Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592038Z","Nasafī, ʻAzīz al-Dīn ibn Muḥammad, active 13th century",author,نسفى، عزىز الدىن بن محمد، active 13th century,,Aziz ad-Din Nasafi,human,Q5875064,,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412213Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086492Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123222Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592046Z","Mīr Ḥusaynī Haravī, Ḥusayn ibn ʻĀlim, 1272 or 1273-approximately 1317",author,مىر حسىنى هروى، حسىن بن عالم، 1272 or 1273-approximately 1317,,,,,human,Ḥusayn ibn ʻĀlim Mīr Ḥusaynī Haravī,Q123581762,Q18674
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412223Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086501Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123225Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592050Z","Makkī al-Ḥusaynī, Muḥammad ibn Jaʻfar, active 15th century",author,مكى الحسىنى، محمد بن جعفر، active 15th century,,Muḥammad ibn Jaʻfar Makkī al-Ḥusaynī,human,Q129453068,,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412231Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086512Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123228Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592055Z","Şevket Buharı̂, Mehmet İshak, -1695",author,شوکت بخارى، محمد اسحاق، -1695,,Shaukat Bukhari,human,Q25550027,,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412238Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086526Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123230Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592062Z","Dihdār Shīrāzī, Muḥammad ibn Maḥmūd, 1540 or 1541-1607 or 1608",author,دهدار شىرازى، محمد بن محمود، 1540 or 1541-1607 or 1608,,Muḥammad ibn Maḥmūd Dihdār Shīrāzī,human,Q129453070,,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412248Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086535Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123234Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592067Z","Nāgawrī, Ḥamīd al-Dīn",author,ناگورى، حمىد الدىن,,Q7530783,human,Q7530783,,,,
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412255Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086552Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123236Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592071Z","Jāmī, 1414-1492",author,"جامى،, 1414-1492",,,,,human,Jami,Q312458,Q3803
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412265Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086566Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123239Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592079Z","Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",author,کاشفى، حسىن واعظ، d. 1504 or 5,,,,,human,Ḥusain Wāʿiẓ Kāšifī,Q4502475,Q18688
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412273Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086575Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123245Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592085Z","Tabrīzī, Jalāl al-Dīn",author,تبرىزى، جلال الدىن,,Jalal al-Din Mohammad Tabrizi,human,Q18711584,,,,
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412280Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086591Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123247Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592089Z",Saʻdī,author,سعدي,,,,,human,Saadi,Q170302,Q3799
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412291Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086610Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123250Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592102Z","Jalāl al-Dīn Rūmī, Maulana, 1207-1273",author,جلال الدىن رومى، مولانا، 1207-1273,,,,,human,Rumi,Q43347,Q27901
25,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412299Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086619Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123254Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592107Z","Ṣāʼib Tabrīzī, Muḥammad ʻAlī, -approximately 1670",author,صائب تبرىزى، محمد على، -approximately 1670,,Muḥammad ʻAlī Ṣāʼib Tabrīzī,human,Q129453071,,,,
26,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412307Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086631Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123256Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592112Z","Niyāzī, Aḥmad Mīrzā, -1774 or 1775",author,نىازى، احمد مىرزا، -1774 or 1775,,Aḥmad Mīrzā Niyāzī,human,Q129453075,,,,
27,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412317Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086646Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123259Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592119Z","ʻAṭṭār, Farīd al-Dīn, -approximately 1230",author,عطار، فرىد الدىن، - approximately 1230,,,,,human,Attar of Nishapur,Q194091,Q18697
28,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412324Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086654Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123262Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592124Z","Bidlīsī, Sharaf Khān, 1543-",author,بدلىسى، شرف خان، 1543-,,Sharaf Khan Bidlisi,human,Q388979,,,,
29,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-08-16T17:17:48.412332Z | NAME RECON STEP 3: START HUMAN RECON 2024-08-16T17:19:41.086672Z | NAME RECON STEP 6: START ORG RECON 2024-08-20T22:15:54.123265Z | NAME RECON STEP 9: FINALIZED 2024-08-20T23:00:38.592129Z","Abū al-Faz̤l ibn Mubārak, 1551-1602",author,ابو الفضل بن مبارک، 1551-1602,,Abu'l-Fazl ibn Mubarak,human,Q334752,,,,
